source,target,weight
almond,tomato,0.001221
chilli,sweet_pepper,0.0003663
carrot,white_wine,0.0003663
stock,fish,0.0001221
celery,parsley,0.0001221
tomato,olive_oil,0.0002442
tomato,chicken_stock,0.0002442
spring_onion,onion,0.0001221
bread,garlic,0.0001221
sweet_pepper,spring_onion,0.0001221
chicken_stock,garlic,0.0001221
sunflower_oil,parsley,0.011844
parsley,cumin_seed,0.0001221
thyme,white_wine,0.0001221
sweet_pepper,rice,0.0001221
sweet_pepper,potato,0.0001221
peppercorn,sherry,0.0001221
chicken_stock,saffron,0.0001221
chicken_stock,onion,0.0001221
sausage,onion,0.0001221
stick,bay_leaf,0.0003663
tomato,ham,0.0002442
garlic,shrimp,0.0001221
shrimp,saffron,0.0001221
tomato,chicken,0.0002442
tomato,cumin_seed,0.0002442
thyme,rosemary,0.0001221
rosemary,bay_leaf,0.0001221
red_pepper,bay_leaf,0.0001221
garlic,lemon,0.0001221
carrot,potato,0.0002442
parsley,wild_marjoram,0.0001221
wild_marjoram,garlic,0.0001221
milk,cinnamon,0.0057387
rice,onion,0.0001221
almond,garlic,0.0010989
tomato,sausage,0.0002442
fish,shrimp,0.0001221
onion,green_pepper,0.0001221
peppercorn,spring_onion,0.0001221
chicken,saffron,0.0001221
cumin_seed,coriander_seed,0.0001221
cumin_seed,garlic,0.0001221
vinegar,garlic,0.0006105
olive_oil,bay_leaf,0.0001221
celery,onion,0.0001221
tomato,squid,0.0002442
sweet_pepper,sausage,0.0001221
sweet_pepper,white_wine,0.0001221
chicken,garlic,0.0001221
ham,onion,0.0001221
bay_leaf,ham,0.0001221
white,carrot,0.0039072
tomato,celery,0.0002442
red_pepper,green_pepper,0.0001221
garlic,coriander_seed,0.0001221
bay_leaf,shrimp,0.0001221
white_wine,saffron,0.0001221
carrot,sweet_pepper,0.0003663
stock,parsley,0.0001221
rosemary,garlic,0.0001221
fish,bay_leaf,0.0001221
sausage,bay_leaf,0.0001221
chicken,onion,0.0001221
rice,grain,0.0001221
tomato,green,0.0002442
peppercorn,saffron,0.0001221
parsley,squid,0.0001221
sweet_pepper,sweet,0.0001221
cinnamon,lemon,0.0006105
egg,potato,0.0002442
fish,garlic,0.0001221
tomato,egg,0.0002442
olive_oil,onion,0.0001221
bay_leaf,wild_marjoram,0.0001221
fish,saffron,0.0001221
red_pepper,sherry,0.0001221
sunflower_oil,tomato,0.0096459
pork,tomato,0.0013431
sweet_pepper,sherry,0.0001221
peppercorn,white_wine,0.0001221
ingredient,potato,0.0021978
red_onion,tomato,0.0008547
peppercorn,celery,0.0001221
celery,spring_onion,0.0001221
rice,bay_leaf,0.0001221
red_onion,parsley,0.0009768
tomato,wild_marjoram,0.0002442
green,sweet_pepper,0.0002442
chicken_stock,bay_leaf,0.0001221
red_pepper,saffron,0.0001221
bacon,parsley,0.0010989
vinegar,peppercorn,0.0006105
mussel,parsley,0.0006105
sweet_pepper,wild_marjoram,0.0001221
carrot,saffron,0.0002442
thyme,spring_onion,0.0001221
white,saffron,0.0031746
caper,parsley,0.0001221
almond,cinnamon,0.001221
sweet_pepper,shrimp,0.0001221
shallot,parsley,0.0001221
