cuisine	assortativeCoefficient	transitivity	avgClusteringCoefficient	degreeCentrality	betweeness	closeness	id
indian	-0.344180122354	0.272345890031	0.523972573618	0.00059178320179	0.0406065085403	0.314731781102	356
chinese	-0.293886279094	0.275960771522	0.520906054757	0.000467686397433	0.035876714422	0.265703487812	156
spanish	-0.284685060732	0.289161513051	0.532445188061	0.000437528455869	0.026801864174	0.257200562837	724
mexican	-0.322174513131	0.285077846382	0.548818427671	0.000422485881294	0.0426037381709	0.255860667723	484
italian	-0.355980375237	0.276055249926	0.497846227319	0.000348521509205	0.0336849691122	0.259799527704	380
french	-0.321751394797	0.297558670112	0.51443096342	0.000365289084105	0.027525428618	0.270357155443	250
