field,count
Afghan,2
African,2
Afternoon_tea,53
Algerian,1
Appetizers_/_starters,977
Asian,29
Australian,4
Baked_&_steamed_desserts,77
Balinese,6
Bangladeshi,16
Beverages_/_drinks_(no-alcohol),391
Bread_&_buns__sweet,15
Bread_&_rolls__savory,420
Breakfast_/_brunch,208
British,60
Brownies__slices_&_bars,8
Burmese,4
Cajun_&_Creole,7
Cakes__large,31
Cakes__small,20
Canapés_/_hors_d'oeuvre,172
Candy_/_sweets,127
Caribbean,4
Central_Southern_States,2
Cheesecakes,7
Children_&_baby_food,9
Chili,7
Chinese,79
Christmas,18
Chutneys__pickles_&_relishes,796
Cocktails_/_drinks_(with_alcohol),35
Cookies__biscuits_&_crackers,35
Cooking_ahead,674
Cooking_for_1_or_2,96
Cooking_for_a_crowd,105
Crumbles__cobblers__crisps_&_bettys,4
Curry,2094
Dairy-free,1
Dessert,917
Dinner_parties/entertaining,368
Dips__spreads_&_salsas,248
Dressings_&_marinades,188
East_African,18
Easter,5
Egg_dishes,160
Egg-free,5
Egyptian,3
English,12
Ethiopian,1
European,1
Fall_/_autumn,40
French,28
Fried_doughs,281
General_courses,1
German,1
Gluten-free,80
Greek,1
Grills_&_BBQ,261
Guyanese,3
Ice_cream_&_frozen_desserts,90
Icelandic,1
Indian,11592
Indonesian,39
Iranian,5
Iraqi,1
Italian,21
Jams__jellies_&_preserves,16
Japanese,36
Jewish,8
Korean,24
Lebanese,4
Low_calorie,4
Low_fat,121
Low_salt,1
Lunch,153
Main_course,4772
Malaysian,37
Mauritian,2
Mediterranean,3
Mexican,6
Middle_Eastern,26
Moroccan,36
Mousses__trifles__custards_&_creams,229
Mozambican,2
Nepali,9
North_African,1
North_American,28
Pakistani,62
Pancakes__waffles_&_crêpes,157
Passover,1
Pasta__baked,5
Pasta__doughs_&_sauces,51
Pasta__filled,1
Persian,20
Philippine,15
Picnics_&_outdoors,64
Pies__tarts_&_pastries,81
Pizza_&_calzones,7
Portuguese,11
Quick_/_easy,674
Rice_dishes,877
Salads,535
Sandwiches_&_burgers,55
Sauces_for_desserts,39
Sauces_for_fish,39
Sauces_for_meat,23
Sauces_for_poultry,14
Sauces__general,206
Scandinavian,1
Scottish,1
Side_dish,2674
Singaporean,6
Small_plates_-_tapas__meze,27
Snacks,690
Soups,404
South_African,26
South_American,3
Spanish,4
Spice_/_herb_blends_&_rubs,459
Spring,32
Sri_Lankan,33
Stews_&_one-pot_meals,357
Stir-fries,203
Stocks,38
Stuffing,43
Summer,130
Suppers,77
Swedish,1
Syrian,21
Thai,67
Thanksgiving,8
Tibetan,9
Vegan,2587
Vegetarian,5953
Vietnamese,36
Winter,57
Zimbabwean,1
