field,count
African,1
Afternoon_tea,95
Appetizers_/_starters,270
Argentinian,1
Asian,51
Australian,6
Baked_&_steamed_desserts,57
Basque,1
Beverages_/_drinks_(no-alcohol),39
Bread_&_buns__sweet,24
Bread_&_rolls__savory,128
Breakfast_/_brunch,80
British,91
Brownies__slices_&_bars,15
Cajun_&_Creole,1
Cakes__large,97
Cakes__small,22
Canadian,1
Canapés_/_hors_d'oeuvre,26
Candy_/_sweets,30
Caribbean,2
Cheesecakes,7
Children's_parties,1
Chili,3
Chinese,7
Christmas,59
Chutneys__pickles_&_relishes,59
Cocktails_/_drinks_(with_alcohol),27
Cookies__biscuits_&_crackers,48
Cooking_ahead,134
Cooking_for_1_or_2,93
Cooking_for_a_crowd,98
Crumbles__cobblers__crisps_&_bettys,15
Curry,21
Danish,1
Dessert,492
Dinner_parties/entertaining,46
Dips__spreads_&_salsas,90
Dressings_&_marinades,153
Easter,12
Egg_dishes,83
English,122
European,4
Fall_/_autumn,80
Finnish,1
French,173
Fried_doughs,21
Frostings_&_fillings,9
German,3
Gluten-free,3
Greek,19
Grills_&_BBQ,112
Halloween,6
Hawaiian,1
Ice_cream_&_frozen_desserts,85
Indian,28
Indonesian,3
Irish,862
Israeli,1
Italian,163
Jams__jellies_&_preserves,60
Japanese,16
Korean,1
Lebanese,4
Low_calorie,10
Low_fat,11
Lunch,18
Main_course,1080
Malaysian,4
Mediterranean,28
Mexican,38
Middle_Eastern,28
Monacan,3
Moroccan,10
Mousses__trifles__custards_&_creams,83
New_Zealand,1
North_African,5
North_American,71
Pancakes__waffles_&_crêpes,42
Pasta__baked,10
Pasta__doughs_&_sauces,50
Pasta__filled,15
Persian,1
Peruvian,1
Picnics_&_outdoors,91
Pies__tarts_&_pastries,213
Pizza_&_calzones,17
Portuguese,5
Quick_/_easy,17
Rice_dishes,74
Russian,1
Salads,252
Sandwiches_&_burgers,36
Sauces_for_desserts,59
Sauces_for_fish,46
Sauces_for_meat,25
Sauces_for_poultry,19
Sauces__general,195
Scottish,32
Side_dish,482
Snacks,14
Soups,190
Spanish,17
Spice_/_herb_blends_&_rubs,15
Spring,74
Sri_Lankan,1
Stews_&_one-pot_meals,127
Stir-fries,14
Stocks,19
Stuffing,25
Summer,170
Suppers,57
Swedish,6
Swiss,3
Thai,19
Thanksgiving,11
Turkish,7
Valentine's_Day_/_romantic,3
Vegan,207
Vegetarian,779
Vietnamese,10
Welsh,4
Winter,112
