frequency,frac
0.0,1.91907809238
0.301029995664,1.56820172407
0.47712125472,1.39794000867
0.602059991328,1.0
0.698970004336,1.04139268516
0.778151250384,0.845098040014
0.845098040014,1.04139268516
0.903089986992,0.698970004336
0.954242509439,0.845098040014
1.0,0.698970004336
1.04139268516,0.47712125472
1.07918124605,0.778151250384
1.11394335231,0.301029995664
1.14612803568,0.698970004336
1.17609125906,0.0
1.23044892138,0.0
1.2552725051,0.47712125472
1.27875360095,0.0
1.30102999566,0.301029995664
1.34242268082,0.0
1.38021124171,0.0
1.39794000867,0.0
1.47712125472,0.0
1.51851393988,0.0
1.54406804435,0.0
1.60205999133,0.0
1.61278385672,0.0
1.65321251378,0.0
1.78532983501,0.0
