field,count
African,190
Afternoon_tea,5
Algerian,19
Angolan,6
Appetizers_/_starters,61
Argentinian,1
Baked_&_steamed_desserts,2
Beninese,7
Beverages_/_drinks_(no-alcohol),28
Bread_&_buns__sweet,3
Bread_&_rolls__savory,12
Breakfast_/_brunch,2
Cakes__large,7
Cakes__small,2
Cameroonian,1
Canapés_/_hors_d'oeuvre,1
Cape_Verde_Islands,6
Caribbean,8
Chilean,5
Chinese,4
Chutneys__pickles_&_relishes,38
Cocktails_/_drinks_(with_alcohol),7
Congolese,2
Cookies__biscuits_&_crackers,4
Cooking_ahead,45
Cooking_for_a_crowd,2
Curry,16
Dessert,60
Dips__spreads_&_salsas,12
Dominican_(Republic),1
Dressings_&_marinades,18
Dutch,1
East_African,20
Ecuadorian,3
Egg_dishes,2
Egyptian,21
Ethiopian,26
Fried_doughs,9
Ghanaian,11
Grills_&_BBQ,9
Haitian,1
Indian,20
Indonesian,2
Iranian,2
Iraqi,1
Ivory_Coast,11
Jamaican,3
Jams__jellies_&_preserves,3
Jordanian,1
Kenyan,18
Korean,2
Lebanese,1
Libyan,2
Lunch,2
Main_course,234
Malagasy,1
Malaysian,4
Malian,1
Mexican,6
Middle_Eastern,14
Moroccan,22
Mousses__trifles__custards_&_creams,9
Mozambican,15
Nepali,1
Nigerian_(Nigeria),18
Nigerien_(Niger),1
North_African,5
Pakistani,1
Pancakes__waffles_&_crêpes,1
Philippine,2
Pies__tarts_&_pastries,11
Portuguese,1
Rice_dishes,20
Salads,39
Sandwiches_&_burgers,2
Sauces_for_desserts,2
Sauces_for_fish,2
Sauces_for_meat,2
Sauces_for_poultry,2
Sauces__general,13
Senegalese,16
Side_dish,114
Sierra_Leonean,4
Snacks,5
Soups,26
South_African,95
South_American,1
Spice_/_herb_blends_&_rubs,7
Spring,3
Sri_Lankan,6
Stews_&_one-pot_meals,54
Stir-fries,3
Stocks,1
Stuffing,1
Sudanese,2
Syrian,4
Thai,3
Togolese,1
Tunisian,8
Vegan,100
Vegetarian,251
West_African,32
Zambian,1
Zimbabwean,1
