source,target,weight
parsley,basil,2.687e-05
onion,white_turnip,2.687e-05
spring_onion,mushroom,2.687e-05
tarragon,onion,2.687e-05
milk,onion,0.0002687
ingredient,parsley,0.00083298
white,flour,0.0015853
spring_onion,white_turnip,2.687e-05
bay_leaf,butter,2.687e-05
shallot,chive,2.687e-05
shallot,vinegar,2.687e-05
vanilla_extract,sugar,0.00013435
jambon,onion,0.00010748
chicken_stock,celery,2.687e-05
tomato,tarragon,8.061e-05
tomato_paste,celery,0.00061801
egg_yolk,shallot,0.00016122
garlic,peppercorn,5.374e-05
bay_leaf,red_wine,2.687e-05
egg_yolk,onion,0.00016122
egg,cream,8.061e-05
thyme,lemon,5.374e-05
stick,peppercorn,0.00013435
shallot,chicken_stock,2.687e-05
caper,parsley,2.687e-05
white,tarragon,0.0016928
celery,potato,2.687e-05
stick,celery,0.00013435
onion,basil,2.687e-05
heavy_cream,flour,8.061e-05
ingredient,flour,0.00091359
chicken_stock,white_wine,2.687e-05
butter,cream,2.687e-05
garlic,shallot,5.374e-05
thyme,nutmeg,5.374e-05
egg_yolk,cream,0.00016122
heavy_cream,mushroom,8.061e-05
orange,lemon,5.374e-05
garlic,red_pepper,5.374e-05
white,peppercorn,0.0015047
tomato,eggplant,8.061e-05
tomato,peppercorn,8.061e-05
butter,nutmeg,2.687e-05
white,egg_yolk,0.001666
heavy_cream,thyme,8.061e-05
heavy_cream,white_wine,8.061e-05
thyme,tarragon,5.374e-05
parsley,vinegar,2.687e-05
heavy_cream,sugar,8.061e-05
chicken_stock,mushroom,2.687e-05
jambon,parsley,0.00010748
garlic,basil,5.374e-05
chicken_stock,poulet,2.687e-05
peppercorn,red_pepper,2.687e-05
tarragon,butter,2.687e-05
parsley,red_wine,2.687e-05
heavy_cream,onion,8.061e-05
stock,parsley,2.687e-05
shallot,chervil,2.687e-05
carrot,heavy_cream,0.00010748
heavy_cream,nutmeg,8.061e-05
thyme,fennel,5.374e-05
butter,potato,2.687e-05
red_pepper,white_wine,2.687e-05
white,veal,0.0013972
egg,shallot,8.061e-05
fish,white_wine,5.374e-05
bay_leaf,lemon,2.687e-05
flour,lemon,5.374e-05
shallot,potato,2.687e-05
fennel,onion,2.687e-05
white,chicken_stock,0.0015316
milk,parsley,0.0002687
lamb,onion,8.061e-05
tarragon,chive,2.687e-05
cinnamon,stick,0.00018809
bread,onion,5.374e-05
castor_sugar,butter,0.00075236
stick,spring_onion,0.00013435
milk,cream,0.0002687
fish,onion,5.374e-05
white_wine,lemon,2.687e-05
tomato_paste,tomato,0.00064488
celery,white_turnip,2.687e-05
onion,cream,2.687e-05
egg_yolk,white_wine,0.00016122
shallot,poulet,2.687e-05
duck,thyme,0.00016122
carrot,stock,0.00010748
tomato,veal,8.061e-05
castor_sugar,milk,0.00077923
bacon,shallot,0.00037618
egg_yolk,mushroom,0.00016122
shallot,lemon,2.687e-05
carrot,red_pepper,0.00010748
tomato,egg,8.061e-05
bay_leaf,nutmeg,2.687e-05
tomato,saffron,8.061e-05
garlic,olive_oil,5.374e-05
vinegar,onion,2.687e-05
shallot,red_pepper,2.687e-05
egg_yolk,lemon,0.00016122
egg,lemon,8.061e-05
vanilla_bean,sugar,2.687e-05
fennel,parsley,2.687e-05
white,lemon,0.0013435
spring_onion,veal,2.687e-05
flour,onion,5.374e-05
fish,parsley,5.374e-05
tarragon,bay_leaf,2.687e-05
castor_sugar,egg_yolk,0.00077923
egg_yolk,thyme,0.00016122
apple,sugar,0.00018809
tomato,fennel,8.061e-05
flour,nutmeg,5.374e-05
tomato_paste,white_wine,0.00061801
heavy_cream,spring_onion,8.061e-05
shoulder,onion,2.687e-05
almond,egg,0.00040305
tarragon,vinegar,2.687e-05
jambon,carrot,0.00010748
carrot,lemon,0.00010748
poulet,white_wine,2.687e-05
chervil,chive,2.687e-05
nutmeg,mushroom,2.687e-05
egg_yolk,bay_leaf,0.00016122
garlic,lemon,2.687e-05
white,red_pepper,0.0015047
carrot,fennel,0.00010748
nutmeg,potato,2.687e-05
tomato_paste,shallot,0.00064488
parsley,white_turnip,2.687e-05
tomato,poulet,8.061e-05
garlic,chicken_stock,5.374e-05
shallot,boeuf,2.687e-05
chicken_stock,potato,2.687e-05
egg_yolk,tarragon,0.00016122
tomato,chicken_stock,8.061e-05
garlic,mushroom,2.687e-05
boeuf,celery,2.687e-05
white,fish,0.0013435
ingredient,heavy_cream,0.00091359
tomato,lemon,8.061e-05
tarragon,celery,2.687e-05
fish,shallot,5.374e-05
fennel,bay_leaf,2.687e-05
onion,saffron,2.687e-05
fish,spring_onion,5.374e-05
fennel,spring_onion,2.687e-05
heavy_cream,potato,8.061e-05
beef_stock,onion,5.374e-05
rosemary,bay_leaf,5.374e-05
tarragon,mushroom,2.687e-05
thyme,oregano,5.374e-05
white,almond,0.0017197
castor_sugar,flour,0.00077923
egg_yolk,vanilla_bean,0.00016122
white_wine,potato,2.687e-05
mussel,parsley,0.00018809
orange,thyme,5.374e-05
pork,veal,0.00045679
carrot,pea,0.00010748
shallot,red_wine,2.687e-05
red_pepper,celery,2.687e-05
fennel,celery,2.687e-05
rice,onion,2.687e-05
castor_sugar,egg,0.00077923
red_pepper,spring_onion,2.687e-05
white_turnip,potato,2.687e-05
lamb,parsley,8.061e-05
thyme,vinegar,5.374e-05
jambon,thyme,0.00010748
carrot,lamb,0.00010748
egg,mushroom,8.061e-05
peppercorn,veal,2.687e-05
flour,parsley,5.374e-05
rosemary,onion,5.374e-05
milk,potato,0.0002687
tomato,fish,8.061e-05
egg_yolk,carrot,0.00016122
bacon,veal,0.00037618
egg,dark_chocolate,8.061e-05
orange,onion,5.374e-05
bacon,potato,0.00037618
egg_yolk,nutmeg,0.00016122
onion,pea,2.687e-05
white,poulet,0.0015316
white,tomato_paste,0.0016391
milk,vanilla_extract,0.0002687
pork,white_wine,0.00045679
mussel,white_wine,0.00018809
stick,nutmeg,0.00013435
jambon,bay_leaf,0.00010748
heavy_cream,bay_leaf,8.061e-05
carrot,nutmeg,0.00010748
spring_onion,butter,2.687e-05
rosemary,garlic,5.374e-05
heavy_cream,chicken_stock,8.061e-05
heavy_cream,dark_chocolate,8.061e-05
garlic,poulet,5.374e-05
rosemary,parsley,5.374e-05
truffle,mushroom,2.687e-05
pork,bacon,0.00048366
bacon,white_wine,0.00037618
butter,white_pepper,2.687e-05
duck,bay_leaf,0.00016122
celery,red_wine,2.687e-05
tomato_paste,garlic,0.00061801
bread,thyme,5.374e-05
carrot,shoulder,0.00010748
carrot,fish,0.00010748
egg,potato,8.061e-05
fish,bay_leaf,5.374e-05
shallot,nutmeg,2.687e-05
chive,potato,2.687e-05
cream,mushroom,2.687e-05
duck,carrot,0.00016122
egg,thyme,8.061e-05
thyme,white_turnip,5.374e-05
lamb,thyme,8.061e-05
garlic,fennel,5.374e-05
caper,anchovy,2.687e-05
bay_leaf,white_turnip,2.687e-05
thyme,shoulder,5.374e-05
celery,butter,2.687e-05
bay_leaf,basil,2.687e-05
juniper_berry,bay_leaf,5.374e-05
garlic,veal,2.687e-05
butter,veal,2.687e-05
thyme,fish,5.374e-05
pork,stick,0.00048366
bacon,celery,0.00037618
flour,thyme,5.374e-05
apple,lemon,0.00016122
tomato,vinegar,8.061e-05
orange,bay_leaf,5.374e-05
cinnamon,nutmeg,0.00018809
