field,count
Babette_De_Rozi_res,164
Carmen_Aboy_Valldejuli,388
Georgeanne_Brennan,148
Levi_Roots,215
Maricel_E._Presilla,535
Norman_Van_Aken,201
Steven_Raichlen,219
Time-Life_Books,147
