chilli,1,chilli,1,1
coriander_seed,2,coriander_seed,2,1
cumin_seed,3,cumin_seed,4,1
ginger,4,ginger,3,1
turmeric,5,turmeric,5,1
onion,6,onion,8,1
tomato,7,tomato,7,1
cardamon,8,cardamon,9,1
cinnamon,9,cinnamon,12,1
mustard_seed,10,mustard_seed,14,1
garlic,11,garlic,10,1
red_pepper,12,red_pepper,6,1
yogurt,13,yogurt,11,1
curry,14,curry,19,1
coconut,15,coconut,24,1
peppercorn,16,peppercorn,13,1
potato,17,potato,16,1
fenugreek_seed,18, ,26,1
ghee,19,ghee,22,1
bay_leaf,20,bay_leaf,20,1
tamarind,21, ,26,1
chicken,22, ,26,1
flour,23,flour,17,1
lamb,24, ,26,1
lime,25,lime,15,1
 ,25,paprika,18,1
 ,25,mint,21,1
 ,25,red_onion,23,1
 ,25,rice,25,1
 ,25,fennel_seed,26,1
