source,target,weight
carrot,rice,0.00028924
rice,garlic,9.6413e-05
shallot,ginger,9.6413e-05
soy_sauce,cabbage,0.001157
soy_sauce,cucumber,0.0010605
fish,ginger,9.6413e-05
soy_sauce,honey,0.001157
rice,sesame,9.6413e-05
spring_onion,bamboo_shoot,9.6413e-05
soy_sauce,duck,0.001157
egg,spring_onion,0.00019283
sesame_oil,beef,9.6413e-05
peanut_oil,mushroom,0.00019283
chicken,mushroom,9.6413e-05
hoisin_sauce,spring_onion,9.6413e-05
sesame_oil,hoisin_sauce,9.6413e-05
ginger,hoisin_sauce,9.6413e-05
vinegar,coriander_seed,9.6413e-05
spring_onion,black_bean,9.6413e-05
carrot,celery,0.00028924
celery,spring_onion,9.6413e-05
white,chicken,9.6413e-05
sauce,shrimp,0.00019283
rice,noodle,9.6413e-05
pork,chicken_stock,0.0018319
corn_oil,ginger,0.00038565
duck,ginger,0.00048207
red_pepper,vinegar,9.6413e-05
bean_sprout,spring_onion,0.00019283
carrot,vinegar,0.00028924
cabbage,ginger,0.00019283
chicken,garlic,9.6413e-05
sauce,sherry,0.00019283
chilli,carrot,0.00038565
chilli,chicken_stock,0.00038565
rice,mushroom,9.6413e-05
chilli,shrimp,0.00038565
soy_sauce,tomato_ketchup,0.001157
soy_sauce,fish,0.00096413
sauce,coriander_seed,0.00019283
peanut_oil,paste,0.00019283
sauce,white_pepper,0.00019283
carrot,peanut_oil,0.00028924
corn_oil,spring_onion,0.00038565
sauce,vinegar,0.00019283
duck,spring_onion,0.00048207
ginger,onion,9.6413e-05
rice,grain,9.6413e-05
soy_sauce,spinach,0.0010605
cinnamon,star_anise,0.00067489
peanut_oil,tofu,0.00019283
peanut_oil,beef,0.00019283
red_pepper,chicken,9.6413e-05
wine,chicken,9.6413e-05
sauce,fish,0.00019283
fish,spring_onion,9.6413e-05
sesame_oil,cucumber,9.6413e-05
rice,paste,9.6413e-05
chilli,red_pepper,0.00038565
cinnamon,ginger,0.00067489
soy_sauce,tomato,0.001157
rice,bean,9.6413e-05
white,shrimp,9.6413e-05
chicken,vinegar,9.6413e-05
pork,mushroom,0.0020247
sauce,mushroom,0.00019283
bean,tofu,9.6413e-05
carrot,mushroom,0.00028924
pork,white_pepper,0.0021211
pork,flour,0.0018319
peanut_oil,red_pepper,0.00019283
chicken_stock,wine,9.6413e-05
chicken,white_pepper,9.6413e-05
cabbage,spring_onion,0.00019283
peanut_oil,peppercorn,0.00019283
chicken_stock,oyster,9.6413e-05
oyster,chicken,9.6413e-05
white_pepper,shrimp,9.6413e-05
soy_sauce,cinnamon,0.001157
bean_sprout,sesame_oil,0.00019283
soy_sauce,green_pepper,0.00096413
carrot,chicken,0.00028924
sherry,oyster,9.6413e-05
pork,oyster,0.0019283
bamboo_shoot,mushroom,9.6413e-05
soy_sauce,orange,0.001157
egg,sesame_oil,0.00019283
chilli,mushroom,0.00038565
chilli,sesame,0.00038565
vegetable_oil,rice,0.0026996
soy_sauce,stock,0.001157
soy_sauce,sesame_seed,0.0010605
chicken_stock,mushroom,9.6413e-05
peppercorn,rice,9.6413e-05
chilli,wine,0.00038565
egg,ginger,0.00019283
chicken_stock,shrimp,9.6413e-05
bamboo,bamboo_shoot,9.6413e-05
sesame_oil,black_bean,9.6413e-05
pork,bamboo_shoot,0.0019283
cabbage,sesame_oil,0.00019283
orange,ginger,0.00019283
sherry,shrimp,9.6413e-05
sauce,wine,0.00019283
sesame_oil,celery,9.6413e-05
pork,garlic,0.0018319
peanut_oil,noodle,0.00019283
cucumber,ginger,9.6413e-05
chicken,coriander_seed,9.6413e-05
sesame_seed,sesame_oil,0.00019283
bean_sprout,ginger,0.00019283
sherry,bamboo_shoot,9.6413e-05
soy_sauce,corn_oil,0.001157
tomato,spring_onion,0.00019283
chicken_stock,garlic,9.6413e-05
coriander_seed,shrimp,9.6413e-05
ingredient,soy_sauce,0.0056884
soy_sauce,bamboo,0.00096413
ginger,sugar,9.6413e-05
wine,white_pepper,9.6413e-05
soy_sauce,ham,0.0010605
chilli,tofu,0.00038565
chilli,beef,0.00038565
cucumber,spring_onion,9.6413e-05
chilli,white_pepper,0.00038565
cabbage,napa,0.00019283
sauce,tofu,0.00019283
corn_oil,red_pepper,0.00038565
soy_sauce,pea,0.00096413
carrot,sauce,0.00028924
spring_onion,ham,9.6413e-05
vegetable_oil,chicken,0.0026996
tomato_ketchup,ginger,0.00038565
peanut_oil,bamboo_shoot,0.00019283
white,white_pepper,9.6413e-05
oyster,mushroom,9.6413e-05
chicken,bamboo_shoot,9.6413e-05
garlic,coriander_seed,9.6413e-05
pork,water,0.0019283
tomato,ginger,0.00019283
sesame_oil,star_anise,9.6413e-05
vinegar,garlic,9.6413e-05
flour,rice,0.00019283
spinach,ginger,9.6413e-05
chilli,sherry,0.00038565
white,rice,9.6413e-05
ginger,ham,9.6413e-05
chilli,noodle,0.00038565
peanut_oil,wine,0.00019283
sauce,beef,0.00019283
sauce,hoisin_sauce,0.00019283
chicken_stock,white_pepper,9.6413e-05
water,shrimp,0.00077131
carrot,red_pepper,0.00028924
stock,spring_onion,0.00028924
chicken,celery,9.6413e-05
sesame,paste,9.6413e-05
soy_sauce,pork_loin,0.0010605
soy_sauce,pimiento,0.0010605
oyster,white_pepper,9.6413e-05
pork,wine,0.0017354
chilli,black_bean,0.00038565
oyster,shrimp,9.6413e-05
fish,sesame_oil,9.6413e-05
sesame_oil,shallot,9.6413e-05
soy_sauce,sugar,0.0010605
ingredient,ginger,0.0047243
water,peanut_oil,0.00077131
carrot,coriander_seed,0.00028924
egg,peanut_oil,0.00019283
peanut,soy_sauce,0.013112
water,rice,0.00077131
cucumber,rice,9.6413e-05
chicken,ham,9.6413e-05
chilli,oyster,0.00038565
corn_oil,peppercorn,0.00038565
wine,vinegar,9.6413e-05
chilli,celery,0.00038565
honey,ginger,0.00028924
sauce,noodle,0.00019283
pork,bean,0.0020247
soy_sauce,snow_pea,0.0010605
peanut_oil,black_bean,0.00019283
chicken_stock,tofu,9.6413e-05
sherry,mushroom,9.6413e-05
peppercorn,chicken,9.6413e-05
chicken_stock,coriander_seed,9.6413e-05
pork,vinegar,0.0019283
snow_pea,ginger,0.00019283
spinach,spring_onion,9.6413e-05
ginger,juice,9.6413e-05
peppercorn,vinegar,9.6413e-05
cucumber,vinegar,9.6413e-05
chicken_stock,noodle,9.6413e-05
chicken,shrimp,9.6413e-05
flank_steak,beef,0.00048207
peanut_oil,shallot,0.00019283
wine,shrimp,9.6413e-05
water,sauce,0.00077131
sesame_seed,ginger,0.00019283
chilli,lemongrass,0.00038565
sauce,sesame,0.00019283
bean_sprout,rice,0.00019283
sesame_oil,spinach,9.6413e-05
chilli,cucumber,0.00038565
sherry,beef,9.6413e-05
coriander_seed,white_pepper,9.6413e-05
shrimp,mushroom,9.6413e-05
pork,tofu,0.0019283
white,chicken_stock,9.6413e-05
carrot,chicken_stock,0.00028924
peanut_oil,onion,0.00019283
spring_onion,pea,9.6413e-05
garlic,paste,9.6413e-05
bean,garlic,9.6413e-05
red_pepper,coriander_seed,9.6413e-05
vegetable_oil,pork,0.0026032
corn_oil,sesame_oil,0.00038565
chicken_stock,sherry,9.6413e-05
oyster,wine,9.6413e-05
sesame_seed,spring_onion,0.00019283
lemongrass,ginger,9.6413e-05
sesame_oil,wonton,9.6413e-05
ginger,pimiento,9.6413e-05
vegetable_oil,vinegar,0.0024103
soy_sauce,flank_steak,0.001157
carrot,cabbage,0.00028924
stock,ginger,0.00028924
carrot,peppercorn,0.00028924
cinnamon,spring_onion,0.00067489
ginger,green_pepper,9.6413e-05
rice,hoisin_sauce,9.6413e-05
vinegar,mushroom,9.6413e-05
water,oyster,0.00077131
chilli,star_anise,0.00038565
peanut_oil,bean_sprout,0.00019283
peanut_oil,star_anise,0.00019283
chicken,sesame,9.6413e-05
tofu,mushroom,9.6413e-05
spring_onion,onion,9.6413e-05
vinegar,shrimp,9.6413e-05
vegetable_oil,sherry,0.0023139
chilli,fish,0.00038565
orange,spring_onion,0.00019283
vinegar,sesame,9.6413e-05
chilli,corn_oil,0.00038565
chilli,shallot,0.00038565
snow_pea,sesame_oil,0.00019283
ginger,bamboo,9.6413e-05
ginger,pea,9.6413e-05
red_pepper,celery,9.6413e-05
chicken,star_anise,9.6413e-05
spring_onion,wonton,9.6413e-05
pork,sparerib,0.0018319
oyster,coriander_seed,9.6413e-05
wine,garlic,9.6413e-05
noodle,coriander_seed,9.6413e-05
honey,sesame_oil,0.00028924
sesame_oil,bamboo,9.6413e-05
red_pepper,mushroom,9.6413e-05
pork,hoisin_sauce,0.0020247
pork,white,0.0019283
water,chicken,0.00077131
tomato_ketchup,spring_onion,0.00038565
rice,bamboo_shoot,9.6413e-05
pimiento,spring_onion,9.6413e-05
shrimp,bamboo_shoot,9.6413e-05
pork,paste,0.0019283
chilli,peppercorn,0.00038565
corn_oil,vinegar,0.00038565
tomato_ketchup,sesame_oil,0.00038565
tomato,sesame_oil,0.00019283
peanut_oil,hoisin_sauce,0.00019283
sesame_oil,pea,9.6413e-05
rice,tofu,9.6413e-05
soy_sauce,wonton,0.00096413
carrot,cucumber,0.00028924
shallot,rice,9.6413e-05
garlic,shrimp,9.6413e-05
noodle,shrimp,9.6413e-05
vegetable_oil,shrimp,0.0023139
chilli,tomato,0.00038565
fish,rice,9.6413e-05
shallot,spring_onion,9.6413e-05
pork,coriander_seed,0.0020247
oyster,tofu,9.6413e-05
chicken,paste,9.6413e-05
celery,mushroom,9.6413e-05
peanut,chilli,0.01128
sherry,star_anise,9.6413e-05
oyster,garlic,9.6413e-05
coriander_seed,mushroom,9.6413e-05
water,bamboo_shoot,0.00077131
sauce,flour,0.00019283
shallot,coriander_seed,9.6413e-05
ginger,lemon,9.6413e-05
chicken,noodle,9.6413e-05
soy_sauce,napa,0.0010605
sesame_oil,pimiento,9.6413e-05
sesame_oil,onion,9.6413e-05
oyster,vinegar,9.6413e-05
celery,rice,9.6413e-05
bean,sesame,9.6413e-05
peanut,ginger,0.010702
chilli,flour,0.00038565
tomato_ketchup,rice,0.00038565
carrot,oyster,0.00028924
flour,chicken,0.00019283
white,sherry,9.6413e-05
ginger,fillet,9.6413e-05
red_pepper,black_bean,9.6413e-05
chicken,bean,9.6413e-05
water,sherry,0.00077131
