field,count
Andrea_Nguyen,177
Ann_Le,101
Annabel_Jackson,74
Charles_Phan,94
Corinne_Trang,136
Daniel_Hoyer,65
Gordon_Ramsay,114
Luke_Nguyen,367
Mai_Pham,363
Mark_Jensen,129
Nancie_McDermott,78
Nhut_Huynh,80
Nicole_Routhier,158
