field,count
Afternoon_tea,56
Algerian,2
Appetizers_/_starters,302
Baked_&_steamed_desserts,12
Beverages_/_drinks_(no-alcohol),65
Bread_&_buns__sweet,5
Bread_&_rolls__savory,59
Breakfast_/_brunch,45
Brownies__slices_&_bars,1
Cakes__large,9
Cakes__small,3
Canapés_/_hors_d'oeuvre,29
Candy_/_sweets,11
Cheesecakes,1
Chutneys__pickles_&_relishes,30
Cocktails_/_drinks_(with_alcohol),1
Cookies__biscuits_&_crackers,35
Cooking_ahead,72
Cooking_for_1_or_2,23
Cooking_for_a_crowd,12
Crumbles__cobblers__crisps_&_bettys,1
Curry,3
Dessert,235
Dinner_parties/entertaining,20
Dips__spreads_&_salsas,72
Dressings_&_marinades,46
Egg_dishes,46
Fall_/_autumn,3
French,5
Fried_doughs,25
Frostings_&_fillings,2
Grills_&_BBQ,111
Ice_cream_&_frozen_desserts,25
Indian,39
Italian,11
Jams__jellies_&_preserves,37
Jewish,2
Lebanese,5
Lunch,10
Main_course,941
Mediterranean,77
Middle_Eastern,8
Moroccan,2111
Mousses__trifles__custards_&_creams,40
North_African,29
Pancakes__waffles_&_crêpes,27
Passover,2
Pasta__doughs_&_sauces,6
Picnics_&_outdoors,12
Pies__tarts_&_pastries,158
Pizza_&_calzones,4
Quick_/_easy,79
Rice_dishes,36
Salads,296
Sandwiches_&_burgers,12
Sauces_for_desserts,10
Sauces_for_fish,18
Sauces_for_meat,7
Sauces_for_poultry,7
Sauces__general,56
Seasonal,1
Side_dish,367
Small_plates_-_tapas__meze,39
Snacks,95
Soups,96
Spanish,71
Spice_/_herb_blends_&_rubs,70
Spring,9
Stews_&_one-pot_meals,454
Stir-fries,1
Stocks,13
Stuffing,21
Summer,13
Suppers,3
Syrian,20
Thai,1
Tunisian,4
Turkish,13
Vegan,393
Vegetarian,679
Winter,12
