source,target,weight
chicken_stock,celery,2.0458e-05
carrot,veal,8.1833e-05
red_onion,celery,0.00034779
carrot,basil,8.1833e-05
tomato,olive_oil,6.1375e-05
celery,veal,2.0458e-05
red_pepper,onion,2.0458e-05
carrot,garlic,8.1833e-05
white,flour,0.0021277
sage,celery,2.0458e-05
tomato_paste,onion,2.0458e-05
cheese,parsley,2.0458e-05
carrot,tomato_paste,8.1833e-05
milk,egg,8.1833e-05
sage,onion,2.0458e-05
carrot,chicken_stock,8.1833e-05
flour,nutmeg,4.0917e-05
tomato,egg,6.1375e-05
white,rosemary,0.0021072
chicken,celery,2.0458e-05
tomato,chicken_stock,6.1375e-05
carrot,chicken,8.1833e-05
tomato,beef,6.1375e-05
flour,onion,4.0917e-05
pasta,penne,0.00010229
tomato,sage,6.1375e-05
red_wine,onion,2.0458e-05
carrot,sage,8.1833e-05
beef,parsley,2.0458e-05
parsley,nutmeg,2.0458e-05
egg,lemon,6.1375e-05
egg,nutmeg,6.1375e-05
beef,onion,2.0458e-05
eggplant,basil,2.0458e-05
spaghetti,parsley,0.00038871
ingredient,tomato,0.0010843
egg_yolk,milk,0.00014321
garlic,oregano,2.0458e-05
egg,onion,6.1375e-05
milk,flour,8.1833e-05
zucchini,basil,2.0458e-05
peppercorn,white_wine,2.0458e-05
chilli,garlic,0.00012275
garlic,lemon,2.0458e-05
lemon,sugar,2.0458e-05
celery,red_wine,2.0458e-05
chicken_stock,white_wine,2.0458e-05
egg_yolk,flour,0.00014321
carrot,red_wine,8.1833e-05
rosemary,peppercorn,4.0917e-05
tomato,zucchini,6.1375e-05
white,bay_leaf,0.0018822
zucchini,parsley,2.0458e-05
garlic,bay_leaf,2.0458e-05
flour,semolina,4.0917e-05
red_onion,carrot,0.00036825
red_pepper,oregano,2.0458e-05
veal,onion,2.0458e-05
butter,lemon,2.0458e-05
thyme,peppercorn,4.0917e-05
peppercorn,oregano,2.0458e-05
chicken,onion,2.0458e-05
white,chicken_stock,0.0020049
pasta,cheese,0.00010229
egg,sugar,6.1375e-05
pasta,anchovy,0.00010229
egg,ricotta,6.1375e-05
mussel,parsley,0.00016367
flour,basil,4.0917e-05
milk,nutmeg,8.1833e-05
pork,onion,2.0458e-05
red_pepper,celery,2.0458e-05
tomato,pork,6.1375e-05
mint,parsley,2.0458e-05
tomato,red_wine,6.1375e-05
spaghetti,tomato,0.00038871
tomato,veal,6.1375e-05
tomato,tomato_paste,6.1375e-05
rosemary,potato,4.0917e-05
parsley,globe_artichoke,2.0458e-05
white_wine,lemon,2.0458e-05
carrot,mushroom,8.1833e-05
onion,lemon,2.0458e-05
chilli,onion,0.00012275
butter,sugar,2.0458e-05
red_onion,basil,0.00034779
thyme,garlic,4.0917e-05
celery,mushroom,2.0458e-05
raisin,pine_nut,4.0917e-05
wine_vinegar,white_wine,6.1375e-05
milk,butter,8.1833e-05
wine_vinegar,red_wine,6.1375e-05
olive_oil,basil,2.0458e-05
flour,bread,4.0917e-05
parsley,ricotta,2.0458e-05
white,lemon,0.0018003
tomato,bean,6.1375e-05
onion,nutmeg,2.0458e-05
ingredient,flour,0.0010843
sage,white_wine,2.0458e-05
tomato,spring_onion,6.1375e-05
bean,celery,6.1375e-05
black_olive,tomato,0.0012275
cheese,basil,2.0458e-05
prosciutto,parsley,0.00063421
parsley,squid,2.0458e-05
tomato,chicken,6.1375e-05
white,garlic,0.0018003
parsley,butter,2.0458e-05
basil,potato,2.0458e-05
pasta,white_wine,0.00010229
olive_oil,onion,2.0458e-05
pasta,oregano,0.00010229
ricotta,nutmeg,2.0458e-05
pork,parsley,2.0458e-05
thyme,white_wine,4.0917e-05
tomato,lemon,6.1375e-05
garlic,potato,2.0458e-05
bread,basil,4.0917e-05
