field,count
Italian_Cooking_Class_Cookbook,87
Italian_Cooking_at_Home_with_the_Culinary_Institute_of_America,177
Italian_Country_Cooking:_The_Secrets_of_Cucina_Povera,125
Italian_Easy:_Recipes_from_the_London_River_Cafe,187
Italian_Farmhouse_Cookbook,211
Italian_Food,428
Italian_Food_Safari:_A_Delicious_Celebration_of_the_Italian_Kitchen,80
Italian_Grill,90
Italian_Home_Cooking:_125_Recipes_to_Comfort_the_Soul,127
Italian_Local,115
Italian_Regional_Cookery,249
Italian_Regional_Cooking,660
Italian_Slow_and_Savory,140
Italian_Two_Easy:_Simple_Recipes_from_the_London_River_Cafe,132
Italian__My_Way:_More_Than_150_Simple_and_Inspired_Recipes_That_Breathe_New_Life_into_Italian_Classics,159
Italian:_Williams-Sonoma_Collection,43
Italy_In_Small_Bites,195
Italy_Today:__The_Beautiful_Cookbook:_Contemporary_Recipes_Reflecting_Simple__Fresh_Italian_Cooking,221
Italy_al_Dente:_Pasta__Risotto__Gnocchi__Polenta__Soup,198
Italy:_The_Beautiful_Cookbook:_Authentic_Recipes_from_the_Regions_of_Italy,247
Jamie_s_Italy_(USA),131
Julie_Biuso_Trilogy_Slipcase:_Fresh__Take_a_Vine-Ripened_Tomato__Viva_L_Italia,318
Julie_Biuso_s_Italian_Cooking,119
La_Cucina_Siciliana_di_Gangivecchio:_Gangivecchio_s_Sicilian_Kitchen,232
La_Cucina_di_Lidia:_Recipes_and_Memories_from_Italy_s_Adriatic_Coast,154
La_Cucina:_The_Regional_Cooking_of_Italy,2006
La_Mia_Cucina_Toscana:_A_Tuscan_Cooks_in_America,120
Lidia_Cooks_from_the_Heart_of_Italy:_A_Feast_of_175_Regional_Recipes,172
Lidia_s_Family_Table:_More_Than_200_Fabulous_Recipes_to_Enjoy_Every_Day-With_Wonderful_Ideas_for_Variations_and_Improvisations,222
Lidia_s_Favorite_Recipes:_100_Foolproof_Italian_Dishes__from_Basic_Sauces_to_Irresistible_Entr_es,103
Lidia_s_Italian_Table:_More_Than_200_Recipes_From_The_First_Lady_of_Italian_Cooking,209
Lidia_s_Italian-American_Kitchen,254
Lidia_s_Italy_in_America:_More_Than_175_Lovely__Tasty_Recipes—and_Their_Stories—from_All_Parts_of_Italian_America_Today,177
Lidia_s_Italy:_140_Simple_And_Delicious_Recipes_From_The_Ten_Places_In_Italy_Lidia_Loves_Most,143
Limoncello_and_Linen_Water:_A_Trousseau_of_Italian_Recipes,149
Lorenza_s_Pasta:_200_Recipes_for_Family_and_Friends,196
Made_in_Italy,140
Made_in_Italy:_Food_and_Stories,237
Made_in_Sicily,156
Mamma_Agata:_Simple_and_Genuine,48
Marcella_Cucina,182
Marcella_Says...:_Italian_Cooking_Wisdom_From_The_Legendary_Teacher_s_Master_Classes__With_120_of_Her_Irresistible_New_Recipes,116
Marcella_s_Italian_Kitchen,236
Marcella_s_Kitchen,236
Mario_Batali_Holiday_Food,71
Mario_Batali_Simple_Italian_Food:_Recipes_from_My_Two_Villages,237
Modern_Italian_Food,151
Molto_Batali:_Simple_Family_Meals_from_My_Home_to_Yours,124
Molto_Gusto:_Easy_Italian_Cooking,153
Molto_Italiano:_Simple_Italian_Recipes_for_Cooking_at_Home,332
More_Classic_Italian_Cooking,220
More_Great_Italian_Pasta,100
My_Calabria:_Rustic_Family_Cooking_from_Italy_s_Undiscovered_South,116
My_Cousin_Rosa:_Rosa_Mitchell_s_Sicilian_Kitchen,93
My_Italian_Garden:_More_Than_125_Seasonal_Recipes_from_a_Garden_Inspired_by_Italy,143
My_Italian_Heart:_Recipes_from_an_Italian_Kitchen,117
My_Umbrian_Kitchen,147
Naples_at_Table:_Cooking_in_Campania,223
Nella_Cucina:_More_Italian_Cooking_from_the_Host_of_Ciao_Italia,182
Nick_Stellino_s_Family_Kitchen,134
Nick_Stellino_s_Passione:_Pizza__Pasta_and_Panini,135
Nigellissima:_Instant_Italian_Inspiration,112
No_Need_to_Knead:_Handmade_Italian_Breads_in_90_Minutes,114
Old_World_New:_Family_Meals_From_the_Heart_of_Genoa,26
On_Top_of_Spaghetti…:_Macaroni__Linguine__Penne__and_Pasta_of_Every_Kind,144
Osteria:_Hearty_Italian_Fare_from_Rick_Tramonto_s_Kitchen,187
Panini_Express:_70_Delicious_Recipes__Hot_Off_the_Press,70
Panini__Bruschetta__Crostini:_Sandwiches__Italian_Style,75
Passion_for_Pasta,88
Passione:_The_Italian_Cookbook,117
Pasta_Artigiana:_Simple_to_Extraordinary,94
Pasta_Fresca:_An_Exuberant_Collection_of_Fresh__Vivid__and_Simple_Pasta_Recipes,138
Pasta_Italiana:_100_Recipes_From_Fettuccine_to_Conchiglie,102
Pasta_e_Verdura:_140_Vegetable_Sauces_for_Spaghetti__Fusilli__Rigatoni__and_All_Other_Noodles,141
Patricia_Wells_Trattoria:_Simple_and_Robust_Fare_Inspired_by_the_Small_Family_Restaurants_of_Italy,156
Pizza_Any_Way_You_Slice_It!:_Easy_Recipes_for_Great_Homemade_Pizzas__Focaccia__and_Calzones,89
Polpo:_A_Venetian_Cookbook_(of_Sorts),146
Ralph_s_Italian_Restaurant:_100_Years_and_100_Recipes,102
Rao_s_Cookbook:_Over_100_Years_of_Italian_Home_Cooking,104
Rao_s_on_the_Grill:_Perfectly_Simple_Italian_Recipes_from_My_Family_to_Yours,95
Recipes_and_Dreams_from_an_Italian_Life,149
Recipes_from_an_Italian_Summer,400
Red__White__and_Greens:_The_Italian_Way_with_Vegetables,179
Regional_Cooking_of_Italy:_Recipes__Techniques__Traditions__325_Recipes,335
Riso:_Undiscovered_Rice_Dishes_of_Northern_Italy,95
Risotto_Risotti:_Over_100_Classic_and_Contemporary_Recipes_with_Low-Fat_and_Shortcut_Tips,118
Risotto:_A_Taste_of_Milan,17
Ristorante_Fellini:_Italian_Cooking_at_its_Best,76
River_Cafe_Cookbook_Easy,187
River_Cafe_Cookbook_Green,195
River_Cafe_Cookbook_Two,201
River_Cafe_Cookbooks_1_2_(Boxed_Set),408
River_Cafe_Italian_Kitchen:_All_the_Recipes_from_the_Television_Series,90
River_Cafe_Two_Easy,149
Rogers_Gray_Italian_Country_Cookbook,196
