Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
onion,0,84,202,20
parsley,1,78,191,20
thyme,2,72,99,20
tomato,3,62,142,20
bay_leaf,4,61,88,20
carrot,5,61,157,20
butter,6,56,128,20
shallot,7,53,133,20
spring_onion,8,49,129,20
white_wine,9,47,113,20
white,10,46,118,20
garlic,11,45,85,20
potato,12,44,87,20
celery,13,44,80,20
egg_yolk,14,43,80,20
mushroom,15,41,106,20
egg,16,40,62,18
flour,17,35,40,16
peppercorn,18,34,39,20
lemon,19,34,46,19
heavy_cream,20,33,35,20
milk,21,32,29,16
red_pepper,22,31,37,20
veal,23,30,30,20
tarragon,24,30,43,20
nutmeg,25,29,33,17
chicken_stock,26,28,28,20
poulet,27,27,22,20
bacon,28,26,24,19
sugar,29,25,17,10
vinegar,30,23,12,18
orange,31,23,15,14
boeuf,32,23,11,18
cream,33,23,16,16
pork,34,22,11,18
basil,35,21,14,15
fish,36,21,6,19
tomato_paste,37,21,6,19
chive,38,21,12,18
chervil,39,19,12,16
fennel,40,19,10,15
red_wine,41,18,5,16
bread,42,16,6,14
coriander_seed,43,16,6,12
jambon,44,15,6,13
truffle,45,13,5,11
saffron,46,13,2,13
almond,47,13,5,10
stock,48,12,2,12
white_turnip,49,12,6,9
shoulder,50,11,4,10
olive_oil,51,10,8,8
cinnamon,52,10,7,6
castor_sugar,53,10,3,9
rosemary,54,10,2,10
lamb,55,10,4,9
dark_chocolate,56,9,2,9
white_pepper,57,9,1,10
rice,58,8,5,6
apple,59,8,4,6
beef_stock,60,8,2,8
mussel,61,8,2,8
vanilla_extract,62,7,2,7
pea,63,7,1,8
duck,64,7,2,7
vanilla_bean,65,7,1,8
vegetable_oil,66,7,2,7
anchovy,67,7,3,6
double_cream,68,6,1,7
jelly,69,6,2,6
oregano,70,6,2,6
eggplant,71,6,1,7
sherry,72,5,1,6
spinach,73,5,1,6
chilli,74,5,1,6
brandy,75,5,2,5
sweet_pepper,76,5,2,5
black_olive,77,5,1,6
juniper_berry,78,5,2,5
caper,79,5,2,5
rum,80,5,1,6
herb,81,4,1,5
whipping_cream,82,4,1,5
apricot,83,4,1,5
ginger,84,4,2,4
chou,85,4,1,5
sage,86,4,2,4
sausage,87,4,1,5
pasta,88,3,1,4
shrimp,89,3,1,4
green_bean,90,3,1,4
allspice,91,3,2,3
rabbit,92,3,2,3
wine_vinegar,93,3,2,3
green_pepper,94,3,1,4
meat,95,2,1,3
coffee,96,2,2,2
celery_root,97,2,1,3
lobster,98,2,1,3
chicken_liver,99,2,1,3
fennel_seed,100,2,2,2
kirsch,101,2,1,3
orange_juice,102,1,1,2
foie_gras,103,1,1,2
orange_peel,104,1,1,2
cumin_seed,105,1,1,2
liver,106,1,1,2
vegetable_marrow,107,1,1,2
cider,108,1,1,2
globe_artichoke,109,1,1,2
salt,110,1,1,2
salt_pork,111,1,1,2
pear,112,1,1,2
honey,113,1,1,2
cucumber,114,1,1,2
strawberry,115,1,1,2
savory,116,1,1,2
lime,117,1,1,2
white_bread,118,1,1,2
patty,119,1,1,2
tart,120,1,1,2
grain,121,1,1,2
raisin,122,1,1,2
raspberry,123,1,1,2
plain_flour,124,1,1,2
cocoa_powder,125,1,1,2
lard,126,1,1,2
leg,127,1,1,2
goose,128,1,1,2
instant_coffee,129,1,1,2
peanut_oil,130,1,1,2
