Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chilli,0,59,57,16
coriander_seed,1,58,56,16
ginger,2,55,99,16
cumin_seed,3,54,101,16
turmeric,4,48,88,16
cardamon,5,34,45,16
tomato,6,33,54,16
red_pepper,7,33,58,16
cinnamon,8,31,47,16
mustard_seed,9,31,50,16
yogurt,10,31,51,16
onion,11,29,46,16
garlic,12,25,24,16
peppercorn,13,24,22,16
curry,14,21,14,16
rice,15,21,18,14
ghee,16,21,20,15
potato,17,21,14,16
coconut,18,20,18,16
fenugreek_seed,19,19,8,16
bay_leaf,20,19,14,14
tamarind,21,16,4,15
lamb,22,15,3,14
flour,23,15,8,12
chicken,24,14,2,14
fennel_seed,25,13,2,13
mint,26,13,8,10
red_onion,27,12,2,12
paprika,28,11,2,11
pea,29,11,4,10
lime,30,11,4,10
nutmeg,31,10,4,9
almond,32,10,4,8
coconut_water,33,10,2,10
garbanzo,34,10,4,9
carrot,35,9,2,9
saffron,36,8,2,8
cashew_nut,37,8,2,8
mace,38,8,4,7
peanut_oil,39,7,2,7
mustard_greens,40,7,2,7
mango,41,7,2,7
eggplant,42,6,2,6
vegetable_oil,43,5,2,5
shallot,44,5,2,5
cauliflower,45,5,2,5
mustard oil,46,5,2,5
lemon,47,5,2,5
spinach,48,5,2,5
black_mustard,49,5,2,5
lentil,50,5,2,5
shrimp,51,5,2,5
spring_onion,52,4,2,4
peanut,53,3,2,3
split,54,3,2,3
sesame_seed,55,3,2,3
raisin,56,2,1,3
fish,57,2,2,2
pistachio_nut,58,2,1,3
shoulder,59,2,1,3
egg,60,2,2,2
tomato_paste,61,2,1,3
white,62,2,2,2
milk,63,2,1,3
vinegar,64,2,1,3
sugar,65,1,1,2
grain,66,1,1,2
cucumber,67,1,1,2
sesame_oil,68,1,1,2
