Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
soy_sauce,0,50,45,9
ginger,1,41,36,9
spring_onion,2,41,67,9
sesame_oil,3,35,55,9
peanut_oil,4,26,40,9
rice,5,24,33,9
chilli,6,19,22,9
chicken,7,19,22,9
pork,8,15,16,9
carrot,9,11,6,9
vinegar,10,11,6,9
chicken_stock,11,11,6,9
mushroom,12,11,6,9
red_pepper,13,10,4,9
oyster,14,10,4,9
shrimp,15,10,6,8
white_pepper,16,9,4,8
coriander_seed,17,8,2,8
sherry,18,8,2,8
garlic,19,8,2,8
bean,20,8,4,7
wine,21,7,2,7
sesame,22,7,2,7
white,23,7,4,6
peppercorn,24,7,2,7
flour,25,6,2,6
tofu,26,6,2,6
vegetable_oil,27,5,2,5
beef,28,5,2,5
bamboo_shoot,29,5,2,5
noodle,30,5,2,5
star_anise,31,4,4,3
celery,32,4,2,4
water,33,4,2,4
hoisin_sauce,34,4,2,4
duck,35,3,2,3
black_bean,36,3,2,3
fish,37,3,2,3
egg,38,3,1,4
cinnamon,39,3,2,3
bean_sprout,40,3,1,4
cabbage,41,3,2,3
cucumber,42,2,1,3
shallot,43,2,2,2
onion,44,2,2,2
corn_oil,45,2,1,3
tomato,46,1,1,2
orange,47,1,1,2
tomato_ketchup,48,1,1,2
honey,49,1,1,2
green_pepper,50,1,1,2
spinach,51,1,1,2
stock,52,1,1,2
grain,53,1,1,2
