Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
onion,0,53,102,15
parsley,1,51,96,15
thyme,2,48,57,15
carrot,3,43,70,15
bay_leaf,4,38,35,15
tomato,5,36,48,15
shallot,6,34,65,15
butter,7,34,62,15
white,8,31,49,15
white_wine,9,29,47,15
spring_onion,10,28,41,15
mushroom,11,28,33,15
celery,12,27,40,15
garlic,13,26,24,15
heavy_cream,14,22,29,12
potato,15,21,22,13
egg_yolk,16,20,20,11
peppercorn,17,19,9,15
egg,18,19,19,9
tarragon,19,19,12,13
veal,20,18,8,15
lemon,21,18,13,12
poulet,22,17,6,15
sugar,23,16,14,7
chicken_stock,24,16,8,14
milk,25,16,18,8
red_pepper,26,15,4,14
nutmeg,27,15,12,10
flour,28,14,16,8
tomato_paste,29,13,2,13
bacon,30,13,6,11
chive,31,11,6,8
fennel,32,10,2,10
fish,33,10,2,10
boeuf,34,10,2,10
pork,35,10,3,9
orange,36,9,3,8
vinegar,37,9,2,9
white_turnip,38,8,2,8
red_wine,39,8,2,8
cream,40,7,6,5
castor_sugar,41,6,3,5
basil,42,6,2,6
almond,43,6,2,6
rosemary,44,6,2,6
chervil,45,6,2,6
jambon,46,6,2,6
lamb,47,5,1,6
apple,48,4,2,4
coriander_seed,49,4,1,5
shoulder,50,4,1,5
beef_stock,51,4,1,5
duck,52,4,2,4
bread,53,4,2,4
vanilla_extract,54,3,2,3
dark_chocolate,55,3,1,4
cinnamon,56,3,2,3
vanilla_bean,57,3,1,4
stock,58,3,1,4
saffron,59,3,1,4
eggplant,60,2,1,3
caper,61,2,1,3
mussel,62,2,1,3
rice,63,2,2,2
anchovy,64,2,1,3
juniper_berry,65,2,2,2
olive_oil,66,2,1,3
pea,67,2,1,3
rum,68,1,1,2
grain,69,1,1,2
chou,70,1,1,2
oregano,71,1,1,2
sherry,72,1,1,2
truffle,73,1,1,2
white_pepper,74,1,1,2
vegetable_oil,75,1,1,2
sage,76,1,1,2
black_olive,77,1,1,2
