Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,35,38,12
onion,1,34,37,12
thyme,2,29,19,12
carrot,3,25,26,12
bay_leaf,4,23,13,12
shallot,5,21,16,12
butter,6,19,18,9
white,7,19,11,12
tomato,8,18,11,12
celery,9,18,14,12
white_wine,10,18,12,12
mushroom,11,17,13,11
spring_onion,12,17,11,12
garlic,13,14,6,12
peppercorn,14,12,2,12
heavy_cream,15,12,6,8
sugar,16,11,7,6
egg_yolk,17,10,6,6
chicken_stock,18,10,2,10
egg,19,9,5,6
tarragon,20,9,2,9
milk,21,9,5,6
potato,22,9,2,9
veal,23,9,2,9
flour,24,8,4,6
poulet,25,8,2,8
lemon,26,6,3,5
red_pepper,27,6,2,6
nutmeg,28,6,3,5
bacon,29,6,2,6
tomato_paste,30,6,2,6
boeuf,31,5,2,5
pork,32,5,2,5
basil,33,4,1,5
red_wine,34,4,2,4
cream,35,3,2,3
almond,36,3,1,4
vinegar,37,3,2,3
white_turnip,38,3,1,4
orange,39,2,1,3
chive,40,2,1,3
chervil,41,2,1,3
caper,42,1,1,2
sherry,43,1,1,2
bread,44,1,1,2
vanilla_extract,45,1,1,2
rosemary,46,1,1,2
vanilla_bean,47,1,1,2
eggplant,48,1,1,2
stock,49,1,1,2
jambon,50,1,1,2
