Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
soy_sauce,0,181,597,30
ginger,1,171,587,30
spring_onion,2,156,1139,30
sesame_oil,3,140,1092,30
peanut_oil,4,125,1037,30
rice,5,124,1068,30
chilli,6,116,1011,30
chicken,7,96,986,30
vinegar,8,88,938,30
chicken_stock,9,84,929,30
coriander_seed,10,83,876,30
carrot,11,83,769,30
garlic,12,82,956,30
shrimp,13,82,759,30
pork,14,80,849,30
sherry,15,79,485,29
red_pepper,16,72,777,30
mushroom,17,72,794,30
oyster,18,70,576,30
white_pepper,19,69,510,30
wine,20,67,394,30
vegetable_oil,21,63,570,30
flour,22,63,227,30
peppercorn,23,59,414,30
noodle,24,57,410,30
tofu,25,57,432,30
white,26,56,283,30
bamboo_shoot,27,55,366,30
bean,28,55,356,30
beef,29,54,287,29
celery,30,52,462,30
star_anise,31,52,226,27
hoisin_sauce,32,51,302,30
shallot,33,51,246,28
onion,34,48,147,28
tomato,35,48,120,27
bean_sprout,36,47,174,30
sesame,37,46,106,30
water,38,46,121,30
cabbage,39,45,114,30
egg,40,44,116,27
orange,41,40,156,25
fish,42,40,50,29
cucumber,43,40,68,29
honey,44,39,134,25
duck,45,38,128,27
cinnamon,46,37,87,21
sesame_seed,47,36,64,26
black_bean,48,36,74,25
corn_oil,49,35,46,23
lemongrass,50,35,50,22
pea,51,33,44,26
green_pepper,52,32,34,26
tomato_ketchup,53,31,34,23
peanut,54,31,22,26
ham,55,30,42,23
spinach,56,30,16,25
pimiento,57,29,54,22
stock,58,29,42,21
sugar,59,29,30,19
pork_loin,60,27,20,23
bamboo,61,27,8,25
snow_pea,62,27,12,24
lemon,63,25,15,18
lime,64,24,10,20
wonton,65,21,4,20
chive,66,21,10,18
napa,67,21,2,21
lard,68,20,6,18
cumin_seed,69,19,10,16
coconut_milk,70,19,9,15
scallop,71,18,2,18
fillet,72,18,4,17
potato,73,18,4,17
vegetable,74,18,4,17
sweet_basil,75,17,2,17
crabmeat,76,17,8,15
turmeric,77,17,8,14
red_onion,78,17,4,16
corn,79,16,2,16
grain,80,16,4,15
lettuce,81,16,2,16
cider_vinegar,82,16,2,16
asparagus,83,16,2,16
pak_choi,84,15,2,15
pineapple,85,15,3,14
lamb,86,15,4,14
flank_steak,87,15,2,15
mint,88,15,2,15
juice,89,15,2,15
curry_powder,90,15,6,13
salt,91,15,8,12
sweet,92,14,2,14
mustard_greens,93,14,2,14
radish,94,13,4,12
parsley,95,13,6,10
sparerib,96,12,4,11
roll,97,12,2,12
tangerine,98,12,4,11
iceberg_lettuce,99,12,2,12
malt,100,12,4,11
spring_roll,101,12,2,12
yellow_bean,102,11,2,11
broccoli,103,11,2,11
rib,104,11,2,11
mung_bean,105,11,2,11
fennel_seed,106,10,4,9
shoulder,107,10,4,9
eggplant,108,10,2,10
walnut,109,10,2,10
pork_belly,110,9,2,9
egg_noodle,111,9,2,9
peanut_butter,112,9,2,9
wheat_berry,113,9,2,9
squid,114,9,2,9
plum_sauce,115,9,2,9
white_rice,116,8,2,8
egg_yolk,117,8,3,7
bacon,118,8,2,8
sea_scallop,119,8,2,8
soybean,120,8,2,8
green,121,7,2,7
tapioca,122,7,2,7
ground_beef,123,7,2,7
green_bean,124,7,2,7
wine_vinegar,125,7,2,7
caster_sugar,126,7,2,7
almond,127,7,3,6
sea_bass,128,6,2,6
oyster mushroom,129,6,2,6
pork_tenderloin,130,6,2,6
orange_juice,131,6,2,6
salmon,132,6,2,6
brown_sugar,133,6,2,6
cashew_nut,134,6,2,6
gin,135,6,2,6
lobster,136,6,2,6
vodka,137,6,2,6
soybean_oil,138,6,2,6
vermicelli,139,5,2,5
rock_candy,140,5,2,5
stock_cube,141,5,2,5
chestnut,142,5,2,5
tomato_paste,143,5,2,5
carp,144,5,2,5
pine_nut,145,5,2,5
clam,146,4,2,4
chicken_liver,147,4,2,4
watercress,148,4,2,4
brandy,149,4,2,4
cardamom,150,4,2,4
turkey,151,4,2,4
leg,152,4,2,4
heavy_cream,153,4,2,4
hot_pepper,154,4,2,4
curd,155,4,2,4
pasta,156,4,1,5
milk,157,4,2,4
cod,158,3,2,3
garlic_chive,159,3,2,3
white_turnip,160,3,2,3
sugar_snap_pea,161,3,2,3
orange_peel,162,3,2,3
aniseed,163,3,2,3
butter,164,3,1,4
squab,165,3,2,3
mango,166,2,2,2
mussel,167,2,1,3
dry_mustard,168,2,1,3
pineapple_juice,169,2,1,3
chicken leg,170,2,2,2
melon,171,2,1,3
almond_extract,172,2,1,3
nutmeg,173,2,1,3
oregano,174,2,1,3
tomato_sauce,175,2,1,3
white_bread,176,2,1,3
food_coloring,177,2,1,3
cauliflower,178,2,2,2
meat,179,2,1,3
tea_leaf,180,2,1,3
liver,181,2,2,2
sirloin,182,2,1,3
sake,183,2,2,2
cake,184,2,1,3
rump,185,2,1,3
flounder,186,1,1,2
dumpling,187,1,1,2
fennel,188,1,1,2
bay_leaf,189,1,1,2
bread,190,1,1,2
black_tea,191,1,1,2
chinese_celery,192,1,1,2
coconut,193,1,1,2
quail,194,1,1,2
olive_oil,195,1,1,2
lychee,196,1,1,2
roast_pork,197,1,1,2
red_wine,198,1,1,2
chili_sauce,199,1,1,2
thyme,200,1,1,2
loin,201,1,1,2
raisin,202,1,1,2
beef_stock,203,1,1,2
allspice,204,1,1,2
mustard_seed,205,1,1,2
white_wine,206,1,1,2
apple,207,1,1,2
