lemon,chilli
saffron,cardamon
mustard_greens,turmeric,mustard_seed,cumin_seed,chilli
mustard_greens,turmeric,mustard_seed,cumin_seed,coriander_seed
black_mustard,mustard_seed
milk,cardamon
ginger,chilli,carrot
ginger,chilli,cumin_seed,peanut_oil
ginger,chilli,cumin_seed,mango
ginger,chilli,cumin_seed,mint,yogurt
ginger,chilli,cumin_seed,turmeric,red_onion
ginger,chilli,cumin_seed,turmeric,fennel_seed
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,rice,ghee
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,bay_leaf,tomato
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,peppercorn,tomato,red_pepper
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,lamb
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,tomato,red_pepper
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,chicken
ginger,chilli,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,ghee
ginger,chilli,cumin_seed,turmeric,onion,curry,tomato,mustard_seed
ginger,chilli,cumin_seed,turmeric,onion,mustard_seed,tomato,red_pepper,peppercorn
ginger,chilli,cumin_seed,turmeric,onion,mustard_seed,tomato,red_pepper,yogurt
ginger,chilli,cumin_seed,turmeric,onion,mustard_seed,tomato,red_pepper,potato
ginger,chilli,cumin_seed,turmeric,onion,mustard_seed,rice
ginger,chilli,cumin_seed,turmeric,coconut_water
ginger,chilli,cumin_seed,turmeric,flour,garbanzo
ginger,chilli,cumin_seed,turmeric,fenugreek_seed,tomato,curry,mustard_seed
ginger,chilli,cumin_seed,turmeric,coconut,curry,mustard_seed
ginger,chilli,cumin_seed,turmeric,paprika,tomato,red_pepper
ginger,chilli,cumin_seed,turmeric,tamarind,curry,mustard_seed
ginger,chilli,cumin_seed,turmeric,pea
ginger,chilli,cumin_seed,turmeric,lime
ginger,almond,cardamon
ginger,coriander_seed,carrot
ginger,coriander_seed,cumin_seed,peanut_oil
ginger,coriander_seed,cumin_seed,nutmeg,cardamon,cinnamon
ginger,coriander_seed,cumin_seed,mango
ginger,coriander_seed,cumin_seed,mint,yogurt
ginger,coriander_seed,cumin_seed,turmeric,red_onion
ginger,coriander_seed,cumin_seed,turmeric,fennel_seed
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,rice,ghee
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,bay_leaf,tomato
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,peppercorn,tomato,red_pepper
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,lamb
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,tomato,red_pepper
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,chicken
ginger,coriander_seed,cumin_seed,turmeric,onion,cardamon,cinnamon,garlic,yogurt,ghee
ginger,coriander_seed,cumin_seed,turmeric,onion,curry,tomato,mustard_seed
ginger,coriander_seed,cumin_seed,turmeric,onion,mustard_seed,tomato,red_pepper,peppercorn
ginger,coriander_seed,cumin_seed,turmeric,onion,mustard_seed,tomato,red_pepper,yogurt
ginger,coriander_seed,cumin_seed,turmeric,onion,mustard_seed,tomato,red_pepper,potato
ginger,coriander_seed,cumin_seed,turmeric,onion,mustard_seed,rice
ginger,coriander_seed,cumin_seed,turmeric,coconut_water
ginger,coriander_seed,cumin_seed,turmeric,flour,garbanzo
ginger,coriander_seed,cumin_seed,turmeric,fenugreek_seed,tomato,curry,mustard_seed
ginger,coriander_seed,cumin_seed,turmeric,coconut,curry,mustard_seed
ginger,coriander_seed,cumin_seed,turmeric,paprika,tomato,red_pepper
ginger,coriander_seed,cumin_seed,turmeric,tamarind,curry,mustard_seed
ginger,coriander_seed,cumin_seed,turmeric,pea
ginger,coriander_seed,cumin_seed,turmeric,lime
