Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chili_con_carne,0,28,23,7
onion,1,20,26,7
tomato,2,18,13,7
coriander_seed,3,14,13,7
garlic,4,13,14,7
corn,5,10,8,7
oregano,6,9,8,6
cumin_seed,7,9,6,7
bay_leaf,8,8,6,6
lime,9,8,4,7
peppercorn,10,7,4,6
thyme,11,5,2,5
tortilla,12,5,2,5
chicken,13,5,2,5
chicken_stock,14,5,2,5
avocado,15,4,2,4
carrot,16,4,2,4
pork,17,4,2,4
lard,18,4,2,4
parsley,19,3,2,3
tomatillo,20,3,1,4
red_onion,21,2,1,3
red_pepper,22,2,1,3
potato,23,2,1,3
beef,24,1,1,2
vinegar,25,1,1,2
cider_vinegar,26,1,1,2
adobo,27,1,1,2
cinnamon,28,1,1,2
spring_onion,29,1,1,2
