sprout,stock
cheddar,cheddar_cheese
pops,soda
chickpea,garbanzo
artichoke,globe_artichoke
calamari,squid
pimiento,sweet_pepper
cilantro,coriander
cayenne,cayenne_pepper
aubergine,eggplant
endive,escarole
sage,salvia
bream,sea_bream
farmer's_cheese,pot_cheese
coriander,coriander_seed
cocoa,drinking_chocolate
coconut_milk,coconut_water
chicken_broth,chicken_stock
cumin,cumin_seed
courgette,zucchini
gammon,ham
egg_white,white
beef_broth,beef_stock
lager,lager_beer
hare,rabbit
prawn,shrimp
escargot,snail
port,port_wine
cayenne_pepper,red_pepper
anise_seed,aniseed
black_pudding,blood_sausage
rock_lobster,spiny_lobster
pepper,peppercorn
wheat,wheat_berry
bass,sea_bass
self-raising_flour,self-rising_flour
mangel-wurzel,mangold
seville_oranges,sour_orange
biscuit,cooky
cob,hazelnut
bell_pepper,paprika
soda,soda_water
marjoram,oregano
navy_bean,white_bean
green_onion,scallion
rockfish,striped_bass
arugula,rocket
celeriac,celery_root
oregano,wild_marjoram
baking_chocolate,cooking_chocolate
anise,anise_seed
licorice,liquorice
fish fillet,fillet
bitter_orange,seville_oranges
scallion,spring_onion
cos_lettuce,romaine_lettuce
beet,beetroot
crab,crabmeat
yoghurt,yogurt
milk_powder,powdered_milk
filet,fillet
light_cream,single_cream
bulghur,bulgur
chocolate,cocoa
chile,chilli
butter_bean,lima_bean
broad_bean,fava_bean
hard-boiled_egg,hard-cooked_egg
vanilla,vanilla_extract
cracker,snapper
paprika,pimento
brown_trout,salmon_trout
whiskey,whisky
club_soda,soda_water
groundnut_oil,peanut_oil
turnip,white_turnip
irish,irish_whiskey
soda_water,sparkling_water
broth,stock
snap_pea,sugar_snap_pea
french_beans,haricots_verts
clove,stick
cottage_cheese,farmer's_cheese
chicory,curly_endive
flageolet,haricot
leek,scallion
fenugreek,fenugreek_seed
oil,vegetable_oil
dried_milk,milk_powder
mustard,mustard_greens
gelatin,jelly
pimento,pimiento
chard,swiss_chard
daikon,radish
jack mackerel,spanish_mackerel
crayfish,rock_lobster
