Cuisine, Degree, Avg Neig Degree
indian,0.068132,184.0323
indian,0.0087912,281.75
indian,0.0065934,359.3333
indian,0.085714,179.1026
indian,0.31648,105.5764
indian,0.048352,217.1818
indian,0.032967,158.8
indian,0.0065934,255
indian,0.013187,317
indian,0.01978,173.1111
indian,0.059341,207.5185
indian,0.0043956,316
indian,0.18901,137.2907
indian,0.0021978,385
indian,0.0087912,121.5
indian,0.4989,77.8194
indian,0.010989,291.4
indian,0.057143,196.7692
indian,0.0065934,173.6667
indian,0.017582,302.75
indian,0.23297,125.5377
indian,0.017582,215.5
indian,0.028571,266.2308
indian,0.0043956,186.5
indian,0.037363,236.7647
indian,0.16703,141.9605
indian,0.0087912,296.75
indian,0.0043956,292
indian,0.41099,89.2781
indian,0.0087912,109.25
indian,0.017582,242.75
indian,0.18462,141.869
indian,0.063736,205.1034
indian,0.22198,126.1584
indian,0.035165,204.875
indian,0.0043956,316
indian,0.013187,290.5
indian,0.081319,184.2973
indian,0.010989,276.2
indian,0.054945,219.24
indian,0.068132,193.1613
indian,0.035165,236.6875
indian,0.11429,166.2115
indian,0.065934,187.7667
indian,0.0087912,331.75
indian,0.0087912,270
indian,0.074725,187.3529
indian,0.16923,135.2727
indian,0.22637,118.1942
indian,0.052747,191.1667
indian,0.07033,193.0312
indian,0.11648,167.5849
indian,0.0087912,346.25
indian,0.017582,247.375
indian,0.017582,222.75
indian,0.31209,103.9225
indian,0.1956,132.3371
indian,0.054945,203.96
indian,0.096703,179.75
indian,0.0065934,253.6667
indian,0.035165,206.4375
indian,0.037363,240.1765
indian,0.065934,189.7
indian,0.059341,200.1852
indian,0.010989,341
indian,0.013187,296.8333
indian,0.0065934,132.3333
indian,0.030769,199.5
indian,0.07033,200.5625
indian,0.037363,248.8235
indian,0.015385,249.7143
indian,0.0065934,317.3333
indian,0.0065934,215
indian,0.7033,59.1625
indian,0.0043956,155.5
indian,0.16923,144.7532
indian,0.14725,154.4478
indian,0.028571,177.5385
indian,0.017582,248.75
indian,0.026374,253.5
indian,0.16044,145.0137
indian,0.0021978,227
indian,0.51209,75.7854
indian,0.026374,224.25
indian,0.01978,270.6667
indian,0.052747,221.125
indian,0.092308,183.9286
indian,0.017582,310.125
indian,0.19341,126.6932
indian,0.13626,157.6129
indian,0.059341,175.8889
indian,0.083516,191.1842
indian,0.032967,243.5333
indian,0.032967,203.6667
indian,0.010989,292.6
indian,0.013187,235
indian,0.38242,93.3218
indian,0.021978,267.1
indian,0.017582,284.375
indian,0.81978,51.622
indian,0.12308,165.1071
indian,0.028571,151.9231
indian,0.07033,180.375
indian,0.015385,277.5714
indian,0.38901,90.5141
indian,0.0021978,385
indian,0.035165,250.3125
indian,0.23736,116.8056
indian,0.12527,159.0526
indian,0.054945,206.36
indian,0.12747,161.5345
indian,0.030769,231
indian,0.55165,71.3187
indian,0.015385,250.5714
indian,0.12308,167.8929
indian,0.0043956,82.5
indian,0.074725,183.8529
indian,0.032967,210.6667
indian,0.013187,208.3333
indian,0.0043956,83
indian,0.0043956,379
indian,0.068132,205.0323
indian,0.01978,274.8889
indian,0.0021978,385
indian,0.021978,247.4
indian,0.046154,141.7619
indian,0.021978,282.6
indian,0.015385,287
indian,0.0065934,287.6667
indian,0.010989,292.6
indian,0.059341,200.2593
indian,0.037363,214.3529
indian,0.30549,107.8921
indian,0.0087912,287.75
indian,0.030769,264.0714
indian,0.015385,206.2857
indian,0.23077,126.8667
indian,0.010989,289.2
indian,0.0065934,311
indian,0.013187,150
indian,0.074725,177.1471
indian,0.037363,116.0588
indian,0.094505,180.7209
indian,0.043956,225.5
indian,0.25275,114.8348
indian,0.013187,224
indian,0.050549,184.3478
indian,0.12967,152.2203
indian,0.041758,198.4737
indian,0.0043956,379
indian,0.41319,87.4149
indian,0.021978,262.2
indian,0.0087912,98
indian,0.046154,216.2381
indian,0.09011,183.4634
indian,0.0087912,313.5
indian,0.015385,85.7143
indian,0.0021978,373
indian,0.035165,183.75
indian,0.030769,262
indian,0.013187,273.8333
indian,0.23736,124.3148
indian,0.015385,98.4286
indian,0.076923,197.0571
indian,0.0021978,385
indian,0.030769,242
indian,0.010989,229.6
indian,0.017582,268.5
indian,0.0065934,333.3333
indian,0.026374,241.0833
indian,0.063736,177.5172
indian,0.015385,276.1429
indian,0.043956,197.65
indian,0.43297,85.3706
indian,0.052747,107.0833
indian,0.0021978,259
indian,0.03956,233
indian,0.30549,105.9496
indian,0.01978,143.2222
indian,0.1978,133.7444
indian,0.01978,261.1111
indian,0.065934,194.1333
indian,0.16044,144.7123
indian,0.36484,95.0542
indian,0.015385,182.7143
indian,0.076923,141.8
indian,0.0021978,385
indian,0.31209,102.6831
indian,0.0087912,336
indian,0.010989,314.2
indian,0.032967,222.6667
indian,0.19121,135.5057
indian,0.024176,228.3636
indian,0.074725,187.5588
indian,0.01978,268.7778
indian,0.074725,160.1176
indian,0.0065934,309
indian,0.03956,197.1111
indian,0.12308,168.7679
indian,0.0043956,286.5
indian,0.0043956,55.5
indian,0.44835,83.6373
indian,0.32088,101.2945
indian,0.050549,207.8696
chinese,0.010661,258.4
chinese,0.0042644,299
chinese,0.029851,215.6429
chinese,0.0085288,320.75
chinese,0.13433,129.5397
chinese,0.031983,193.6667
chinese,0.031983,249.2
chinese,0.20896,126.398
chinese,0.03838,216.2778
chinese,0.070362,185.8182
chinese,0.0042644,190.5
chinese,0.1258,151.1017
chinese,0.012793,265.1667
chinese,0.093817,174.8409
chinese,0.0042644,258
chinese,0.12793,158.0333
chinese,0.010661,141.8
chinese,0.16631,138.0769
chinese,0.11087,168.0577
chinese,0.0063966,27.3333
chinese,0.017058,270.25
chinese,0.01919,268.6667
chinese,0.0021322,61
chinese,0.44563,81.89
chinese,0.046908,200.2273
chinese,0.16631,128.2308
chinese,0.12367,159.7241
chinese,0.0021322,61
chinese,0.025586,66.75
chinese,0.20256,127.5053
chinese,0.10874,160.7059
chinese,0.027719,196.2308
chinese,0.0021322,16
chinese,0.72068,55.9201
chinese,0.14499,150.7794
chinese,0.021322,262.2
chinese,0.053305,171.84
chinese,0.042644,178.05
chinese,0.025586,224.3333
chinese,0.10661,164.72
chinese,0.093817,173.25
chinese,0.014925,233.5714
chinese,0.28998,107.0662
chinese,0.051173,205.875
chinese,0.017058,158.875
chinese,0.52452,72.3577
chinese,0.0063966,291.6667
chinese,0.10874,127
chinese,0.0085288,105.75
chinese,0.31557,96.0135
chinese,0.010661,251
chinese,0.066098,184.8387
chinese,0.0085288,126.5
chinese,0.055437,127.8846
chinese,0.0042644,256.5
chinese,0.1855,136.0575
chinese,0.17697,131.747
chinese,0.10235,167.125
chinese,0.27719,105.4385
chinese,0.091684,178.2093
chinese,0.0063966,184.6667
chinese,0.26013,107.6885
chinese,0.061834,198.2414
chinese,0.042644,150.35
chinese,0.0085288,198
chinese,0.1194,165.1071
chinese,0.0085288,252.5
chinese,0.0021322,199
chinese,0.095949,169.0222
chinese,0.010661,286
chinese,0.13006,150.377
chinese,0.24733,111.2672
chinese,0.012793,114.1667
chinese,0.01919,258.8889
chinese,0.010661,47.6
chinese,0.0042644,240.5
chinese,0.0063966,250.3333
chinese,0.0042644,262.5
chinese,0.0063966,255
chinese,0.12367,153.3448
chinese,0.076759,158.9722
chinese,0.010661,251
chinese,0.0042644,126.5
chinese,0.098081,161.7391
chinese,0.034115,116.1875
chinese,0.21109,122.6869
chinese,0.29851,102.3071
chinese,0.48188,76.8496
chinese,0.017058,218.25
chinese,0.17058,133.1
chinese,0.14499,115.5147
chinese,0.0042644,107.5
chinese,0.072495,182.5882
chinese,0.0063966,265.6667
chinese,0.0021322,279
chinese,0.19829,126.2473
chinese,0.010661,262
chinese,0.010661,85.8
chinese,0.057569,187.1481
chinese,0.076759,150.8611
chinese,0.03838,149.4444
chinese,0.25586,116.8333
chinese,0.044776,212.619
chinese,0.017058,240.375
chinese,0.36247,90.6118
chinese,0.0085288,177.5
chinese,0.03838,202.3333
chinese,0.051173,195.4167
chinese,0.0021322,14
chinese,0.11301,135.0189
chinese,0.10021,169.5532
chinese,0.014925,273
chinese,0.01919,281.1111
chinese,0.29424,104.1087
chinese,0.371,87.9023
chinese,0.55437,67.75
chinese,0.023454,240.9091
chinese,0.11514,151.7593
chinese,0.0021322,255
chinese,0.063966,188.9
chinese,0.023454,127
chinese,0.12793,160.75
chinese,0.0085288,309.25
chinese,0.0042644,135.5
chinese,0.070362,197.7879
chinese,0.01919,244.1111
chinese,0.14499,136.9559
chinese,0.098081,171.7826
chinese,0.074627,194.6571
chinese,0.0063966,301.3333
chinese,0.0021322,49
chinese,0.0063966,42.3333
chinese,0.029851,229.4286
chinese,0.42431,79.809
chinese,0.036247,210.3529
chinese,0.025586,220.0833
chinese,0.26226,111.8943
chinese,0.072495,159.5
chinese,0.23667,111.2252
chinese,0.10448,137.9592
chinese,0.0085288,59
chinese,0.034115,210.9375
chinese,0.042644,209.65
chinese,0.0021322,129
chinese,0.057569,182.4815
chinese,0.070362,156.1818
chinese,0.012793,249.1667
chinese,0.053305,142
chinese,0.0021322,340
chinese,0.27292,111.8984
chinese,0.0042644,240.5
chinese,0.053305,191.76
chinese,0.044776,213.381
chinese,0.014925,271.7143
chinese,0.19829,123.9462
chinese,0.03838,216.5
chinese,0.0042644,305
chinese,0.0085288,268.25
chinese,0.0021322,260
chinese,0.0085288,188
chinese,0.012793,117.6667
chinese,0.0063966,226
chinese,0.0042644,52
chinese,0.010661,85
chinese,0.61407,63.5069
chinese,0.14925,146.1286
chinese,0.053305,203.76
chinese,0.044776,214.4286
chinese,0.0063966,316.6667
chinese,0.029851,233.1429
chinese,0.54371,70.1098
chinese,0.025586,215.4167
chinese,0.078891,125.2162
chinese,0.18977,131.2022
chinese,0.44136,83.1643
chinese,0.0042644,82
chinese,0.040512,148.6842
chinese,0.0085288,264.75
chinese,0.03838,150
chinese,0.021322,221.3
chinese,0.19403,131.1099
chinese,0.0063966,288.3333
chinese,0.036247,205.6471
chinese,0.025586,208.9167
chinese,0.1322,133.4677
chinese,0.23241,120.7706
chinese,0.010661,185.8
chinese,0.027719,249.2308
chinese,0.35394,94.2229
chinese,0.029851,145.9286
chinese,0.06823,156.5625
chinese,0.11727,142.8727
chinese,0.37313,90.9143
chinese,0.085288,179.375
chinese,0.012793,205
chinese,0.014925,234.5714
chinese,0.014925,244.2857
chinese,0.017058,71.5
chinese,0.083156,179.0769
chinese,0.027719,209.5385
chinese,0.0085288,322
chinese,0.012793,99.1667
chinese,0.44563,81.5694
chinese,0.046908,130
chinese,0.089552,140.1905
chinese,0.74627,54.3829
chinese,0.13859,150.7538
chinese,0.036247,156.1765
chinese,0.19829,125.0753
chinese,0.044776,207.0952
chinese,0.0042644,183
chinese,0.0085288,326.75
chinese,0.1791,135.7024
chinese,0.027719,242.2308
chinese,0.01919,258.4444
chinese,0.046908,197.9545
chinese,0.0021322,340
chinese,0.39872,85.1497
chinese,0.010661,226
chinese,0.10661,161.64
chinese,0.029851,241.7143
chinese,0.35821,93.7619
chinese,0.093817,169.1136
chinese,0.37953,90.3483
chinese,0.13433,134.6984
chinese,0.017058,212.5
chinese,0.42217,84.8788
chinese,0.0085288,273.75
chinese,0.010661,210.8
chinese,0.021322,251
chinese,0.095949,164.7111
chinese,0.063966,153.7
chinese,0.021322,268.4
chinese,0.15139,134.493
chinese,0.01919,237.1111
chinese,0.14712,138.8406
chinese,0.13859,150.9385
chinese,0.0063966,267.6667
chinese,0.03838,210.1667
