Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chilli,0,174,367,30
coriander_seed,1,169,362,30
ginger,2,164,702,30
cumin_seed,3,150,680,30
turmeric,4,132,619,30
tomato,5,109,576,30
red_pepper,6,103,504,30
onion,7,102,560,30
cardamon,8,100,535,30
cinnamon,9,97,536,30
yogurt,10,95,552,30
mustard_seed,11,92,426,30
garlic,12,92,446,30
peppercorn,13,83,470,30
coconut,14,75,418,30
bay_leaf,15,74,330,30
potato,16,74,420,30
ghee,17,73,361,30
rice,18,71,401,30
flour,19,68,364,30
curry,20,68,196,30
lime,21,67,343,30
fenugreek_seed,22,63,254,30
paprika,23,59,269,30
red_onion,24,57,164,30
tamarind,25,55,150,30
chicken,26,55,142,30
carrot,27,55,102,30
mint,28,53,234,30
fennel_seed,29,52,214,30
almond,30,51,136,29
pea,31,49,104,30
lamb,32,49,100,30
nutmeg,33,47,186,30
cashew_nut,34,46,156,30
garbanzo,35,46,86,30
coconut_water,36,45,74,30
mustard_greens,37,41,38,30
mango,38,41,80,29
spring_onion,39,40,60,25
milk,40,40,91,26
sugar,41,39,68,27
peanut_oil,42,39,64,28
saffron,43,39,68,27
mace,44,37,42,28
lemon,45,37,42,27
raisin,46,37,66,27
eggplant,47,37,28,29
shrimp,48,36,26,27
shallot,49,36,22,28
white,50,35,56,25
spinach,51,33,18,28
sesame_seed,52,32,17,26
peanut,53,30,16,24
heavy_cream,54,29,38,23
vegetable_oil,55,28,6,26
poppy_seed,56,27,38,21
black_mustard,57,27,10,23
mustard oil,58,27,10,23
sesame_oil,59,27,11,22
leafy_vegetable,60,27,24,22
cauliflower,61,27,4,26
lentil,62,25,6,23
pistachio_nut,63,24,19,18
split,64,24,6,22
fish,65,23,12,19
vinegar,66,23,4,22
grain,67,23,4,22
tomato_paste,68,22,6,20
green_bean,69,21,4,20
cucumber,70,21,10,18
castor_sugar,71,21,24,16
celery,72,20,10,17
parsley,73,19,6,17
mushroom,74,19,4,18
pomegranate,75,19,2,19
chicken_stock,76,18,2,18
egg,77,18,2,18
star_anise,78,17,2,17
shoulder,79,17,4,16
vegetable,80,16,2,16
leg,81,16,2,16
corn_oil,82,16,4,15
okra,83,15,2,15
green_pepper,84,15,2,15
aniseed,85,15,2,15
cabbage,86,15,2,15
single_cream,87,15,2,15
coconut_oil,88,15,2,15
cream,89,15,4,14
banana,90,14,4,13
butter,91,14,2,14
caraway_seed,92,14,2,14
beef,93,14,2,14
lemongrass,94,14,6,12
pork,95,13,2,13
fennel,96,13,2,13
orange,97,13,7,10
semolina,98,12,4,11
thyme,99,11,4,10
mung_bean,100,11,2,11
bean,101,11,2,11
honey,102,11,2,11
cider_vinegar,103,11,2,11
white_bean,104,11,2,11
tomato_sauce,105,10,2,10
curry_powder,106,10,4,9
malt,107,10,2,10
double_cream,108,10,2,10
leg_of_lamb,109,10,2,10
rosemary,110,10,4,9
pumpkin,111,9,2,9
buttermilk,112,9,2,9
white_wine,113,9,4,8
fillet,114,9,2,9
date,115,8,4,7
salt,116,8,2,8
juice,117,8,2,8
blade,118,8,2,8
cheese,119,8,2,8
corn,120,8,2,8
radish,121,8,3,7
sweet potato,122,7,2,7
apple,123,7,2,7
sultana,124,7,1,8
soy_sauce,125,7,5,5
whole_wheat_flour,126,7,2,7
food_colouring,127,7,2,7
plain_flour,128,7,2,7
kidney_bean,129,7,2,7
pawpaw,130,6,2,6
soured_cream,131,6,2,6
wine_vinegar,132,6,2,6
squash,133,6,2,6
ground_beef,134,6,2,6
walnut,135,6,2,6
salmon,136,6,2,6
cowpea,137,6,2,6
dry_mustard,138,6,2,6
chive,139,5,2,5
chapatti,140,5,2,5
basil,141,5,2,5
lettuce,142,5,2,5
white_turnip,143,5,2,5
mutton,144,5,2,5
kaffir,145,5,2,5
dill_weed,146,5,2,5
galangal,147,5,2,5
meat,148,5,2,5
whipping_cream,149,4,1,5
broccoli,150,4,2,4
white_bread,151,4,2,4
pastry,152,4,2,4
lamb_chop,153,4,2,4
bitter,154,4,2,4
bread,155,4,2,4
yellow_pea,156,4,2,4
beetroot,157,4,2,4
water,158,4,1,5
crabmeat,159,4,2,4
maple_syrup,160,4,2,4
wheat_berry,161,4,2,4
cherry tomato,162,4,2,4
dried_apricot,163,3,1,4
duck,164,3,1,4
orange_juice,165,3,1,4
butternut_squash,166,3,2,3
yam,167,3,2,3
noodle,168,3,2,3
pineapple,169,2,1,3
halibut,170,2,1,3
cod,171,2,1,3
bean_sprout,172,2,2,2
sesame,173,2,1,3
allspice,174,2,1,3
plantain,175,2,1,3
white_pepper,176,2,1,3
avocado,177,2,2,2
cheddar_cheese,178,2,2,2
herb,179,1,1,2
rose,180,1,1,2
pine_nut,181,1,1,2
mackerel,182,1,1,2
canola_oil,183,1,1,2
condensed_milk,184,1,1,2
sherry,185,1,1,2
sweet,186,1,1,2
chicken leg,187,1,1,2
powdered_milk,188,1,1,2
curd,189,1,1,2
daikon,190,1,1,2
mussel,191,1,1,2
pasta,192,1,1,2
vermicelli,193,1,1,2
squid,194,1,1,2
