Cuisine,degree,clusCoeff
indian,57,0.86341
indian,25,0.97
indian,58,0.87235
indian,14,0.97802
indian,251,0.25399
indian,7,0.80952
indian,56,0.93312
indian,2,0
indian,34,0.96613
indian,15,0.91429
indian,6,1
indian,2,1
indian,2,1
indian,31,0.97634
indian,9,1
indian,1,0
indian,10,1
indian,21,0.90952
indian,10,1
indian,7,1
indian,3,1
indian,5,1
indian,27,0.95157
indian,17,0.97794
indian,139,0.55052
indian,4,1
indian,14,1
indian,7,0.95238
indian,105,0.69066
indian,5,1
indian,3,1
indian,6,0.8
indian,34,0.86809
indian,17,0.69118
indian,43,0.95349
indian,20,0.99474
indian,115,0.58902
indian,6,0.86667
indian,23,0.8498
indian,59,0.79486
indian,19,0.90643
indian,2,1
indian,188,0.37621
indian,10,1
indian,4,0.66667
indian,21,0.96667
indian,41,0.91585
indian,4,1
indian,7,1
indian,1,0
indian,16,0.95833
indian,14,1
indian,6,1
indian,108,0.66926
indian,7,0.71429
indian,35,0.97647
indian,1,0
indian,14,1
indian,5,1
indian,8,1
indian,3,1
indian,12,0.95455
indian,29,0.91872
indian,7,1
indian,20,0.96316
indian,197,0.35787
indian,24,0.71014
indian,1,0
indian,18,1
indian,139,0.52872
indian,9,0.97222
indian,90,0.74632
indian,9,1
indian,30,0.96782
indian,73,0.75381
indian,166,0.43023
indian,7,0.85714
indian,35,0.76303
indian,1,0
indian,142,0.49086
indian,4,1
indian,5,1
indian,15,0.98095
indian,87,0.72815
indian,11,0.96364
indian,34,0.92513
indian,9,1
indian,34,0.85027
indian,3,1
indian,18,0.99346
indian,56,0.9461
indian,2,1
indian,2,0
indian,204,0.34512
indian,146,0.47945
indian,23,0.99605
chinese,5,1
chinese,2,1
chinese,14,0.98901
chinese,4,1
chinese,63,0.64414
chinese,15,0.93333
chinese,15,1
chinese,98,0.69304
chinese,18,0.99346
chinese,33,0.98864
chinese,2,1
chinese,59,0.81999
chinese,6,1
chinese,44,0.92283
chinese,2,1
chinese,60,0.89661
chinese,5,0.5
chinese,78,0.75391
chinese,52,0.93816
chinese,3,0.33333
chinese,8,1
chinese,9,1
chinese,1,0
chinese,209,0.33543
chinese,22,0.97835
chinese,78,0.64835
chinese,58,0.88022
chinese,1,0
chinese,12,0.4697
chinese,95,0.68779
chinese,51,0.82745
chinese,13,0.98718
chinese,1,0
chinese,338,0.15715
chinese,68,0.83011
chinese,10,1
chinese,25,0.86333
chinese,20,0.94211
chinese,12,0.95455
chinese,50,0.9151
chinese,44,0.90592
chinese,7,1
chinese,136,0.54564
chinese,24,0.97826
chinese,8,0.92857
chinese,246,0.26202
chinese,3,1
chinese,51,0.56078
chinese,4,0.66667
chinese,148,0.42057
chinese,5,1
chinese,31,0.95269
chinese,4,1
chinese,26,0.62154
chinese,2,1
chinese,87,0.76129
chinese,83,0.68087
chinese,48,0.86348
chinese,130,0.51258
chinese,43,0.94352
chinese,3,1
chinese,122,0.51416
chinese,29,0.98276
chinese,20,0.75263
chinese,4,1
chinese,56,0.91558
chinese,4,1
chinese,1,0
chinese,45,0.88384
chinese,5,1
chinese,61,0.78306
chinese,116,0.56717
chinese,6,0.66667
chinese,9,1
chinese,5,0.8
chinese,2,1
chinese,3,1
chinese,2,1
chinese,3,1
chinese,58,0.86933
chinese,36,0.86349
chinese,5,1
chinese,2,1
chinese,46,0.91787
chinese,16,0.625
chinese,99,0.64585
chinese,140,0.4889
chinese,226,0.29538
chinese,8,1
chinese,80,0.70475
chinese,68,0.53819
chinese,2,1
chinese,34,0.87344
chinese,3,1
chinese,1,0
chinese,93,0.69144
chinese,5,1
chinese,5,0.8
chinese,27,0.95157
chinese,36,0.80952
chinese,18,0.8366
chinese,120,0.63193
chinese,21,0.99524
chinese,8,1
chinese,170,0.39645
chinese,4,1
chinese,18,0.99346
chinese,24,0.97826
chinese,1,0
chinese,53,0.66038
chinese,47,0.84921
chinese,7,1
chinese,9,1
chinese,138,0.4991
chinese,174,0.38277
chinese,260,0.23083
chinese,11,0.98182
chinese,54,0.77358
chinese,1,0
chinese,30,0.97011
chinese,11,0.8
chinese,60,0.91073
chinese,4,1
chinese,2,1
chinese,33,0.99053
chinese,9,1
chinese,68,0.69271
chinese,46,0.88792
chinese,35,0.98655
chinese,3,1
chinese,1,0
chinese,3,1
chinese,14,1
chinese,199,0.30836
chinese,17,0.94118
chinese,12,0.92424
chinese,123,0.58856
chinese,34,0.79144
chinese,111,0.53645
chinese,49,0.68707
chinese,4,0.83333
chinese,16,0.99167
chinese,20,0.98947
chinese,1,0
chinese,27,0.86325
chinese,33,0.80871
chinese,6,1
chinese,25,0.73333
chinese,1,0
chinese,128,0.57972
chinese,2,1
chinese,25,0.92333
chinese,21,1
chinese,7,1
chinese,93,0.67298
chinese,18,0.99346
chinese,2,1
chinese,4,1
chinese,1,0
chinese,4,1
chinese,6,0.66667
chinese,3,1
chinese,2,1
chinese,5,0.8
chinese,288,0.20318
chinese,70,0.79917
chinese,25,0.98
chinese,21,1
chinese,3,1
chinese,14,1
chinese,255,0.24647
chinese,12,0.9697
chinese,37,0.61862
chinese,89,0.72063
chinese,207,0.34445
chinese,2,0
chinese,19,0.71345
chinese,4,1
chinese,18,0.75163
chinese,10,1
chinese,91,0.71722
chinese,3,1
chinese,17,0.96324
chinese,12,1
chinese,62,0.62295
chinese,109,0.64237
chinese,5,1
chinese,13,1
chinese,166,0.42811
chinese,14,0.7033
chinese,32,0.73992
chinese,55,0.69562
chinese,175,0.40144
chinese,40,0.94872
chinese,6,1
chinese,7,1
chinese,7,1
chinese,8,0.46429
chinese,39,0.92982
chinese,13,0.9359
chinese,4,1
chinese,6,0.93333
chinese,209,0.33125
chinese,22,0.74026
chinese,42,0.72938
chinese,350,0.14852
chinese,65,0.83942
chinese,17,0.64706
chinese,93,0.62927
chinese,21,0.99048
chinese,2,1
chinese,4,1
chinese,84,0.75301
chinese,13,1
chinese,9,1
chinese,22,0.97403
chinese,1,0
chinese,187,0.35725
chinese,5,1
chinese,50,0.87429
chinese,14,1
chinese,168,0.42864
chinese,44,0.89852
chinese,178,0.40608
chinese,63,0.71121
chinese,8,0.92857
chinese,198,0.35451
chinese,4,1
chinese,5,1
chinese,10,1
chinese,45,0.86667
chinese,30,0.84828
chinese,10,1
chinese,71,0.66479
chinese,9,1
chinese,69,0.75575
chinese,65,0.84423
chinese,3,1
chinese,18,1
chinese,23,0.98814
chinese,1,0
chinese,4,0.83333
chinese,17,1
chinese,40,0.89359
chinese,1,0
chinese,14,1
chinese,225,0.30544
chinese,17,0.73529
chinese,1,0
chinese,1,0
chinese,9,0.97222
chinese,136,0.44009
chinese,158,0.47738
chinese,46,0.92754
chinese,279,0.21892
chinese,5,1
chinese,11,1
chinese,18,1
chinese,232,0.28377
chinese,157,0.46211
chinese,8,0.85714
chinese,2,1
chinese,4,1
chinese,64,0.79018
chinese,8,0.96429
chinese,13,1
chinese,9,1
chinese,47,0.92692
chinese,73,0.80061
chinese,37,0.6967
chinese,8,1
chinese,48,0.88918
chinese,6,0.4
chinese,13,1
chinese,4,1
chinese,46,0.9285
chinese,14,1
chinese,29,0.70197
chinese,24,0.9529
chinese,52,0.81599
chinese,37,0.86336
chinese,8,0.71429
chinese,50,0.94204
chinese,1,0
chinese,19,0.98246
chinese,21,0.9
chinese,5,1
chinese,10,0.91111
chinese,36,0.96349
chinese,75,0.70775
chinese,98,0.6558
chinese,2,1
chinese,58,0.70538
chinese,25,0.47333
chinese,33,0.93939
chinese,7,1
chinese,85,0.7549
chinese,7,0.85714
chinese,57,0.81955
chinese,6,1
chinese,1,0
chinese,4,0.5
chinese,4,1
chinese,85,0.74286
chinese,13,1
chinese,88,0.74896
chinese,4,1
chinese,45,0.55657
chinese,141,0.51003
chinese,5,1
chinese,147,0.46417
chinese,91,0.48596
chinese,76,0.80561
chinese,21,1
chinese,7,0.66667
chinese,21,1
chinese,3,1
chinese,77,0.80109
chinese,11,0.96364
chinese,340,0.15523
chinese,5,0.9
chinese,85,0.75406
chinese,35,0.75966
chinese,23,0.99605
chinese,139,0.44761
chinese,25,0.93667
chinese,24,0.97101
chinese,2,1
chinese,1,0
chinese,148,0.47288
chinese,2,1
chinese,4,1
chinese,3,1
chinese,2,1
chinese,64,0.81944
chinese,1,0
chinese,27,0.94587
chinese,46,0.87633
chinese,85,0.60812
chinese,129,0.5212
chinese,70,0.79379
chinese,1,0
chinese,22,0.98268
chinese,13,0.94872
chinese,10,0.71111
chinese,129,0.56189
chinese,129,0.48668
chinese,16,0.88333
chinese,55,0.89428
chinese,9,0.97222
chinese,54,0.38854
chinese,146,0.50515
chinese,192,0.37331
chinese,16,0.95833
chinese,4,0.83333
chinese,12,0.98485
chinese,16,0.99167
chinese,31,0.99355
chinese,26,0.87385
chinese,58,0.78403
chinese,18,0.96732
chinese,2,1
chinese,10,0.84444
chinese,50,0.74286
chinese,2,1
chinese,122,0.53895
chinese,30,0.93103
chinese,14,0.75824
chinese,1,0
chinese,14,0.91209
chinese,13,0.89744
chinese,10,1
chinese,1,0
chinese,2,1
chinese,7,0.80952
chinese,43,0.86489
chinese,4,1
chinese,27,0.88604
chinese,59,0.89597
chinese,20,0.92105
chinese,170,0.39923
chinese,52,0.88462
chinese,3,1
chinese,173,0.40523
chinese,91,0.73968
chinese,6,1
chinese,13,1
chinese,8,0.82143
chinese,3,1
chinese,32,0.9879
chinese,19,0.99415
chinese,75,0.69225
chinese,10,1
chinese,98,0.68651
chinese,10,1
chinese,24,0.97826
chinese,16,0.65833
chinese,81,0.78056
chinese,7,1
chinese,2,1
chinese,15,0.53333
chinese,61,0.5847
chinese,17,0.49265
chinese,3,1
chinese,30,0.96552
chinese,122,0.55738
chinese,16,0.88333
chinese,196,0.36164
chinese,21,0.98571
chinese,11,0.85455
chinese,81,0.75772
chinese,7,1
chinese,3,1
chinese,7,0.85714
chinese,1,0
chinese,1,0
chinese,155,0.46644
chinese,7,1
chinese,9,0.47222
chinese,21,0.98571
chinese,30,0.83908
chinese,12,0.98485
chinese,3,0.33333
chinese,11,0.92727
chinese,37,0.96997
chinese,176,0.39013
chinese,2,1
chinese,51,0.85412
chinese,10,1
chinese,19,1
chinese,3,1
chinese,28,0.95503
chinese,3,0.66667
chinese,127,0.55806
