Cuisine,Rank,Frequency
indian,180,8
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,181,7
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,182,6
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,183,5
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,184,4
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,185,3
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,186,2
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
