Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,149,743,32
tomato,1,125,700,32
onion,2,115,687,32
celery,3,108,349,32
pasta,4,102,512,32
flour,5,100,601,32
carrot,6,99,334,32
lemon,7,94,549,32
peppercorn,8,92,539,32
white_wine,9,92,647,32
basil,10,90,550,32
egg,11,87,568,32
red_pepper,12,85,447,32
garlic,13,85,553,32
white,14,84,606,32
rosemary,15,80,503,32
bay_leaf,16,77,386,32
butter,17,72,329,32
potato,18,71,426,32
oregano,19,67,358,32
thyme,20,67,378,32
olive_oil,21,65,347,32
bread,22,62,305,32
sage,23,62,266,32
chilli,24,61,194,29
mushroom,25,60,246,32
nutmeg,26,60,294,32
spring_onion,27,57,135,32
milk,28,56,186,29
red_onion,29,56,243,32
caper,30,55,139,29
chicken_stock,31,54,200,32
ricotta,32,54,188,30
anchovy,33,54,163,28
orange,34,54,143,23
cheese,35,54,192,32
heavy_cream,36,52,84,30
pine_nut,37,51,173,27
veal,38,49,132,32
red_wine,39,48,92,32
egg_yolk,40,46,105,25
mozzarella,41,46,76,28
beef,42,44,54,32
cinnamon,43,44,97,21
tomato_paste,44,44,88,31
prosciutto,45,43,92,32
zucchini,46,42,62,29
pork,47,42,49,29
chicken,48,41,92,32
mint,49,41,67,29
sugar,50,38,31,14
vegetable_oil,51,36,42,26
vinegar,52,36,22,27
black_olive,53,34,28,25
spinach,54,34,34,27
eggplant,55,33,30,24
florence_fennel,56,33,22,27
almond,57,33,38,16
pea,58,33,27,24
stock,59,32,24,25
raisin,60,32,59,18
shrimp,61,30,17,23
shallot,62,30,12,26
globe_artichoke,63,27,9,24
rice,64,26,21,18
wine_vinegar,65,24,4,23
bean,66,24,4,23
cherry tomato,67,22,6,20
sweet_pepper,68,22,5,20
fish,69,22,8,18
tuna,70,21,4,19
walnut,71,20,17,13
dark_chocolate,72,20,14,14
mussel,73,20,6,18
meat,74,20,4,19
spaghetti,75,20,3,19
castor_sugar,76,20,11,12
fennel_seed,77,20,8,18
lamb,78,20,6,18
honey,79,20,14,13
squid,80,19,6,17
clam,81,19,4,17
shoulder,82,18,4,17
ground_beef,83,18,4,17
rocket,84,17,2,17
green_olive,85,17,4,16
vegetable,86,16,8,14
beef_stock,87,16,4,15
cocoa_powder,88,16,6,13
semolina,89,16,4,15
saffron,90,15,8,12
rum,91,15,3,14
chive,92,15,2,15
