Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,69,75,13
tomato,1,57,63,13
onion,2,49,105,13
bay_leaf,3,48,99,13
sweet_pepper,4,43,95,13
garlic,5,42,93,13
saffron,6,33,52,13
carrot,7,32,47,13
thyme,8,32,50,13
peppercorn,9,27,44,13
sherry,10,23,25,13
chilli,11,22,24,13
spring_onion,12,22,18,13
potato,13,20,14,13
red_pepper,14,20,20,13
white_wine,15,20,20,13
shrimp,16,19,18,11
lemon,17,17,12,11
white,18,16,8,13
olive_oil,19,16,8,13
almond,20,15,13,9
fish,21,15,8,12
sausage,22,14,13,9
celery,23,13,4,12
ham,24,13,10,9
chicken_stock,25,13,6,11
coriander_seed,26,13,8,9
rice,27,13,7,10
vinegar,28,13,4,12
cumin_seed,29,13,8,10
rosemary,30,13,2,13
chicken,31,12,6,10
cinnamon,32,12,10,6
green_pepper,33,11,2,11
egg,34,11,9,7
pork,35,10,4,9
wild_marjoram,36,9,2,9
bread,37,9,4,8
chorizo,38,9,4,8
clam,39,8,2,8
squid,40,8,2,8
mushroom,41,7,2,7
garbanzo,42,7,2,7
pea,43,6,2,6
flour,44,6,4,4
stock,45,6,2,6
bacon,46,6,1,7
brandy,47,6,2,6
fennel,48,5,2,5
red_onion,49,5,2,5
pine_nut,50,4,3,3
monkfish,51,4,2,4
sunflower_oil,52,4,2,4
shallot,53,4,2,4
mussel,54,4,2,4
milk,55,4,3,3
sweet,56,3,1,4
salt_cod,57,3,2,3
nutmeg,58,3,1,4
green,59,3,2,3
sugar,60,3,1,4
egg_yolk,61,3,2,3
tortilla,62,2,1,3
lime,63,2,1,3
red_wine,64,2,1,3
tuna,65,2,2,2
eggplant,66,2,2,2
orange,67,2,2,2
globe_artichoke,68,1,1,2
vegetable_oil,69,1,1,2
caper,70,1,1,2
anchovy,71,1,1,2
grain,72,1,1,2
veal,73,1,1,2
butter,74,1,1,2
lamb,75,1,1,2
raisin,76,1,1,2
caster_sugar,77,1,1,2
asparagus,78,1,1,2
mayonnaise,79,1,1,2
mint,80,1,1,2
green_bean,81,1,1,2
orange_juice,82,1,1,2
hake,83,1,1,2
