Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chilli,0,249,1720,39
coriander_seed,1,246,1716,39
ginger,2,240,3391,39
cumin_seed,3,222,3370,39
turmeric,4,193,3288,39
tomato,5,180,3260,39
red_pepper,6,176,3237,39
cardamon,7,165,3055,39
onion,8,163,3133,39
cinnamon,9,159,3054,39
garlic,10,159,3125,39
mustard_seed,11,151,3030,39
yogurt,12,146,3100,39
peppercorn,13,139,3138,39
potato,14,134,3020,39
lime,15,126,2929,39
coconut,16,119,2924,39
ghee,17,116,2529,39
paprika,18,116,2748,39
curry,19,114,2126,39
bay_leaf,20,110,1619,39
rice,21,108,2766,39
fenugreek_seed,22,106,2362,39
carrot,23,105,2201,39
flour,24,105,2582,39
mint,25,104,2378,39
tamarind,26,96,1328,39
chicken,27,96,2201,39
fennel_seed,28,94,1698,39
red_onion,29,93,946,39
almond,30,90,875,38
spring_onion,31,88,1107,39
nutmeg,32,87,1810,39
coconut_water,33,86,1928,39
cashew_nut,34,86,2053,39
pea,35,85,1481,39
garbanzo,36,83,1308,39
mustard_greens,37,83,1100,39
lemon,38,78,1348,39
lamb,39,78,780,39
milk,40,77,467,37
mango,41,75,1246,38
sugar,42,74,919,36
shallot,43,71,560,36
saffron,44,71,352,38
raisin,45,69,580,38
mace,46,67,582,39
vegetable_oil,47,67,527,39
white,48,65,528,39
spinach,49,64,516,38
shrimp,50,62,548,37
vinegar,51,61,442,36
pistachio_nut,52,60,146,35
eggplant,53,59,334,39
peanut_oil,54,59,406,38
sesame_seed,55,58,516,39
peanut,56,57,644,38
cauliflower,57,57,186,37
sesame_oil,58,55,358,36
heavy_cream,59,55,152,38
split,60,52,74,38
leafy_vegetable,61,52,272,36
mustard oil,62,51,160,37
orange,63,50,74,29
black_mustard,64,50,308,35
grain,65,48,100,35
fish,66,48,96,33
castor_sugar,67,46,101,31
green_bean,68,44,46,34
poppy_seed,69,44,56,36
egg,70,44,84,33
celery,71,43,54,29
lentil,72,42,26,36
cream,73,42,31,34
chicken_stock,74,42,25,34
parsley,75,42,38,32
cucumber,76,40,110,30
pomegranate,77,39,30,32
star_anise,78,39,24,34
green_pepper,79,39,22,34
banana,80,38,56,30
tomato_paste,81,38,26,30
butter,82,37,24,30
mushroom,83,36,12,32
curry_powder,84,36,24,30
corn_oil,85,36,30,27
fennel,86,35,38,29
mung_bean,87,35,18,29
cabbage,88,35,32,30
okra,89,33,8,31
shoulder,90,33,14,28
beef,91,32,9,27
honey,92,31,12,27
aniseed,93,31,6,29
rosemary,94,31,39,22
bean,95,30,10,27
apple,96,30,20,20
corn,97,30,10,27
leg,98,30,12,27
single_cream,99,30,4,29
caraway_seed,100,30,8,28
wheat_berry,101,29,12,25
pumpkin,102,29,4,28
thyme,103,29,31,21
soy_sauce,104,29,24,18
vegetable,105,28,2,28
chive,106,28,23,20
semolina,107,27,14,22
basil,108,27,27,19
lemongrass,109,27,22,20
coconut_oil,110,26,2,26
radish,111,26,6,24
white_wine,112,26,12,22
tomato_sauce,113,26,2,26
sweet potato,114,25,4,24
fillet,115,25,2,25
date,116,24,10,21
double_cream,117,24,6,22
pork,118,24,6,22
cider_vinegar,119,23,6,21
salt,120,23,4,22
juice,121,23,7,20
pawpaw,122,22,10,19
cheese,123,22,2,22
food_colouring,124,21,4,20
leg_of_lamb,125,21,2,21
noodle,126,21,5,19
white_bean,127,20,2,20
buttermilk,128,20,2,20
pastry,129,20,6,17
wine_vinegar,130,19,3,18
blade,131,19,2,19
sultana,132,19,2,19
soured_cream,133,19,2,19
white_turnip,134,19,4,18
pineapple,135,19,9,15
dill_weed,136,18,2,18
plain_flour,137,18,6,16
pasta,138,17,5,15
walnut,139,17,4,16
dry_mustard,140,17,2,17
whole_wheat_flour,141,16,4,15
broccoli,142,16,2,16
malt,143,16,2,16
dried_apricot,144,15,4,14
water,145,15,2,15
salmon,146,15,4,14
squash,147,15,6,13
bitter,148,15,2,15
kidney_bean,149,15,2,15
beetroot,150,14,2,14
squid,151,14,2,14
kaffir,152,14,4,13
ground_beef,153,14,2,14
maple_syrup,154,14,2,14
galangal,155,14,4,13
crabmeat,156,13,2,13
mutton,157,13,2,13
whipping_cream,158,13,2,13
pigeon_pea,159,13,2,13
yellow_squash,160,13,4,12
allspice,161,13,2,13
lamb_chop,162,13,2,13
white_bread,163,12,4,11
yellow_pea,164,12,2,12
orange_juice,165,12,2,12
herb,166,12,2,12
sesame,167,12,2,12
chapatti,168,12,2,12
lettuce,169,12,2,12
meat,170,12,2,12
cherry tomato,171,11,2,11
mackerel,172,11,2,11
hard-boiled_egg,173,11,2,11
cowpea,174,11,2,11
butternut_squash,175,11,2,11
pine_nut,176,11,2,11
canola_oil,177,11,2,11
oregano,178,11,3,10
cod,179,11,2,11
curd,180,11,2,11
brown_sugar,181,11,2,11
pork_loin,182,11,3,10
yam,183,11,2,11
red_wine,184,10,1,11
grape,185,10,3,9
mussel,186,10,2,10
vermicelli,187,10,3,9
bean_sprout,188,10,4,9
duck,189,10,2,10
bread,190,10,2,10
halibut,191,9,2,9
molasses,192,9,2,9
avocado,193,9,2,9
plantain,194,9,2,9
cheddar_cheese,195,9,2,9
peach,196,9,2,9
chicken leg,197,9,2,9
rose,198,9,1,10
powdered_milk,199,8,2,8
tomato_ketchup,200,8,2,8
white_pepper,201,8,2,8
sweet,202,8,2,8
turtle_bean,203,7,2,7
olive_oil,204,7,2,7
condensed_milk,205,7,2,7
liver,206,7,2,7
tarragon,207,7,6,5
cranberry,208,7,2,7
tea_leaf,209,6,2,5
string_bean,210,6,2,6
ricotta,211,6,2,6
pear,212,6,1,7
turkey,213,6,2,6
currant,214,6,2,6
asparagus,215,6,2,6
evaporated_milk,216,6,1,7
sunflower_oil,217,6,2,6
sherry,218,6,1,7
beef_stock,219,6,2,6
farina,220,5,2,5
sea_bass,221,5,2,5
loin,222,5,1,6
farmer's_cheese,223,5,2,5
chutney,224,5,2,5
cream_cheese,225,5,2,5
summer_savory,226,5,1,6
daikon,227,5,2,5
quail,228,5,2,5
tortilla,229,5,2,5
parsnip,230,4,1,5
tapioca,231,4,2,4
fig,232,4,1,5
kingfish,233,4,1,5
black_tea,234,4,1,5
egg_yolk,235,4,1,5
tofu,236,4,2,4
fish_steak,237,4,2,4
cornmeal,238,4,1,5
vanilla_bean,239,4,1,5
pea_flour,240,4,1,5
millet,241,4,2,4
jackfruit,242,4,2,4
taro_root,243,3,2,3
sparkling_water,244,3,1,4
mince,245,3,2,3
sole,246,3,2,3
