Cuisine,degree,comm
indian,0.0021978,4.18e-05
indian,0.4022,0.6267
indian,0.059341,0.029169
indian,0.015385,0.0041571
indian,0.14945,0.19684
indian,0.013187,0.0028609
indian,0.028571,0.010777
indian,0.1011,0.10511
indian,0.01978,0.0057418
indian,0.054945,0.020445
indian,0.021978,0.0041333
indian,0.072527,0.06277
indian,0.24176,0.36157
indian,0.49011,0.75765
indian,0.021978,0.0063356
indian,0.028571,0.0069783
indian,0.58462,0.84675
indian,0.48132,0.73231
indian,0.0043956,0.00036647
indian,0.13187,0.11408
indian,0.0021978,9.0768e-05
indian,0.10769,0.11236
indian,0.0043956,0.00036647
indian,0.22857,0.3377
indian,0.092308,0.079287
indian,0.017582,0.0034022
indian,0.0021978,9.0768e-05
indian,0.028571,0.010865
indian,0.15604,0.20262
indian,0.017582,0.0027466
indian,0.31648,0.5045
indian,0.017582,0.0016792
indian,0.0065934,0.00073237
indian,0.01978,0.0062646
indian,0.026374,0.010787
indian,0.0021978,2.0301e-06
indian,0.27033,0.36008
indian,0.2022,0.24736
indian,0.12088,0.14047
indian,0.38242,0.60636
indian,0.13407,0.16079
indian,0.07033,0.058641
indian,0.35604,0.56143
indian,0.15604,0.19096
indian,0.043956,0.025078
indian,0.024176,0.0069328
indian,0.10989,0.097294
indian,0.048352,0.028431
indian,0.068132,0.045156
indian,0.0087912,0.0011564
indian,0.0065934,0.00081097
indian,0.085714,0.072832
indian,0.31648,0.4984
indian,0.048352,0.028526
indian,0.032967,0.0078515
indian,0.0065934,0.00038631
indian,0.013187,0.003013
indian,0.01978,0.0028601
indian,0.059341,0.042259
indian,0.0043956,0.00033406
indian,0.18901,0.26096
indian,0.0021978,9.0768e-05
indian,0.0087912,0.00051769
indian,0.4989,0.76346
indian,0.010989,0.001891
indian,0.057143,0.034801
indian,0.0065934,0.00043021
indian,0.017582,0.0052565
indian,0.23297,0.35298
indian,0.017582,0.0029695
indian,0.028571,0.012509
indian,0.0043956,0.00022776
indian,0.037363,0.019016
indian,0.16703,0.20657
indian,0.0087912,0.0010628
indian,0.0043956,0.0002975
indian,0.41099,0.65181
indian,0.0087912,0.00043122
indian,0.017582,0.0034855
indian,0.18462,0.26095
indian,0.063736,0.048
indian,0.22198,0.31938
indian,0.035165,0.012491
indian,0.0043956,0.00033406
indian,0.013187,0.0024885
indian,0.081319,0.069003
indian,0.010989,0.0016128
indian,0.054945,0.038836
indian,0.068132,0.049706
indian,0.035165,0.016847
indian,0.11429,0.11979
indian,0.065934,0.043001
indian,0.0087912,0.0013623
indian,0.0087912,0.0010148
indian,0.074725,0.058925
indian,0.16923,0.19101
indian,0.22637,0.28841
indian,0.052747,0.027459
indian,0.07033,0.054054
indian,0.11648,0.12475
indian,0.0087912,0.0014119
indian,0.017582,0.0040742
indian,0.017582,0.0029867
indian,0.31209,0.46665
indian,0.1956,0.25882
indian,0.054945,0.033666
indian,0.096703,0.093649
indian,0.0065934,0.00060709
indian,0.035165,0.013433
indian,0.037363,0.018758
indian,0.065934,0.046181
indian,0.059341,0.040189
indian,0.010989,0.0021997
indian,0.013187,0.0028566
indian,0.0065934,0.00027356
indian,0.030769,0.0093946
indian,0.07033,0.05725
indian,0.037363,0.020223
indian,0.015385,0.0032321
indian,0.0065934,0.00076244
indian,0.0065934,0.0004461
indian,0.7033,0.94277
indian,0.0043956,0.00012093
indian,0.16923,0.22617
indian,0.14725,0.18265
indian,0.028571,0.0068368
indian,0.017582,0.0040173
indian,0.026374,0.0096458
indian,0.16044,0.19374
indian,0.0021978,6.8964e-05
indian,0.51209,0.7696
indian,0.026374,0.0079167
indian,0.01978,0.0057493
indian,0.052747,0.035636
indian,0.092308,0.089378
indian,0.017582,0.0053411
indian,0.19341,0.2231
indian,0.13626,0.15834
indian,0.059341,0.032115
indian,0.083516,0.076855
indian,0.032967,0.01489
indian,0.032967,0.012292
indian,0.010989,0.0019387
indian,0.013187,0.002227
indian,0.38242,0.60215
indian,0.021978,0.0070994
indian,0.017582,0.0048009
indian,0.81978,0.99551
indian,0.12308,0.13922
indian,0.028571,0.0058872
indian,0.07033,0.050212
indian,0.015385,0.0036622
indian,0.38901,0.59066
indian,0.0021978,9.0768e-05
indian,0.035165,0.018214
indian,0.23736,0.30703
indian,0.12527,0.13648
indian,0.054945,0.034418
indian,0.12747,0.14463
indian,0.030769,0.011698
indian,0.55165,0.80349
indian,0.015385,0.0028242
indian,0.12308,0.14548
indian,0.0043956,4.204e-05
indian,0.074725,0.058498
indian,0.032967,0.011455
indian,0.013187,0.0020728
indian,0.0043956,4.4807e-05
indian,0.0043956,0.00036647
indian,0.068132,0.054856
indian,0.01978,0.0059829
indian,0.0021978,9.0768e-05
indian,0.021978,0.006879
indian,0.046154,0.01659
indian,0.021978,0.0077403
indian,0.015385,0.0037347
indian,0.0065934,0.00070593
indian,0.010989,0.0019931
indian,0.059341,0.039403
indian,0.037363,0.016322
indian,0.30549,0.48784
indian,0.0087912,0.0012021
indian,0.030769,0.014578
indian,0.015385,0.0024317
indian,0.23077,0.34833
indian,0.010989,0.0019329
indian,0.0065934,0.00070651
indian,0.013187,0.0010984
indian,0.074725,0.05153
indian,0.037363,0.0066019
indian,0.094505,0.092984
indian,0.043956,0.025051
indian,0.25275,0.35321
indian,0.013187,0.0017155
indian,0.050549,0.023209
indian,0.12967,0.13196
indian,0.041758,0.018227
indian,0.0043956,0.00036647
indian,0.41319,0.63469
indian,0.021978,0.0070148
indian,0.0087912,0.00031547
indian,0.046154,0.025476
indian,0.09011,0.083508
indian,0.0087912,0.001244
indian,0.015385,0.00093435
indian,0.0021978,9.0354e-05
indian,0.035165,0.011089
indian,0.030769,0.014353
indian,0.013187,0.0024152
indian,0.23736,0.35669
indian,0.015385,0.0010661
indian,0.076923,0.066954
indian,0.0021978,9.0768e-05
indian,0.030769,0.013075
indian,0.010989,0.0014623
indian,0.017582,0.0045334
indian,0.0065934,0.00076576
indian,0.026374,0.0087487
indian,0.063736,0.037761
indian,0.015385,0.0031559
indian,0.043956,0.019888
indian,0.43297,0.66551
indian,0.052747,0.012041
indian,0.0021978,7.4915e-05
indian,0.03956,0.020864
indian,0.30549,0.47005
indian,0.01978,0.0023386
indian,0.1978,0.27603
indian,0.01978,0.005565
indian,0.065934,0.04764
indian,0.16044,0.19113
indian,0.36484,0.5504
indian,0.015385,0.0018649
indian,0.076923,0.03731
indian,0.0021978,9.0768e-05
indian,0.31209,0.45231
indian,0.0087912,0.0013926
indian,0.010989,0.0020803
indian,0.032967,0.012799
indian,0.19121,0.25579
indian,0.024176,0.0065543
indian,0.074725,0.058193
indian,0.01978,0.0057011
indian,0.074725,0.04296
indian,0.0065934,0.00073362
indian,0.03956,0.016244
indian,0.12308,0.1477
indian,0.0043956,0.00029614
indian,0.0043956,3.3318e-05
indian,0.44835,0.69433
indian,0.32088,0.46935
indian,0.050549,0.030398
chinese,0.010661,0.0018471
chinese,0.0042644,0.00033957
chinese,0.029851,0.011769
chinese,0.0085288,0.0014356
chinese,0.13433,0.11983
chinese,0.031983,0.010682
chinese,0.031983,0.016845
chinese,0.20896,0.318
chinese,0.03838,0.020161
chinese,0.070362,0.060542
chinese,0.0042644,0.00020207
chinese,0.1258,0.14346
chinese,0.012793,0.0027587
chinese,0.093817,0.098241
chinese,0.0042644,0.00029353
chinese,0.12793,0.16411
chinese,0.010661,0.00063657
chinese,0.16631,0.22481
chinese,0.11087,0.13397
chinese,0.0063966,1.3377e-05
chinese,0.017058,0.0050739
chinese,0.01919,0.0063627
chinese,0.0021322,9.5953e-06
chinese,0.44563,0.74401
chinese,0.046908,0.028073
chinese,0.16631,0.1877
chinese,0.12367,0.15341
chinese,0.0021322,9.5953e-06
chinese,0.025586,0.0012378
chinese,0.20256,0.29814
chinese,0.10874,0.11378
chinese,0.027719,0.0094553
chinese,0.0021322,5.145e-07
chinese,0.72068,0.98605
chinese,0.14499,0.19482
chinese,0.021322,0.0077267
chinese,0.053305,0.027077
chinese,0.042644,0.019057
chinese,0.025586,0.0091341
chinese,0.10661,0.11844
chinese,0.093817,0.095492
chinese,0.014925,0.0031961
chinese,0.28998,0.48441
chinese,0.051173,0.035233
chinese,0.017058,0.0028303
chinese,0.52452,0.8258
chinese,0.0063966,0.00073111
chinese,0.10874,0.068682
chinese,0.0085288,0.00032505
chinese,0.31557,0.43696
chinese,0.010661,0.0018217
chinese,0.066098,0.05038
chinese,0.0085288,0.00050924
chinese,0.055437,0.017739
chinese,0.0042644,0.00032024
chinese,0.1855,0.27991
chinese,0.17697,0.22834
chinese,0.10235,0.10768
chinese,0.27719,0.41693
chinese,0.091684,0.09657
chinese,0.0063966,0.00053436
chinese,0.26013,0.36458
chinese,0.061834,0.049166
chinese,0.042644,0.012938
chinese,0.0085288,0.00093151
chinese,0.1194,0.15066
chinese,0.0085288,0.0012086
chinese,0.0021322,5.6248e-05
chinese,0.095949,0.096231
chinese,0.010661,0.0019864
chinese,0.13006,0.14907
chinese,0.24733,0.36363
chinese,0.012793,0.00064088
chinese,0.01919,0.0059487
chinese,0.010661,0.0001111
chinese,0.0042644,0.00030406
chinese,0.0063966,0.0005259
chinese,0.0042644,0.00030016
chinese,0.0063966,0.00063003
chinese,0.12367,0.14544
chinese,0.076759,0.055664
chinese,0.010661,0.0016995
chinese,0.0042644,9.0832e-05
chinese,0.098081,0.097518
chinese,0.034115,0.0058136
chinese,0.21109,0.30424
chinese,0.29851,0.45733
chinese,0.48188,0.77283
chinese,0.017058,0.0039504
chinese,0.17058,0.21936
chinese,0.14499,0.11146
chinese,0.0042644,6.9208e-05
chinese,0.072495,0.059786
chinese,0.0063966,0.00067235
chinese,0.0021322,8.5631e-05
chinese,0.19829,0.28492
chinese,0.010661,0.0018877
chinese,0.010661,0.00042336
chinese,0.057569,0.039131
chinese,0.076759,0.047723
chinese,0.03838,0.010978
chinese,0.25586,0.43226
chinese,0.044776,0.027451
chinese,0.017058,0.0046112
chinese,0.36247,0.55808
chinese,0.0085288,0.00083665
chinese,0.03838,0.01938
chinese,0.051173,0.031734
chinese,0.0021322,5.634e-07
chinese,0.11301,0.0856
chinese,0.10021,0.10396
chinese,0.014925,0.0038495
chinese,0.01919,0.0066191
chinese,0.29424,0.45383
chinese,0.371,0.57462
chinese,0.55437,0.81753
chinese,0.023454,0.0081038
chinese,0.11514,0.11649
chinese,0.0021322,7.9161e-05
chinese,0.063966,0.049722
chinese,0.023454,0.003661
chinese,0.12793,0.16848
chinese,0.0085288,0.0013964
chinese,0.0042644,0.0001373
chinese,0.070362,0.065529
chinese,0.01919,0.0057614
chinese,0.14499,0.15805
chinese,0.098081,0.10253
chinese,0.074627,0.072638
chinese,0.0063966,0.00077373
chinese,0.0021322,7.3115e-06
chinese,0.0063966,3.214e-05
chinese,0.029851,0.01323
chinese,0.42431,0.59651
chinese,0.036247,0.016973
chinese,0.025586,0.0080722
chinese,0.26226,0.42371
chinese,0.072495,0.046845
chinese,0.23667,0.31323
chinese,0.10448,0.077852
chinese,0.0085288,0.00012428
chinese,0.034115,0.015728
chinese,0.042644,0.024142
chinese,0.0021322,4.2066e-05
chinese,0.057569,0.035011
chinese,0.070362,0.043254
chinese,0.012793,0.0026916
chinese,0.053305,0.019105
chinese,0.0021322,9.2736e-05
chinese,0.27292,0.45374
chinese,0.0042644,0.00030406
chinese,0.053305,0.033721
chinese,0.044776,0.028256
chinese,0.014925,0.0039328
chinese,0.19829,0.27388
chinese,0.03838,0.020595
chinese,0.0042644,0.00034208
chinese,0.0085288,0.0012418
chinese,0.0021322,7.7102e-05
chinese,0.0085288,0.00080837
chinese,0.012793,0.00087707
chinese,0.0063966,0.00051906
chinese,0.0042644,3.4959e-05
chinese,0.010661,0.00027332
chinese,0.61407,0.90476
chinese,0.14925,0.19612
chinese,0.053305,0.037287
chinese,0.044776,0.028641
chinese,0.0063966,0.00079115
chinese,0.029851,0.013114
chinese,0.54371,0.83935
chinese,0.025586,0.0091602
chinese,0.078891,0.036256
chinese,0.18977,0.27241
chinese,0.44136,0.74902
chinese,0.0042644,5.1858e-05
chinese,0.040512,0.012159
chinese,0.0085288,0.001224
chinese,0.03838,0.011692
chinese,0.021322,0.0064203
chinese,0.19403,0.2878
chinese,0.0063966,0.00072256
chinese,0.036247,0.016526
chinese,0.025586,0.008652
chinese,0.1322,0.11827
chinese,0.23241,0.366
chinese,0.010661,0.0015118
chinese,0.027719,0.01234
chinese,0.35394,0.57433
chinese,0.029851,0.0056741
chinese,0.06823,0.037602
chinese,0.11727,0.10598
chinese,0.37313,0.60188
chinese,0.085288,0.084333
chinese,0.012793,0.0021376
chinese,0.014925,0.0031818
chinese,0.014925,0.0032077
chinese,0.017058,0.0006381
chinese,0.083156,0.079035
chinese,0.027719,0.010036
chinese,0.0085288,0.0014268
chinese,0.012793,0.0007467
chinese,0.44563,0.73449
chinese,0.046908,0.015531
chinese,0.089552,0.057603
chinese,0.74627,1
chinese,0.13859,0.17773
chinese,0.036247,0.0097968
chinese,0.19829,0.26252
chinese,0.044776,0.027298
chinese,0.0042644,0.00020547
chinese,0.0085288,0.0014628
chinese,0.1791,0.25838
chinese,0.027719,0.012183
chinese,0.01919,0.0061541
chinese,0.046908,0.02753
chinese,0.0021322,9.2736e-05
chinese,0.39872,0.62522
chinese,0.010661,0.0014997
chinese,0.10661,0.1138
chinese,0.029851,0.013722
chinese,0.35821,0.59209
chinese,0.093817,0.093405
chinese,0.37953,0.63857
chinese,0.13433,0.13539
chinese,0.017058,0.0034687
chinese,0.42217,0.69307
chinese,0.0085288,0.0012939
chinese,0.010661,0.0012011
chinese,0.021322,0.0072625
chinese,0.095949,0.092902
chinese,0.063966,0.034397
chinese,0.021322,0.0078565
chinese,0.15139,0.16383
chinese,0.01919,0.0054747
chinese,0.14712,0.1726
chinese,0.13859,0.17715
chinese,0.0063966,0.00069336
chinese,0.03838,0.019946
chinese,0.049041,0.033135
chinese,0.0021322,9.4319e-05
chinese,0.0085288,0.00043629
chinese,0.036247,0.019193
chinese,0.085288,0.071209
chinese,0.0021322,4.0877e-06
chinese,0.029851,0.011054
chinese,0.47974,0.79427
chinese,0.036247,0.0088727
chinese,0.0021322,8.5333e-05
chinese,0.0021322,1.0482e-05
chinese,0.01919,0.0058541
chinese,0.28998,0.38579
chinese,0.33689,0.5777
chinese,0.098081,0.10343
chinese,0.59488,0.90792
chinese,0.010661,0.0022102
chinese,0.023454,0.0081437
chinese,0.03838,0.014729
chinese,0.49467,0.78494
chinese,0.33475,0.55485
chinese,0.017058,0.0026363
chinese,0.0042644,0.00024266
chinese,0.0085288,0.00068779
chinese,0.13646,0.15658
chinese,0.017058,0.0031141
chinese,0.027719,0.011397
chinese,0.01919,0.0043088
chinese,0.10021,0.10787
chinese,0.15565,0.21132
chinese,0.078891,0.046401
chinese,0.017058,0.0048564
chinese,0.10235,0.10828
chinese,0.012793,0.00054393
chinese,0.027719,0.012616
chinese,0.0085288,0.00090679
chinese,0.098081,0.1054
chinese,0.029851,0.01256
chinese,0.061834,0.024877
chinese,0.051173,0.029773
chinese,0.11087,0.11489
chinese,0.078891,0.061791
chinese,0.017058,0.0024826
chinese,0.10661,0.12597
chinese,0.0021322,9.2736e-05
chinese,0.040512,0.02173
chinese,0.044776,0.024327
chinese,0.010661,0.0020786
chinese,0.021322,0.0047252
chinese,0.076759,0.06706
chinese,0.15991,0.19888
chinese,0.20896,0.30106
chinese,0.0042644,0.00033906
chinese,0.12367,0.11356
chinese,0.053305,0.0083933
chinese,0.070362,0.056567
chinese,0.014925,0.0034405
chinese,0.18124,0.26631
chinese,0.014925,0.0019275
chinese,0.12154,0.13793
chinese,0.012793,0.00075809
chinese,0.0021322,8.9033e-07
chinese,0.0085288,0.00015551
chinese,0.0085288,0.0012591
chinese,0.18124,0.26318
chinese,0.027719,0.012166
chinese,0.18763,0.2772
chinese,0.0085288,0.00012859
chinese,0.095949,0.045658
chinese,0.30064,0.48814
chinese,0.010661,0.0017196
chinese,0.31343,0.48527
chinese,0.19403,0.17748
chinese,0.16205,0.22784
chinese,0.044776,0.029207
chinese,0.014925,0.00085428
chinese,0.044776,0.02972
chinese,0.0063966,0.00032804
chinese,0.16418,0.2323
chinese,0.023454,0.0082822
chinese,0.72495,0.98322
chinese,0.010661,0.00016159
chinese,0.18124,0.25999
chinese,0.074627,0.042896
chinese,0.049041,0.033666
chinese,0.29638,0.40954
chinese,0.053305,0.036115
chinese,0.051173,0.032543
chinese,0.0042644,0.00034387
chinese,0.0021322,9.2736e-05
chinese,0.31557,0.50356
chinese,0.0042644,0.00032476
chinese,0.0085288,0.00092679
chinese,0.0063966,0.00079771
chinese,0.0042644,0.00026771
chinese,0.13646,0.16792
chinese,0.0021322,9.2736e-05
chinese,0.057569,0.043322
chinese,0.098081,0.096891
chinese,0.18124,0.20699
chinese,0.27505,0.41471
chinese,0.14925,0.19156
chinese,0.0021322,8.9033e-07
chinese,0.046908,0.030265
chinese,0.027719,0.0083167
chinese,0.021322,0.0034217
chinese,0.27505,0.4462
chinese,0.27505,0.38296
chinese,0.034115,0.013583
chinese,0.11727,0.1392
chinese,0.01919,0.0057663
chinese,0.11514,0.043684
chinese,0.3113,0.51977
chinese,0.40938,0.68842
chinese,0.034115,0.011973
chinese,0.0085288,0.00031713
chinese,0.025586,0.0089445
chinese,0.034115,0.017087
chinese,0.066098,0.059907
chinese,0.055437,0.033668
chinese,0.12367,0.127
chinese,0.03838,0.019169
chinese,0.0042644,0.00037421
chinese,0.021322,0.0050078
chinese,0.10661,0.091307
chinese,0.0042644,0.00029354
chinese,0.26013,0.38535
chinese,0.063966,0.049536
chinese,0.029851,0.0063319
chinese,0.0021322,9.2736e-05
chinese,0.029851,0.010556
chinese,0.027719,0.0062903
chinese,0.021322,0.006647
chinese,0.0021322,2.2949e-06
chinese,0.0042644,0.00027791
chinese,0.014925,0.0012516
chinese,0.091684,0.083826
chinese,0.0085288,0.00048626
chinese,0.057569,0.037213
chinese,0.1258,0.16195
chinese,0.042644,0.020327
chinese,0.36247,0.56077
chinese,0.11087,0.12534
chinese,0.0063966,0.00084044
chinese,0.36887,0.59936
chinese,0.19403,0.29023
chinese,0.012793,0.0019688
chinese,0.027719,0.01105
chinese,0.017058,0.0012146
chinese,0.0063966,0.00064386
chinese,0.06823,0.060384
chinese,0.040512,0.023758
chinese,0.15991,0.18907
chinese,0.021322,0.0053786
chinese,0.20896,0.31616
chinese,0.021322,0.0077833
chinese,0.051173,0.034568
chinese,0.034115,0.0033817
chinese,0.17271,0.24999
chinese,0.014925,0.0039209
chinese,0.0042644,0.00037421
chinese,0.031983,0.0016595
chinese,0.13006,0.10206
chinese,0.036247,0.0029135
chinese,0.0063966,0.00066375
chinese,0.063966,0.050411
chinese,0.26013,0.39629
chinese,0.034115,0.011744
chinese,0.41791,0.69582
chinese,0.044776,0.028422
chinese,0.023454,0.0041198
chinese,0.17271,0.24373
chinese,0.014925,0.0035564
chinese,0.0063966,0.00068827
chinese,0.014925,0.0011642
chinese,0.0021322,9.4319e-05
chinese,0.0021322,3.3869e-06
chinese,0.33049,0.54481
chinese,0.014925,0.0034793
chinese,0.01919,0.00036068
chinese,0.044776,0.027315
chinese,0.063966,0.041534
chinese,0.025586,0.01014
chinese,0.0063966,0.0001951
chinese,0.023454,0.006293
chinese,0.078891,0.078017
chinese,0.37527,0.59647
chinese,0.0042644,0.00018317
chinese,0.10874,0.11698
chinese,0.021322,0.00632
chinese,0.040512,0.023677
chinese,0.0063966,0.00084044
chinese,0.059701,0.043539
chinese,0.0063966,7.5212e-05
chinese,0.27079,0.42665
