cheese,soy_sauce,bean
cheese,soy_sauce,parsley
tahini,soy_sauce
allspice,tomato,cinnamon,parsley,oregano
olive_oil,garlic,lemon,parsley,oregano
evaporated_milk,peanut_oil
evaporated_milk,jelly
soybean_flour,rice
fettuccine,pasta
jelly,sugar,orange,lychee
jelly,sugar,orange,heavy_cream
jelly,sugar,orange,mango
jelly,sugar,milk,heavy_cream
jelly,sugar,almond_extract
cocoa,dark_chocolate
corn_syrup,corn
artichoke,lemon
oregano,tomato,onion,parsley,garlic,celery,lamb,lemon,cinnamon
oregano,tomato,onion,parsley,garlic,celery,mint
oregano,tomato,onion,parsley,garlic,celery,thyme
oregano,tomato,onion,parsley,garlic,red_wine,cinnamon
oregano,tomato,onion,parsley,garlic,eggplant,lemon
oregano,tomato,onion,parsley,tomato_sauce,cinnamon,celery
oregano,tomato,onion,parsley,tomato_sauce,cinnamon,red_wine
penne,pasta
rump_steak,rump,soy_sauce,beef
almond_extract,butter,flour,almond,sugar
caper,parsley
rosemary,tomato,shallot,garlic,parsley,coriander_seed,onion
pot_roast,beef
tarragon,parsley,spring_onion
cherry,peanut_oil,rice
soy_sauce,sweet_potato,peanut_oil,chilli,vegetable_oil,sesame_oil
soy_sauce,milk,peanut_oil,sesame_oil,sugar,rice,pork,flour,bean,white_pepper,egg,oyster,red_pepper,honey,cinnamon
soy_sauce,milk,peanut_oil,sesame_oil,sugar,rice,pork,flour,bean,white_pepper,egg,oyster,red_pepper,white
soy_sauce,milk,peanut_oil,sesame_oil,sugar,rice,pork,flour,bean,white_pepper,egg,oyster,lard,white
soy_sauce,milk,peanut_oil,sesame_oil,sugar,rice,pork,flour,egg_yolk
soy_sauce,milk,peanut_oil,sesame_oil,sugar,rice,coconut_milk,white_pepper,egg,cinnamon,red_pepper
soy_sauce,liquorice,pork,star_anise,chicken,fennel_seed,cinnamon,sugar
soy_sauce,sausage,peanut_oil,sesame_oil
soy_sauce,grape,tomato,rice
soy_sauce,string_bean
soy_sauce,yam
soy_sauce,beer,vegetable_oil
soy_sauce,spring_onion,vodka,tomato,vinegar,chilli,mushroom,shallot,fish,coriander_seed,shrimp,red_pepper,corn_oil,peppercorn,chicken,carrot,white
soy_sauce,spring_onion,vodka,tomato,vinegar,chilli,mushroom,shallot,fish,coriander_seed,shrimp,red_pepper,corn_oil,peppercorn,chicken,carrot,lemongrass
soy_sauce,spring_onion,vodka,tomato,vinegar,chilli,mushroom,shallot,fish,coriander_seed,shrimp,soybean_oil,lemongrass
soy_sauce,spring_onion,brisket,beef
soy_sauce,spring_onion,chili_sauce,peanut_oil,chicken
soy_sauce,spring_onion,sesame_oil,garlic_sauce,chilli,garlic,chicken_stock
soy_sauce,spring_onion,sesame_oil,taro_root
