cuisine, avgIngredsPerRecipe, stddev
spanish,6.17216117216,3.76616990382
mexican,6.37926896806,3.79805173148
chinese,6.88873891246,3.61321230926
indian,7.72442244224,3.89080232394
italian,5.46354337152,3.10446537815
french,5.50284823732,3.61290566309
