Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,26,20,7
tomato,1,20,14,7
garlic,2,17,19,7
bay_leaf,3,16,16,7
onion,4,14,14,7
sweet_pepper,5,9,7,6
carrot,6,9,5,7
peppercorn,7,9,6,7
saffron,8,7,3,6
thyme,9,7,2,7
white,10,6,2,6
red_pepper,11,6,2,6
white_wine,12,6,2,6
chilli,13,5,3,4
sherry,14,5,3,4
potato,15,5,2,5
spring_onion,16,5,2,5
chicken,17,2,1,3
celery,18,2,1,3
fish,19,2,2,2
olive_oil,20,2,1,3
rice,21,2,1,3
bread,22,2,2,2
shrimp,23,2,2,2
egg,24,1,1,2
ham,25,1,1,2
lemon,26,1,1,2
sausage,27,1,1,2
mushroom,28,1,1,2
cumin_seed,29,1,1,2
vinegar,30,1,1,2
coriander_seed,31,1,1,2
green_pepper,32,1,1,2
almond,33,1,1,2
chorizo,34,1,1,2
chicken_stock,35,1,1,2
