Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,316,11203,53
onion,1,280,11078,53
tomato,2,270,10813,53
lemon,3,267,11878,53
celery,4,257,5681,53
carrot,5,246,5465,53
flour,6,236,10361,53
peppercorn,7,228,10725,53
white_wine,8,228,11263,53
white,9,219,11029,53
garlic,10,213,10492,53
red_pepper,11,212,9928,53
egg,12,212,11405,53
basil,13,211,10113,53
bay_leaf,14,210,10819,53
rosemary,15,202,10379,53
butter,16,199,8139,53
pasta,17,197,7327,53
thyme,18,195,10320,53
potato,19,186,10432,53
heavy_cream,20,186,6845,53
olive_oil,21,178,9879,53
spring_onion,22,169,8718,53
chilli,23,169,9129,53
sage,24,167,7963,53
oregano,25,167,9211,53
bread,26,166,9639,53
orange,27,164,4750,52
milk,28,164,5234,53
red_onion,29,162,8895,53
chicken_stock,30,160,7376,53
mushroom,31,158,8479,53
cinnamon,32,157,3431,53
ricotta,33,156,5620,53
nutmeg,34,156,5598,53
red_wine,35,155,7558,53
egg_yolk,36,152,4085,53
anchovy,37,152,8134,53
caper,38,148,8559,53
vinegar,39,147,6702,53
pine_nut,40,144,9013,53
cheese,41,141,6790,53
sugar,42,140,1609,39
florence_fennel,43,136,5973,53
chicken,44,134,6886,53
tomato_paste,45,132,4912,53
mint,46,131,7710,53
beef,47,130,2724,53
veal,48,129,3411,53
shallot,49,127,6640,53
prosciutto,50,126,2854,53
almond,51,126,2668,45
pork,52,124,2829,53
vegetable_oil,53,122,4926,53
mozzarella,54,119,2988,53
zucchini,55,118,4240,53
rice,56,117,2586,53
raisin,57,117,2313,53
shrimp,58,115,2274,47
honey,59,115,2103,48
black_olive,60,107,2044,49
pea,61,106,2127,53
stock,62,103,1158,53
spinach,63,103,2022,53
wine_vinegar,64,101,2362,49
bean,65,100,1738,52
walnut,66,98,1510,46
rocket,67,93,1681,50
chive,68,93,1707,52
castor_sugar,69,92,644,35
fennel_seed,70,92,1717,50
