Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,88,257,19
tomato,1,76,241,19
onion,2,72,222,19
celery,3,58,110,19
pasta,4,58,144,19
carrot,5,57,112,19
basil,6,54,157,19
flour,7,52,140,19
white_wine,8,48,159,19
lemon,9,48,112,19
peppercorn,10,47,153,19
egg,11,44,92,19
garlic,12,44,155,19
white,13,44,143,19
red_pepper,14,42,92,19
rosemary,15,42,152,19
bay_leaf,16,39,130,19
oregano,17,37,100,19
potato,18,34,89,19
sage,19,33,74,19
thyme,20,33,76,19
chicken_stock,21,33,70,19
mushroom,22,31,49,19
olive_oil,23,31,61,19
nutmeg,24,28,37,17
butter,25,28,34,15
chilli,26,28,26,19
red_onion,27,27,27,19
anchovy,28,26,20,17
bread,29,26,27,18
tomato_paste,30,24,30,19
caper,31,24,13,17
heavy_cream,32,23,18,15
veal,33,23,22,16
spring_onion,34,21,8,18
pork,35,21,25,15
milk,36,21,29,11
ricotta,37,20,15,11
chicken,38,19,12,16
beef,39,18,16,14
red_wine,40,18,17,13
prosciutto,41,18,5,16
shrimp,42,17,6,14
cinnamon,43,16,15,9
cheese,44,15,4,13
zucchini,45,15,6,12
mozzarella,46,15,7,11
orange,47,14,9,9
sugar,48,14,8,9
bean,49,13,4,12
eggplant,50,13,4,11
vinegar,51,12,3,11
florence_fennel,52,12,2,12
almond,53,11,5,8
pine_nut,54,11,3,10
spinach,55,11,3,10
egg_yolk,56,11,4,9
mint,57,11,2,11
black_olive,58,11,1,12
spaghetti,59,9,1,10
pea,60,9,2,9
stock,61,8,4,7
castor_sugar,62,8,4,6
wine_vinegar,63,8,2,8
shallot,64,8,2,8
dark_chocolate,65,8,3,7
shoulder,66,7,2,7
lamb,67,7,2,7
mussel,68,7,2,7
raisin,69,7,4,6
vegetable_oil,70,7,2,7
fish,71,7,2,7
rice,72,6,2,6
tuna,73,6,2,6
meat,74,6,2,6
juniper_berry,75,5,2,5
ground_beef,76,5,2,5
clam,77,5,2,5
squid,78,5,1,6
sweet_pepper,79,4,1,5
penne,80,4,1,5
saffron,81,4,1,5
honey,82,4,1,5
semolina,83,4,1,5
beef_stock,84,4,2,4
green_olive,85,4,1,5
globe_artichoke,86,3,1,4
green_bean,87,3,1,4
plain_flour,88,3,1,4
rabbit,89,3,1,4
olive,90,3,1,4
cherry tomato,91,3,1,4
vanilla_bean,92,3,1,4
vegetable,93,2,1,3
linguine,94,2,1,3
garbanzo,95,2,1,3
salt,96,2,2,2
rocket,97,2,1,3
cornmeal,98,1,1,2
hard_wheat,99,1,1,2
ham,100,1,1,2
spaghettini,101,1,1,2
fennel_seed,102,1,1,2
cocoa_powder,103,1,1,2
rigatoni,104,1,1,2
sherry,105,1,1,2
walnut,106,1,1,2
lard,107,1,1,2
patty,108,1,1,2
chive,109,1,1,2
kosher,110,1,1,2
tomato_sauce,111,1,1,2
tagliatelle,112,1,1,2
bacon,113,1,1,2
fettuccine,114,1,1,2
wheat_flour,115,1,1,2
rum,116,1,1,2
white_bread,117,1,1,2
orange_peel,118,1,1,2
