chilli,1,chilli,1,1
coriander_seed,2,coriander_seed,2,1
cumin_seed,3,cumin_seed,3,1
ginger,4,ginger,4,1
turmeric,5,turmeric,5,1
onion,6,onion,10,1
tomato,7,tomato,6,1
cardamon,8,cardamon,8,1
cinnamon,9,cinnamon,12,1
mustard_seed,10,mustard_seed,9,1
garlic,11,garlic,13,1
red_pepper,12,red_pepper,7,1
yogurt,13,yogurt,11,1
curry,14,curry,15,1
coconut,15,coconut,16,1
peppercorn,16,peppercorn,17,1
potato,17,potato,18,1
fenugreek_seed,18,fenugreek_seed,22,1
ghee,19,ghee,19,1
bay_leaf,20,bay_leaf,25,1
tamarind,21,tamarind,24,1
flour,23,flour,21,1
lime,25,lime,23,1
 ,26,stick,14,1
 ,26,rice,20,1
 ,26,mint,26,1
chicken,22, ,27,1
lamb,24, ,27,1
