soy_sauce,1,soy_sauce,1,1
ginger,2,ginger,2,1
spring_onion,3,spring_onion,3,1
sesame_oil,4,sesame_oil,4,1
peanut_oil,5,peanut_oil,5,1
chilli,6,chilli,7,1
rice,7,rice,6,1
chicken,8,chicken,8,1
garlic,9,garlic,15,1
vinegar,10,vinegar,13,1
pork,11,pork,9,1
shrimp,12,shrimp,14,1
wine,13,wine,21,1
carrot,14,carrot,19,1
chicken_stock,15,chicken_stock,12,1
coriander_seed,16,coriander_seed,16,1
mushroom,17,mushroom,18,1
oyster,18,oyster,17,1
sherry,19,sherry,11,1
white_pepper,20,white_pepper,20,1
bean,21,bean,25,1
red_pepper,22,red_pepper,24,1
sesame,23,sesame,27,1
bamboo_shoot,25,bamboo_shoot,29,1
beef,26,beef,30,1
tofu,29,tofu,28,1
vegetable_oil,30,vegetable_oil,23,1
 ,31,sauce,10,1
 ,31,flour,22,1
 ,31,white,26,1
 ,31,egg,31,1
star_anise,24, ,32,1
noodle,27, ,32,1
peppercorn,28, ,32,1
