Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,228,2767,36
tomato,1,194,2751,36
onion,2,187,5338,36
bay_leaf,3,185,5331,36
garlic,4,184,5406,36
carrot,5,154,4642,36
thyme,6,152,5015,36
sweet_pepper,7,149,5105,36
peppercorn,8,145,5166,36
chilli,9,142,4442,36
spring_onion,10,141,4985,36
sherry,11,136,4662,36
saffron,12,134,4352,36
potato,13,132,3801,36
red_pepper,14,127,4602,36
lemon,15,126,4025,36
white,16,121,4712,36
white_wine,17,120,4350,36
almond,18,112,2962,36
olive_oil,19,112,3835,36
coriander_seed,20,108,2207,36
cinnamon,21,106,1205,35
vinegar,22,102,1666,36
rice,23,101,2107,36
egg,24,100,1874,36
shrimp,25,99,2547,36
ham,26,99,3138,36
bread,27,97,2396,36
cumin_seed,28,94,2168,36
sausage,29,93,1693,36
chicken,30,92,2514,36
green_pepper,31,90,1932,36
chicken_stock,32,90,1742,36
wild_marjoram,33,88,1776,36
flour,34,87,1930,36
orange,35,86,912,33
pork,36,85,1726,36
sunflower_oil,37,84,845,33
rosemary,38,83,1009,36
celery,39,83,1519,36
brandy,40,81,887,34
fish,41,81,1392,33
shallot,42,80,1065,36
pine_nut,43,78,1736,36
red_onion,44,76,1202,36
bacon,45,76,805,36
mushroom,46,75,1230,36
pea,47,74,1287,36
milk,48,73,732,32
mint,49,72,897,36
chorizo,50,69,398,33
egg_yolk,51,67,672,32
vegetable_oil,52,65,389,36
nutmeg,53,61,446,35
squid,54,59,484,34
heavy_cream,55,59,206,29
green,56,58,508,36
apple,57,58,239,31
garbanzo,58,55,201,36
stock,59,55,420,30
sugar,60,55,74,23
mussel,61,54,398,33
sweet,62,53,232,35
fennel,63,53,166,35
beef,64,53,234,31
lime,65,53,109,31
veal,66,52,318,34
anchovy,67,52,300,30
caper,68,52,281,28
tuna,69,51,373,29
honey,70,50,383,27
lamb,71,50,93,33
clam,72,50,252,32
asparagus,73,49,280,30
red_wine,74,48,114,29
globe_artichoke,75,47,112,32
raisin,76,44,225,28
tortilla,77,44,76,21
lettuce,78,44,137,25
lard,79,44,70,31
green_olive,80,43,155,31
monkfish,81,43,156,28
spinach,82,43,50,32
butter,83,43,130,24
aniseed,84,43,158,26
rabbit,85,42,44,31
caster_sugar,86,42,101,22
tomato_paste,87,41,82,29
green_bean,88,41,72,28
ginger,89,40,63,30
eggplant,90,39,50,31
mayonnaise,91,39,105,21
white_bread,92,38,26,30
fava_bean,93,38,62,29
fennel_seed,94,37,42,26
pasta,95,37,34,24
black_olive,96,36,30,28
salt_cod,97,36,56,23
hazelnut,98,35,35,26
white_turnip,99,35,70,26
star_anise,100,34,32,26
basil,101,31,20,26
pork_loin,102,31,18,26
cabbage,103,30,16,25
tomato_sauce,104,30,16,25
baguette,105,29,20,22
hake,106,29,14,23
chive,107,28,12,24
tarragon,108,28,19,21
grain,109,27,26,21
lobster,110,27,6,25
shoulder,111,27,10,24
cream,112,24,15,19
quail,113,24,14,20
juice,114,24,6,22
olive,115,24,6,22
cucumber,116,24,10,20
dark_chocolate,117,24,20,16
cider_vinegar,118,23,19,16
beef_stock,119,23,8,21
white_bean,120,23,6,21
langoustine,121,23,6,21
sour_cream,122,22,17,15
fillet,123,22,8,20
crabmeat,124,21,12,18
avocado,125,21,23,14
peanut_oil,126,21,14,16
wine_vinegar,127,21,4,20
salt,128,21,8,16
lemongrass,129,20,2,20
cherry tomato,130,20,6,18
herb,131,19,4,18
noodle,132,19,14,15
lima_bean,133,19,4,18
scallop,134,19,2,19
ground_beef,135,19,10,16
partridge,136,19,6,17
vegetable,137,18,4,17
bean,138,18,4,17
duck,139,18,6,16
meat,140,18,6,16
dill_pickle,141,17,3,16
liquorice,142,17,2,17
cod,143,17,4,16
snail,144,17,2,17
truffle,145,17,3,16
cauliflower,146,17,4,16
paste,147,16,7,12
walnut,148,16,8,12
dill,149,16,9,13
chicken_liver,150,16,7,13
cardamom,151,15,2,15
pear,152,15,5,13
corn,153,15,11,11
whipping_cream,154,15,3,14
leg,155,14,2,14
artichoke_heart,156,14,2,14
sardine,157,14,2,14
rum,158,14,5,11
vanilla_bean,159,13,6,10
lentil,160,13,2,13
grape,161,13,8,10
pastry,162,13,6,9
prune,163,13,2,13
hard-cooked_egg,164,13,6,11
liver,165,13,6,11
octopus,166,13,2,13
pumpkin,167,12,3,11
single_cream,168,12,2,12
cheese,169,12,2,12
striped_bass,170,12,2,12
peach,171,12,5,10
prosciutto,172,12,4,11
radish,173,11,2,11
sparerib,174,11,2,11
mullet,175,10,2,10
tripe,176,10,2,10
rib,177,10,2,10
white_pepper,178,10,2,10
pork_sausage,179,10,2,10
escarole,180,10,2,10
jelly,181,10,5,8
salt_pork,182,10,2,10
orange_juice,183,10,4,9
