Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,29,29,7
tomato,1,21,20,7
onion,2,14,13,7
peppercorn,3,10,5,7
celery,4,10,6,6
basil,5,10,5,7
rosemary,6,9,6,6
garlic,7,9,4,7
carrot,8,9,5,6
bay_leaf,9,8,6,6
pasta,10,8,3,7
white_wine,11,7,4,6
red_pepper,12,6,1,7
white,13,6,2,6
thyme,14,4,2,4
flour,15,4,3,3
oregano,16,3,1,4
caper,17,3,2,3
egg,18,3,2,3
potato,19,3,1,4
red_onion,20,2,1,3
sage,21,2,1,3
chicken_stock,22,2,1,3
butter,23,2,1,3
anchovy,24,2,1,3
mozzarella,25,2,1,3
bread,26,2,1,3
chilli,27,2,1,3
olive_oil,28,2,1,3
lemon,29,1,1,2
spaghetti,30,1,1,2
spring_onion,31,1,1,2
mushroom,32,1,1,2
