Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,153,606,28
tomato,1,135,559,28
garlic,2,124,1074,28
onion,3,120,1061,28
bay_leaf,4,117,1049,28
thyme,5,102,969,28
sweet_pepper,6,102,965,28
carrot,7,96,954,28
peppercorn,8,90,965,28
saffron,9,89,878,28
sherry,10,85,785,28
red_pepper,11,84,834,28
spring_onion,12,83,730,28
chilli,13,83,693,28
potato,14,79,792,28
white_wine,15,78,792,28
lemon,16,76,486,28
white,17,73,748,28
olive_oil,18,68,451,28
egg,19,67,394,26
coriander_seed,20,64,273,28
chicken,21,63,667,28
rice,22,62,306,28
almond,23,62,307,26
cinnamon,24,61,206,25
vinegar,25,61,242,28
bread,26,60,412,27
shrimp,27,59,266,28
ham,28,56,290,26
flour,29,55,184,25
chicken_stock,30,53,499,28
green_pepper,31,53,255,28
celery,32,53,191,28
pork,33,53,264,25
sausage,34,50,226,27
rosemary,35,48,170,28
fish,36,47,120,26
red_onion,37,46,81,28
mushroom,38,46,189,26
cumin_seed,39,44,142,27
brandy,40,44,171,26
mint,41,43,92,27
wild_marjoram,42,43,97,27
bacon,43,43,111,25
orange,44,43,62,22
pine_nut,45,41,103,25
pea,46,41,72,24
shallot,47,40,72,28
nutmeg,48,39,80,24
sunflower_oil,49,37,64,18
chorizo,50,37,50,26
egg_yolk,51,36,47,22
milk,52,36,40,18
garbanzo,53,33,48,23
green,54,33,34,24
stock,55,30,18,23
tuna,56,30,37,20
fennel,57,30,18,24
vegetable_oil,58,30,23,22
squid,59,30,26,24
mussel,60,30,26,23
clam,61,30,26,23
anchovy,62,28,42,19
monkfish,63,27,16,21
lime,64,26,14,19
white_turnip,65,26,16,21
sugar,66,25,18,12
beef,67,25,12,21
aniseed,68,24,15,19
lamb,69,23,9,19
heavy_cream,70,23,23,14
caper,71,23,19,17
lard,72,22,26,16
sweet,73,22,4,21
veal,74,22,6,20
tortilla,75,21,11,12
apple,76,21,11,16
ginger,77,21,5,19
globe_artichoke,78,20,32,15
mayonnaise,79,20,19,14
salt_cod,80,20,10,16
star_anise,81,20,4,19
red_wine,82,20,13,16
spinach,83,19,8,16
asparagus,84,19,16,16
green_bean,85,18,6,16
rabbit,86,18,4,17
green_olive,87,17,16,14
tomato_paste,88,17,3,16
caster_sugar,89,17,8,12
white_bread,90,17,4,16
hazelnut,91,16,2,16
raisin,92,16,10,11
black_olive,93,15,8,12
lettuce,94,15,6,12
fava_bean,95,15,8,13
butter,96,14,5,11
grain,97,14,4,13
lobster,98,13,4,12
eggplant,99,13,4,12
cabbage,100,13,2,13
pork_loin,101,13,2,13
white_bean,102,13,2,13
fillet,103,12,2,12
fennel_seed,104,12,4,11
juice,105,12,2,12
baguette,106,12,4,11
honey,107,11,2,11
wine_vinegar,108,10,2,10
salt,109,10,4,8
hake,110,10,4,9
tarragon,111,9,2,9
pasta,112,9,2,9
basil,113,9,2,9
shoulder,114,9,4,8
chive,115,9,2,9
olive,116,8,2,8
sour_cream,117,8,1,9
partridge,118,7,1,8
beef_stock,119,7,2,7
peanut_oil,120,7,1,8
quail,121,7,1,8
duck,122,7,2,7
vanilla_bean,123,7,2,7
noodle,124,6,2,6
avocado,125,6,2,6
granulated_sugar,126,6,1,7
tomato_sauce,127,6,1,7
cucumber,128,6,2,6
dark_chocolate,129,6,1,7
herb,130,5,2,5
cider_vinegar,131,5,2,5
chicken_liver,132,5,1,6
grape,133,5,1,6
octopus,134,5,1,6
cherry tomato,135,5,1,6
ground_beef,136,5,2,5
liver,137,5,1,6
leg,138,5,1,6
radish,139,5,1,6
meat,140,5,2,5
corn,141,5,1,6
dill_pickle,142,5,1,6
sardine,143,4,2,4
scallop,144,4,2,4
bean,145,4,2,4
lemongrass,146,4,1,5
cream,147,4,1,5
cauliflower,148,4,2,4
artichoke_heart,149,4,2,4
prune,150,3,1,4
vegetable,151,3,2,3
lima_bean,152,3,2,3
prosciutto,153,3,2,3
peach,154,3,1,4
lentil,155,3,1,4
truffle,156,3,2,3
cod,157,3,1,4
kosher,158,3,1,4
tomatillo,159,3,1,4
crabmeat,160,3,2,3
orange_juice,161,2,1,3
cake,162,2,1,3
jelly,163,2,1,3
fig,164,2,1,3
cardamom,165,2,1,3
dill,166,2,1,3
rum,167,2,1,3
paella,168,2,1,3
pork_sausage,169,2,1,3
watercress,170,2,1,3
whipping_cream,171,2,1,3
aioli,172,2,2,2
whiting,173,1,1,2
pear,174,1,1,2
romaine_lettuce,175,1,1,2
littleneck_clam,176,1,1,2
single_cream,177,1,1,2
salmon,178,1,1,2
snail,179,1,1,2
mustard_seed,180,1,1,2
walnut,181,1,1,2
rib,182,1,1,2
spiny_lobster,183,1,1,2
sparkling_water,184,1,1,2
rock,185,1,1,2
paste,186,1,1,2
langoustine,187,1,1,2
cheese,188,1,1,2
liqueur,189,1,1,2
double_cream,190,1,1,2
striped_bass,191,1,1,2
cider,192,1,1,2
pumpkin,193,1,1,2
vanilla_extract,194,1,1,2
oyster mushroom,195,1,1,2
sparerib,196,1,1,2
hard-cooked_egg,197,1,1,2
tripe,198,1,1,2
semolina,199,1,1,2
cornmeal,200,1,1,2
manzanilla,201,1,1,2
turmeric,202,1,1,2
