cuisine	nodeCount	edgeCount	assortativeCoefficient	transitivity	avgClusteringCoefficient	degreeCentrality	betweeness	closeness	id
spanish	454	10000	-0.40771642806	0.451970826902	0.744187532737	0.00131150555464	0.0986416284503	0.561764645629	724
mexican	467	10000	-0.443248035661	0.436263658551	0.769934842349	0.00146686084846	0.155186848505	0.64254306813	484
chinese	470	10000	-0.446612371281	0.423634595046	0.769110633215	0.00140370649234	0.11861440365	0.612803061228	156
indian	456	10000	-0.483264049459	0.416578888395	0.812852971954	0.00165508113419	0.165737350124	0.720110072772	356
french	485	10000	-0.462096104364	0.421517905437	0.750608997505	0.00117777397854	0.0958258847002	0.532023279768	250
italian	449	10000	-0.454867240259	0.462163443543	0.763085422274	0.00135857352589	0.125852029928	0.569380335015	380
