Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
ginger,0,37,54,11
cumin_seed,1,36,53,11
chilli,2,36,28,11
coriander_seed,3,36,28,11
turmeric,4,32,46,11
cardamon,5,21,18,11
onion,6,20,24,11
mustard_seed,7,18,19,9
tomato,8,18,18,11
cinnamon,9,18,15,11
yogurt,10,16,12,11
red_pepper,11,15,12,11
garlic,12,15,10,11
peppercorn,13,12,4,11
curry,14,11,8,8
ghee,15,11,4,10
chicken,16,10,2,10
lamb,17,10,2,10
rice,18,10,4,9
bay_leaf,19,9,2,9
potato,20,9,2,9
fenugreek_seed,21,8,2,8
tamarind,22,7,2,7
paprika,23,7,2,7
coconut,24,7,2,7
flour,25,6,2,6
garbanzo,26,6,2,6
mint,27,5,2,5
fennel_seed,28,5,2,5
lime,29,5,2,5
mustard_greens,30,5,2,5
red_onion,31,5,2,5
pea,32,5,2,5
coconut_water,33,5,2,5
nutmeg,34,5,1,6
mango,35,4,2,4
peanut_oil,36,4,2,4
carrot,37,3,2,3
almond,38,2,1,3
lemon,39,1,1,2
milk,40,1,1,2
saffron,41,1,1,2
black_mustard,42,1,1,2
