Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,65,116,15
tomato,1,52,98,15
onion,2,46,88,15
celery,3,39,40,15
pasta,4,37,43,15
carrot,5,36,37,15
flour,6,35,44,12
basil,7,35,53,15
lemon,8,31,34,15
white_wine,9,28,40,15
rosemary,10,28,43,15
garlic,11,27,50,15
bay_leaf,12,26,32,15
peppercorn,13,24,26,15
white,14,23,26,15
oregano,15,22,20,15
egg,16,20,24,9
red_pepper,17,20,12,15
thyme,18,20,14,15
sage,19,17,14,12
chicken_stock,20,17,12,13
olive_oil,21,16,12,12
potato,22,16,12,12
anchovy,23,15,6,12
mushroom,24,14,6,12
nutmeg,25,14,13,7
chilli,26,14,6,12
butter,27,13,9,7
caper,28,12,3,11
chicken,29,11,2,11
ricotta,30,10,6,7
milk,31,10,7,7
sugar,32,10,7,6
red_onion,33,10,4,9
spring_onion,34,9,2,9
tomato_paste,35,9,2,9
red_wine,36,9,3,8
veal,37,9,2,9
cheese,38,8,4,7
bread,39,8,2,8
heavy_cream,40,7,4,5
zucchini,41,7,2,7
beef,42,6,2,6
pork,43,6,2,6
mozzarella,44,6,2,6
egg_yolk,45,6,2,6
almond,46,6,2,6
bean,47,6,2,6
orange,48,6,2,6
pine_nut,49,5,2,5
prosciutto,50,5,2,5
florence_fennel,51,4,1,5
stock,52,4,2,4
cinnamon,53,4,2,4
black_olive,54,4,1,5
spaghetti,55,4,1,5
eggplant,56,3,1,4
pea,57,3,1,4
meat,58,3,1,4
shrimp,59,3,1,4
mint,60,3,1,4
spinach,61,3,1,4
vegetable_oil,62,2,1,3
squid,63,2,1,3
mussel,64,2,1,3
globe_artichoke,65,2,1,3
wine_vinegar,66,2,2,2
rice,67,2,1,3
raisin,68,2,2,2
castor_sugar,69,2,1,3
penne,70,1,1,2
rigatoni,71,1,1,2
linguine,72,1,1,2
vinegar,73,1,1,2
honey,74,1,1,2
cherry tomato,75,1,1,2
fish,76,1,1,2
clam,77,1,1,2
lamb,78,1,1,2
semolina,79,1,1,2
sweet_pepper,80,1,1,2
shallot,81,1,1,2
tuna,82,1,1,2
