Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
ginger,0,349,26231,46
spring_onion,1,340,52194,46
soy_sauce,2,337,26125,46
sesame_oil,3,288,51420,46
rice,4,279,51934,46
peanut_oil,5,260,49987,46
chilli,6,255,50976,46
vinegar,7,246,50705,46
coriander_seed,8,232,49766,46
carrot,9,226,50016,46
chicken,10,225,51222,46
chicken_stock,11,209,46154,46
pork,12,209,48898,46
garlic,13,207,50761,46
flour,14,199,33906,46
red_pepper,15,198,48303,46
shrimp,16,196,46591,46
mushroom,17,192,48062,46
sherry,18,187,26422,45
oyster,19,178,46227,46
vegetable_oil,20,176,35821,46
shallot,21,175,42751,46
wine,22,174,18349,46
white_pepper,23,173,29457,46
onion,24,170,30933,46
tomato,25,170,24217,45
peppercorn,26,168,43904,46
white,27,166,38355,46
celery,28,158,45399,46
bean,29,157,36965,46
star_anise,30,156,32620,46
tofu,31,155,28790,46
sesame,32,148,13684,46
cinnamon,33,148,16551,46
beef,34,147,25618,46
noodle,35,146,37394,46
hoisin_sauce,36,141,31384,46
honey,37,140,16087,46
orange,38,139,13738,45
egg,39,138,21714,46
sugar,40,136,9441,45
water,41,136,34467,46
duck,42,130,12083,46
sesame_seed,43,129,14280,46
lemon,44,129,11600,44
cucumber,45,129,32414,46
fish,46,128,34448,46
bamboo_shoot,47,127,11322,46
bean_sprout,48,123,15077,46
pimiento,49,122,11240,45
lime,50,122,12780,45
black_bean,51,122,13372,45
cabbage,52,120,32428,46
corn_oil,53,116,10181,43
coconut_milk,54,111,5394,42
spinach,55,109,14917,46
tomato_ketchup,56,99,4309,44
ham,57,98,3266,46
pea,58,98,8344,46
peanut,59,98,6191,46
red_onion,60,95,7000,43
mint,61,93,5488,44
stock,62,93,2732,46
lemongrass,63,93,5811,42
parsley,64,91,790,34
bamboo,65,91,2546,46
lettuce,66,91,6783,46
sweet_basil,67,89,8006,43
scallop,68,88,6124,46
wonton,69,87,5751,42
radish,70,87,7380,45
potato,71,87,1043,42
snow_pea,72,85,5220,45
cumin_seed,73,85,1429,39
grain,74,85,3389,46
sweet,75,85,6525,45
green_pepper,76,84,3678,45
egg_yolk,77,83,2068,41
corn,78,81,4289,44
chive,79,81,3739,43
lamb,80,80,2823,39
almond,81,78,1539,39
asparagus,82,78,3524,42
napa,83,77,2088,44
pork_loin,84,76,1462,45
curry_powder,85,75,1346,40
lard,86,75,552,42
crabmeat,87,73,1814,45
pineapple,88,71,707,38
vegetable,89,70,1053,42
mustard_greens,90,70,1588,42
turmeric,91,69,710,40
walnut,92,68,1026,37
fillet,93,68,1295,42
heavy_cream,94,68,560,28
salt,95,65,1006,41
juice,96,65,720,41
cider_vinegar,97,64,1152,37
squid,98,64,1124,40
milk,99,63,594,30
soybean_oil,100,63,619,34
tomato_sauce,101,62,247,33
tangerine,102,61,247,39
pasta,103,61,284,29
pak_choi,104,60,852,39
iceberg_lettuce,105,60,1332,42
pork_belly,106,59,288,38
shoulder,107,59,546,40
fennel_seed,108,58,324,36
bay_leaf,109,58,182,32
bacon,110,58,236,42
malt,111,58,938,37
eggplant,112,57,703,35
flank_steak,113,56,894,39
broccoli,114,55,222,39
caster_sugar,115,55,264,33
orange_juice,116,54,285,34
butter,117,54,181,19
mango,118,53,192,30
egg_noodle,119,52,146,41
sea_scallop,120,52,166,35
roll,121,52,123,39
ground_beef,122,51,169,34
lychee,123,51,160,25
pine_nut,124,51,172,35
yellow_bean,125,50,78,38
white_wine,126,50,73,34
cauliflower,127,50,136,38
salmon,128,50,302,34
brown_sugar,129,50,565,31
thyme,130,49,105,28
spring_roll,131,48,71,38
soybean,132,48,104,34
oyster mushroom,133,47,388,32
green,134,47,86,34
vodka,135,46,96,34
mung_bean,136,46,50,36
sparerib,137,46,534,31
green_bean,138,46,260,34
tomato_paste,139,46,92,34
rib,140,46,72,33
chestnut,141,45,62,34
oregano,142,45,119,21
plum_sauce,143,45,97,33
brandy,144,45,190,29
gin,145,45,46,34
watercress,146,44,242,30
cream,147,44,213,21
peanut_butter,148,44,36,36
leg,149,44,144,33
clam,150,43,65,32
pork_tenderloin,151,43,36,36
coconut,152,42,259,23
vermicelli,153,40,56,33
fennel,154,40,74,29
wheat_berry,155,39,14,34
sea_bass,156,37,40,31
stock_cube,157,37,32,30
nutmeg,158,37,66,22
raisin,159,37,44,20
food_coloring,160,37,80,26
rock_candy,161,36,40,30
tapioca,162,36,60,24
