Cuisine,degree,betweeness
indian,0.27033,0.0058455
indian,0.2022,0.0007004
indian,0.12088,2.1449e-05
indian,0.38242,0.0054224
indian,0.13407,4.5958e-05
indian,0.07033,9.6634e-07
indian,0.35604,0.003496
indian,0.15604,0.00053115
indian,0.043956,2.719e-07
indian,0.024176,0.00011213
indian,0.10989,0.00012396
indian,0.048352,1.6137e-07
indian,0.068132,2.0109e-05
indian,0.0087912,0
indian,0.0065934,0
indian,0.085714,3.473e-05
indian,0.31648,0.002301
indian,0.048352,1.9235e-06
indian,0.032967,5.8855e-06
indian,0.0065934,0
indian,0.013187,0
indian,0.01978,2.4826e-07
indian,0.059341,1.8619e-07
indian,0.0043956,0
indian,0.18901,0.0014009
indian,0.0021978,0
indian,0.0087912,0
indian,0.4989,0.018761
indian,0.010989,0
indian,0.057143,1.0527e-05
indian,0.0065934,0
indian,0.017582,0
indian,0.23297,0.00050081
indian,0.017582,3.1232e-07
indian,0.028571,0
indian,0.0043956,0
indian,0.037363,0
indian,0.16703,0.00034072
indian,0.0087912,0
indian,0.0043956,0
indian,0.41099,0.0060475
indian,0.0087912,0
indian,0.017582,1.447e-05
indian,0.18462,0.0005253
indian,0.063736,3.5826e-06
indian,0.22198,0.00066784
indian,0.035165,4.2041e-05
indian,0.0043956,0
indian,0.013187,0
indian,0.081319,4.042e-06
indian,0.010989,0
indian,0.054945,3.9496e-07
indian,0.068132,7.8693e-06
indian,0.035165,0
indian,0.11429,4.5908e-05
indian,0.065934,0.00029832
indian,0.0087912,0
indian,0.0087912,0
indian,0.074725,5.9428e-06
indian,0.16923,0.0011203
indian,0.22637,0.0012077
indian,0.052747,7.1839e-06
indian,0.07033,7.4036e-06
indian,0.11648,0.00016154
indian,0.0087912,0
indian,0.017582,1.2413e-07
indian,0.017582,3.066e-06
indian,0.31209,0.0047477
indian,0.1956,0.0032539
indian,0.054945,1.7738e-06
indian,0.096703,0.00014599
indian,0.0065934,0
indian,0.035165,0
indian,0.037363,1.0815e-06
indian,0.065934,4.0125e-06
indian,0.059341,5.0372e-07
indian,0.010989,0
indian,0.013187,0
indian,0.0065934,0
indian,0.030769,1.5518e-06
indian,0.07033,1.2489e-06
indian,0.037363,0
indian,0.015385,0
indian,0.0065934,0
indian,0.0065934,0
indian,0.7033,0.065776
indian,0.0043956,0
indian,0.16923,0.00017931
indian,0.14725,0.00015087
indian,0.028571,0
indian,0.017582,0
indian,0.026374,0
indian,0.16044,0.0009068
indian,0.0021978,0
indian,0.51209,0.016497
indian,0.026374,4.5983e-06
indian,0.01978,0
indian,0.052747,2.4826e-07
indian,0.092308,2.5319e-05
indian,0.017582,0
indian,0.19341,0.0037648
indian,0.13626,0.00011996
indian,0.059341,5.1642e-06
indian,0.083516,8.8966e-06
indian,0.032967,0
indian,0.032967,0
indian,0.010989,0
indian,0.013187,0
indian,0.38242,0.0073133
indian,0.021978,0
indian,0.017582,0
indian,0.81978,0.12769
indian,0.12308,5.9659e-05
indian,0.028571,2.8469e-05
indian,0.07033,2.1916e-06
indian,0.015385,0
indian,0.38901,0.013362
indian,0.0021978,0
indian,0.035165,0
indian,0.23736,0.0035541
indian,0.12527,0.00010615
indian,0.054945,2.3338e-06
indian,0.12747,6.1813e-05
indian,0.030769,9.7215e-07
indian,0.55165,0.023941
indian,0.015385,1.9271e-05
indian,0.12308,2.9442e-05
indian,0.0043956,0.00012058
indian,0.074725,6.3847e-06
indian,0.032967,1.4614e-05
indian,0.013187,0
indian,0.0043956,0
indian,0.0043956,0
indian,0.068132,3.6923e-06
indian,0.01978,0
indian,0.0021978,0
indian,0.021978,0
indian,0.046154,1.9945e-05
indian,0.021978,0
indian,0.015385,0
indian,0.0065934,0
indian,0.010989,0
indian,0.059341,4.6065e-06
indian,0.037363,5.9578e-07
indian,0.30549,0.001907
indian,0.0087912,0
indian,0.030769,0
indian,0.015385,2.6894e-07
