Cuisine,degree,comm
indian,0.057143,1.42309893378e+42
indian,0.048352,1.00342242378e+42
indian,0.0021978,2.86295587737e+39
indian,0.17802,7.41341278468e+42
indian,0.035165,5.76594509339e+41
indian,0.35604,1.54434825161e+43
indian,0.010989,2.5472181111e+40
indian,0.0021978,2.86295587737e+39
indian,0.087912,1.73868363408e+42
indian,0.23297,1.10250172723e+43
indian,0.010989,6.82104694776e+40
indian,0.010989,6.22309595541e+40
indian,0.0065934,2.6763785003e+40
indian,0.015385,1.26615280664e+41
indian,0.030769,4.8243937875e+41
indian,0.23956,1.05842004207e+43
indian,0.021978,1.77107575435e+41
indian,0.076923,1.99562911148e+42
indian,0.0021978,3.82414094817e+38
indian,0.043956,7.58001216457e+41
indian,0.010989,3.99846416055e+40
indian,0.0021978,3.29462485211e+38
indian,0.0043956,1.1711171763e+40
indian,0.015385,1.01033566874e+41
indian,0.0087912,4.60417921328e+40
indian,0.13187,4.02009136227e+42
indian,0.092308,2.75444358504e+42
indian,0.11429,4.17317916167e+42
indian,0.32527,1.49707120262e+43
indian,0.026374,2.3728233086e+41
indian,0.024176,2.84175061417e+41
indian,0.01978,1.6885920453e+41
indian,0.041758,6.43379900923e+41
indian,0.0043956,8.32488579066e+39
indian,0.013187,4.82549194802e+40
indian,0.0043956,7.47880075492e+39
indian,0.38681,1.9794372715e+43
indian,0.046154,5.03650072809e+41
indian,0.079121,2.16412345042e+42
indian,0.07033,1.41926370775e+42
indian,0.17363,5.46400157125e+42
indian,0.12308,4.53938956326e+42
indian,0.046154,7.96235492321e+41
indian,0.0065934,7.62450165253e+39
indian,0.10989,3.70096809468e+42
indian,0.059341,1.00824632186e+42
indian,0.14286,5.51185240587e+42
indian,0.10989,3.69377023565e+42
indian,0.013187,6.67643556537e+40
indian,0.13846,5.46958114264e+42
indian,0.026374,3.48917627351e+41
indian,0.094505,2.21025101054e+42
indian,0.11209,3.02927056379e+42
indian,0.048352,9.51095272363e+41
indian,0.015385,1.0607580353e+41
indian,0.22418,1.02889099803e+43
indian,0.032967,3.37826100754e+41
indian,0.010989,6.3528589804e+40
indian,0.0021978,4.64248045006e+37
indian,0.11209,2.86069725396e+42
indian,0.49011,2.44053889327e+43
indian,0.0043956,9.82300836691e+39
indian,0.054945,1.15729888687e+42
indian,0.16044,5.37120953682e+42
indian,0.11648,4.00896099542e+42
indian,0.050549,8.03665028922e+41
indian,0.024176,2.77911616643e+41
indian,0.076923,2.05073940281e+42
indian,0.015385,1.30076117193e+41
indian,0.47033,2.33749395646e+43
indian,0.0065934,5.04876327118e+39
indian,0.094505,2.76638164489e+42
indian,0.0065934,1.18560521274e+38
indian,0.0065934,2.71594958956e+40
indian,0.035165,2.79634033649e+41
indian,0.16923,6.28407047286e+42
indian,0.14945,5.61448938488e+42
indian,0.052747,1.05380333781e+42
indian,0.021978,2.09376589099e+41
indian,0.013187,8.5788333277e+40
indian,0.0065934,1.23159914648e+40
indian,0.0021978,2.39011791778e+39
indian,0.0065934,2.71594958956e+40
indian,0.085714,2.42763789159e+42
indian,0.076923,2.14699644772e+42
indian,0.01978,1.80923148195e+41
indian,0.0087912,3.7792374492e+40
indian,0.0021978,1.90313537057e+39
indian,0.026374,1.64695179565e+41
indian,0.048352,8.242444919260001e+41
indian,0.17143,6.30314707246e+42
indian,0.37363,1.92006962828e+43
indian,0.0043956,1.21197667758e+40
indian,0.0065934,2.66750454112e+40
indian,0.25275,1.2124941882e+43
indian,0.20879,8.901294613899999e+42
indian,0.0043956,3.87779577602e+39
indian,0.076923,2.05365090086e+42
indian,0.10549,3.75120538923e+42
indian,0.030769,3.5960924327e+41
indian,0.048352,9.89713888452e+41
indian,0.0065934,2.33493422969e+40
indian,0.013187,9.6941780728e+40
indian,0.087912,2.77837499393e+42
indian,0.53187,2.59297389889e+43
indian,0.10549,3.15971411617e+42
indian,0.13626,5.22522682633e+42
