src,dest,wt
lemon_juice,orange,9.23020121839e-05
lemon_juice,orange_juice,9.23020121839e-05
lemon_juice,lemon,9.23020121839e-05
lemon_juice,lime,9.23020121839e-05
pheasant,sweet,9.23020121839e-05
pheasant,sage,9.23020121839e-05
pheasant,coriander_seed,9.23020121839e-05
pheasant,peppercorn,9.23020121839e-05
pheasant,carrot,9.23020121839e-05
pheasant,mint,9.23020121839e-05
pheasant,lime,0.000184604024368
pheasant,heavy_cream,9.23020121839e-05
pheasant,cherry,9.23020121839e-05
pheasant,dried_apricot,9.23020121839e-05
pheasant,cumin_seed,9.23020121839e-05
pheasant,walnut,9.23020121839e-05
pheasant,celery,0.000184604024368
pheasant,buttermilk,9.23020121839e-05
pheasant,orange,9.23020121839e-05
pheasant,pea,9.23020121839e-05
pheasant,pumpkin,9.23020121839e-05
pheasant,flour,9.23020121839e-05
pheasant,corn,0.000276906036552
pheasant,cornmeal,0.000184604024368
pheasant,snapper,9.23020121839e-05
pheasant,chili_con_carne,0.000184604024368
pheasant,pumpkin_seed,9.23020121839e-05
pheasant,thyme,9.23020121839e-05
pheasant,red_pepper,0.000184604024368
pheasant,bay_leaf,0.000184604024368
pheasant,onion,0.000184604024368
pheasant,bacon,9.23020121839e-05
pheasant,pineapple,9.23020121839e-05
pheasant,chive,9.23020121839e-05
pheasant,rosemary,9.23020121839e-05
pheasant,tomatillo,9.23020121839e-05
pheasant,chicken_stock,0.000276906036552
sunflower_oil,olive_oil,0.000184604024368
sunflower_oil,berry,9.23020121839e-05
sunflower_oil,coriander_seed,0.000184604024368
sunflower_oil,adobo,9.23020121839e-05
sunflower_oil,milk_chocolate,9.23020121839e-05
sunflower_oil,oregano,0.000184604024368
sunflower_oil,lime,9.23020121839e-05
sunflower_oil,caper,9.23020121839e-05
sunflower_oil,vanilla_ice_cream,9.23020121839e-05
sunflower_oil,lemon,9.23020121839e-05
sunflower_oil,cumin_seed,9.23020121839e-05
sunflower_oil,spring_onion,9.23020121839e-05
sunflower_oil,polenta,9.23020121839e-05
sunflower_oil,lard,9.23020121839e-05
sunflower_oil,turtle_bean,9.23020121839e-05
sunflower_oil,self-rising_flour,9.23020121839e-05
sunflower_oil,caster_sugar,0.000184604024368
sunflower_oil,plain_flour,0.000184604024368
sunflower_oil,shallot,9.23020121839e-05
sunflower_oil,egg_yolk,9.23020121839e-05
sunflower_oil,chili_con_carne,0.000184604024368
sunflower_oil,garlic,9.23020121839e-05
sunflower_oil,peppercorn,9.23020121839e-05
sunflower_oil,raspberry,9.23020121839e-05
sunflower_oil,mozzarella,9.23020121839e-05
sunflower_oil,tomato,0.000184604024368
sunflower_oil,chilli,9.23020121839e-05
sunflower_oil,golden_syrup,9.23020121839e-05
sunflower_oil,onion,0.000276906036552
sunflower_oil,dark_chocolate,9.23020121839e-05
sunflower_oil,bay_leaf,0.000184604024368
sunflower_oil,aniseed,9.23020121839e-05
sunflower_oil,cinnamon,9.23020121839e-05
sunflower_oil,double_cream,9.23020121839e-05
sunflower_oil,cheddar_cheese,9.23020121839e-05
sunflower_oil,octopus,9.23020121839e-05
mackerel,sour_orange,9.23020121839e-05
mackerel,apple,9.23020121839e-05
mackerel,rocket,9.23020121839e-05
mackerel,sweet,9.23020121839e-05
mackerel,pine_nut,9.23020121839e-05
