src,dest,wt
lemon_juice,heavy_cream,2.68701633706e-05
lemon_juice,sole,2.68701633706e-05
lemon_juice,lemon,8.06104901118e-05
lemon_juice,flour,2.68701633706e-05
lemon_juice,fish,2.68701633706e-05
lemon_juice,almond,2.68701633706e-05
lemon_juice,parsley,2.68701633706e-05
lemon_juice,whipping_cream,2.68701633706e-05
lemon_juice,dry_vermouth,2.68701633706e-05
lemon_juice,carrot,2.68701633706e-05
lemon_juice,nutmeg,2.68701633706e-05
lemon_juice,bay_leaf,2.68701633706e-05
lemon_juice,raspberry,2.68701633706e-05
lemon_juice,mint,2.68701633706e-05
lemon_juice,ingredient,5.37403267412e-05
pheasant,sunflower_oil,5.37403267412e-05
pheasant,malmsey,2.68701633706e-05
pheasant,sage,8.06104901118e-05
pheasant,coriander_seed,5.37403267412e-05
pheasant,white_wine,0.000349312123818
pheasant,fennel,2.68701633706e-05
pheasant,wood_sorrel,2.68701633706e-05
pheasant,corn_salad,2.68701633706e-05
pheasant,milk,5.37403267412e-05
pheasant,berry,2.68701633706e-05
pheasant,grape,5.37403267412e-05
pheasant,tea_leaf,2.68701633706e-05
pheasant,cashew_nut,2.68701633706e-05
pheasant,sugar,0.000107480653482
pheasant,celery,0.000376182287188
pheasant,wild_rice,2.68701633706e-05
pheasant,spring_onion,0.0004567927773
pheasant,couscous,2.68701633706e-05
pheasant,black_olive,2.68701633706e-05
pheasant,rice,2.68701633706e-05
pheasant,pork_belly,5.37403267412e-05
pheasant,ingredient,5.37403267412e-05
pheasant,anchovy,2.68701633706e-05
pheasant,pistachio_nut,2.68701633706e-05
pheasant,flour,0.000161220980224
pheasant,foie_gras,0.000376182287188
pheasant,castor_sugar,2.68701633706e-05
pheasant,fatback,8.06104901118e-05
pheasant,partridge,0.000188091143594
pheasant,bread,0.000188091143594
pheasant,shoulder,0.000134350816853
pheasant,juniper_berry,0.0004567927773
pheasant,meat,2.68701633706e-05
pheasant,thyme,0.00088671539123
pheasant,sweet_pepper,2.68701633706e-05
pheasant,vegetable_oil,2.68701633706e-05
pheasant,onion,0.000940455717971
pheasant,nutmeg,0.000134350816853
pheasant,curly_endive,2.68701633706e-05
pheasant,white_pepper,0.000134350816853
pheasant,stock,0.000214961306965
pheasant,rosemary,2.68701633706e-05
pheasant,pork,0.000564273430782
pheasant,allspice,5.37403267412e-05
pheasant,pie_shell,2.68701633706e-05
pheasant,almond,5.37403267412e-05
pheasant,bacon,0.000644883920894
pheasant,goose,2.68701633706e-05
pheasant,escarole,5.37403267412e-05
pheasant,lentil,5.37403267412e-05
pheasant,sausage,0.000161220980224
pheasant,sauerkraut,5.37403267412e-05
pheasant,tarragon,0.000161220980224
pheasant,green_bean,8.06104901118e-05
pheasant,soy_sauce,5.37403267412e-05
pheasant,lard,8.06104901118e-05
pheasant,yogurt,2.68701633706e-05
pheasant,truffle,0.000644883920894
pheasant,demiglace,2.68701633706e-05
pheasant,pea,2.68701633706e-05
pheasant,crouton,2.68701633706e-05
pheasant,ginger,5.37403267412e-05
pheasant,herb,0.000107480653482
pheasant,paste,2.68701633706e-05
pheasant,aspic,5.37403267412e-05
pheasant,white_turnip,0.000107480653482
pheasant,chilli,2.68701633706e-05
pheasant,bay_leaf,0.000698624247635
pheasant,jelly,0.000107480653482
pheasant,kosher,2.68701633706e-05
pheasant,cinnamon,2.68701633706e-05
pheasant,cranberry,5.37403267412e-05
pheasant,chive,8.06104901118e-05
pheasant,chorizo,2.68701633706e-05
pheasant,green_olive,2.68701633706e-05
pheasant,kirsch,2.68701633706e-05
pheasant,apple,0.000134350816853
pheasant,egg_yolk,0.000188091143594
pheasant,lettuce,2.68701633706e-05
pheasant,loin,2.68701633706e-05
pheasant,double_cream,5.37403267412e-05
pheasant,oregano,5.37403267412e-05
pheasant,duck,8.06104901118e-05
pheasant,walnut,8.06104901118e-05
pheasant,lime,2.68701633706e-05
pheasant,beetroot,2.68701633706e-05
pheasant,marc,2.68701633706e-05
pheasant,saveloy,2.68701633706e-05
pheasant,parsley,0.000429922613929
pheasant,pork_loin,2.68701633706e-05
pheasant,buttermilk,2.68701633706e-05
pheasant,basil,5.37403267412e-05
