Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
onion,0,220,2540,36
parsley,1,218,2519,36
thyme,2,189,1306,36
carrot,3,180,2439,36
bay_leaf,4,177,1203,36
tomato,5,171,2344,36
shallot,6,164,2268,36
butter,7,161,2114,36
white,8,154,2393,36
white_wine,9,149,2271,36
egg,10,148,1694,36
spring_onion,11,144,2086,36
lemon,12,141,2041,36
celery,13,140,2121,36
garlic,14,136,2101,36
potato,15,128,1385,36
mushroom,16,127,1718,36
heavy_cream,17,125,1400,36
flour,18,125,951,36
peppercorn,19,123,2238,36
egg_yolk,20,122,1173,36
milk,21,121,661,36
red_pepper,22,116,1817,36
chicken_stock,23,103,1792,36
veal,24,101,1313,36
sugar,25,100,273,26
vinegar,26,97,1087,35
orange,27,95,1120,34
tarragon,28,95,1195,36
chive,29,95,1018,36
basil,30,95,1032,35
nutmeg,31,93,1177,36
cream,32,89,816,36
bacon,33,88,726,36
poulet,34,87,1235,36
pork,35,85,740,36
boeuf,36,80,485,36
tomato_paste,37,71,748,36
apple,38,70,346,33
cinnamon,39,70,329,32
chervil,40,69,368,36
red_wine,41,69,322,34
coriander_seed,42,69,543,32
almond,43,67,164,25
fish,44,67,441,33
fennel,45,66,326,32
bread,46,65,518,36
truffle,47,64,175,36
rice,48,61,434,34
olive_oil,49,60,272,33
jambon,50,59,211,36
duck,51,59,248,32
rosemary,52,58,265,34
stock,53,57,148,35
sweet_pepper,54,56,400,34
ginger,55,56,228,29
saffron,56,55,203,32
vegetable_oil,57,54,259,34
lime,58,53,180,31
white_turnip,59,53,166,34
white_pepper,60,49,111,35
double_cream,61,48,50,32
sherry,62,48,99,33
spinach,63,48,40,35
jelly,64,47,62,31
brandy,65,47,112,31
herb,66,47,112,34
pea,67,46,80,32
shrimp,68,46,123,31
caper,69,45,48,30
lamb,70,45,110,28
oregano,71,45,108,32
anchovy,72,45,65,30
chilli,73,44,187,26
juniper_berry,74,41,55,26
castor_sugar,75,40,50,17
allspice,76,40,96,27
sausage,77,40,44,27
honey,78,40,73,24
shoulder,79,40,80,28
pastry,80,39,36,26
mint,81,39,46,26
peanut_oil,82,36,13,31
mussel,83,35,17,27
foie_gras,84,35,60,28
cucumber,85,35,28,25
whipping_cream,86,35,34,26
vanilla_bean,87,34,44,17
celery_root,88,34,18,29
asparagus,89,34,12,30
white_bread,90,34,24,30
sage,91,34,30,26
globe_artichoke,92,34,15,29
star_anise,93,34,39,25
black_olive,94,33,23,25
green_bean,95,33,16,27
fillet,96,33,21,25
pasta,97,32,10,25
salmon,98,32,7,29
soy_sauce,99,32,38,23
lobster,100,32,30,27
beef_stock,101,31,22,25
watercress,102,30,4,29
wine_vinegar,103,30,18,24
cumin_seed,104,29,21,22
fennel_seed,105,29,6,27
chicken_liver,106,29,4,28
goose,107,29,18,25
lard,108,28,4,27
raisin,109,28,17,18
salt,110,27,18,20
chou,111,27,18,22
lettuce,112,27,13,22
eggplant,113,27,20,21
walnut,114,27,18,19
raspberry,115,26,19,17
rum,116,26,20,17
dill_weed,117,25,10,21
pear,118,25,15,17
meat,119,25,4,24
vanilla_extract,120,25,21,16
apricot,121,25,25,17
dark_chocolate,122,24,20,14
kirsch,123,24,18,17
chestnut,124,24,7,21
strawberry,125,23,15,17
leg,126,22,6,20
oyster,127,22,5,20
wood_sorrel,128,22,4,21
spiny_lobster,129,22,4,21
rabbit,130,22,2,22
canola_oil,131,22,4,21
vegetable,132,21,6,19
baguette,133,20,2,20
sole,134,20,2,20
white_bean,135,20,8,17
scallop,136,20,2,20
pork_belly,137,20,6,18
savory,138,20,5,18
peach,139,19,7,16
mayonnaise,140,19,4,17
grain,141,19,2,19
salt_pork,142,19,4,18
red_onion,143,19,6,17
curry_powder,144,19,4,18
mace,145,18,11,13
hazelnut,146,18,11,14
currant,147,18,5,15
liver,148,18,2,18
tuna,149,18,3,17
vegetable_marrow,150,18,4,17
cauliflower,151,17,4,16
pistachio_nut,152,17,6,15
coffee,153,17,7,14
cherry,154,16,4,14
prune,155,16,8,14
mustard_greens,156,16,4,15
green_olive,157,16,4,15
cocoa,158,16,7,13
green_pepper,159,16,6,14
dry_vermouth,160,15,2,15
demiglace,161,15,2,15
crabmeat,162,14,2,14
berry,163,14,5,12
corn,164,14,4,12
fava_bean,165,14,3,13
cocoa_powder,166,13,2,13
monkfish,167,13,2,13
bean,168,13,4,12
parsnip,169,13,2,13
goat_cheese,170,13,2,13
plain_flour,171,12,2,12
orange_peel,172,12,5,10
olive,173,11,3,10
pineapple,174,11,3,10
sweetbread,175,11,2,11
radish,176,11,2,11
salt_cod,177,11,2,11
soured_cream,178,11,1,12
beetroot,179,10,1,11
cardamon,180,10,1,11
haricot,181,10,2,10
fatback,182,10,2,10
prosciutto,183,10,1,11
pork_loin,184,10,2,10
pastis,185,10,1,11
arrowroot,186,10,2,10
fig,187,9,1,10
granulated_sugar,188,9,1,10
garbanzo,189,9,4,8
quail,190,9,2,9
sauerkraut,191,9,1,10
cheese,192,9,2,9
mullet,193,9,2,9
tongue,194,8,1,9
walnut_oil,195,8,1,9
green,196,8,2,8
instant_coffee,197,8,1,9
lentil,198,8,2,8
loin,199,8,2,8
icing_sugar,200,8,2,8
venison,201,8,2,8
sea_bass,202,8,1,9
cider_vinegar,203,8,2,8
pine_nut,204,8,2,8
wine,205,8,3,7
pork_sausage,206,7,2,7
banana,207,7,2,7
single_cream,208,7,1,8
crystallized_fruit,209,7,1,8
cod,210,7,2,7
rump,211,7,2,7
pheasant,212,7,2,7
gherkin,213,7,1,8
beer,214,6,1,7
mutton,215,6,1,7
squid,216,6,1,7
cherry tomato,217,6,1,7
clam,218,6,1,7
turkey,219,6,2,6
almond_extract,220,6,1,7
whiting,221,6,1,7
water,222,6,1,7
rocket,223,6,1,7
partridge,224,5,2,5
patty,225,5,1,6
tomato_sauce,226,5,1,6
pumpkin,227,5,1,6
vinaigrette,228,5,1,6
pie_shell,229,5,2,5
snail,230,5,1,6
cream_cheese,231,5,1,6
