Cuisine,degree,closeness
indian,0.12088,0.52601
indian,0.38242,0.61653
indian,0.13407,0.52969
indian,0.07033,0.51181
indian,0.35604,0.60586
indian,0.15604,0.5391
indian,0.043956,0.49945
indian,0.024176,0.49083
indian,0.10989,0.51763
indian,0.048352,0.50055
indian,0.068132,0.51066
indian,0.0087912,0.47895
indian,0.0065934,0.47694
indian,0.085714,0.51354
indian,0.31648,0.59245
indian,0.048352,0.50612
indian,0.032967,0.48715
indian,0.0065934,0.47445
indian,0.013187,0.48404
indian,0.01978,0.47644
indian,0.059341,0.50499
indian,0.0043956,0.46006
indian,0.18901,0.54819
indian,0.0021978,0.46429
indian,0.0087912,0.38723
indian,0.4989,0.66423
indian,0.010989,0.47844
indian,0.057143,0.50276
indian,0.0065934,0.41102
indian,0.017582,0.48872
indian,0.23297,0.56242
indian,0.017582,0.4882
indian,0.028571,0.49242
indian,0.0043956,0.40265
indian,0.037363,0.49781
indian,0.16703,0.54231
indian,0.0087912,0.47996
indian,0.0043956,0.46956
indian,0.41099,0.62672
indian,0.0087912,0.39157
indian,0.017582,0.48456
indian,0.18462,0.54819
indian,0.063736,0.50388
indian,0.22198,0.55897
indian,0.035165,0.49727
indian,0.0043956,0.46006
indian,0.013187,0.4825
indian,0.081319,0.51239
indian,0.010989,0.47844
indian,0.054945,0.4989
indian,0.068132,0.50952
indian,0.035165,0.49296
indian,0.11429,0.5254
indian,0.065934,0.51124
indian,0.0087912,0.47996
indian,0.0087912,0.47495
indian,0.074725,0.51239
indian,0.16923,0.54038
indian,0.22637,0.56034
indian,0.052747,0.49836
indian,0.07033,0.50838
indian,0.11648,0.52784
indian,0.0087912,0.48097
indian,0.017582,0.48715
indian,0.017582,0.48301
indian,0.31209,0.58862
indian,0.1956,0.54688
indian,0.054945,0.50221
indian,0.096703,0.51822
indian,0.0065934,0.47101
indian,0.035165,0.49564
indian,0.037363,0.49618
indian,0.065934,0.50443
indian,0.059341,0.50499
indian,0.010989,0.48301
indian,0.013187,0.48456
indian,0.0065934,0.40373
indian,0.030769,0.4951
indian,0.07033,0.50781
indian,0.037363,0.49672
indian,0.015385,0.4715
indian,0.0065934,0.46381
indian,0.0065934,0.46099
indian,0.7033,0.76988
indian,0.0043956,0.41858
indian,0.16923,0.54361
indian,0.14725,0.53719
indian,0.028571,0.48611
indian,0.017582,0.48199
indian,0.026374,0.49136
indian,0.16044,0.54167
indian,0.0021978,0.39947
indian,0.51209,0.66912
indian,0.026374,0.49136
indian,0.01978,0.48456
indian,0.052747,0.50443
indian,0.092308,0.51646
indian,0.017582,0.48507
indian,0.19341,0.55018
indian,0.13626,0.53341
indian,0.059341,0.5011
indian,0.083516,0.51529
indian,0.032967,0.48925
indian,0.032967,0.48767
indian,0.010989,0.47945
indian,0.013187,0.47594
indian,0.38242,0.6157
indian,0.021978,0.48611
indian,0.017582,0.48611
indian,0.81978,0.84572
indian,0.12308,0.52601
indian,0.028571,0.4715
indian,0.07033,0.50952
indian,0.015385,0.4825
indian,0.38901,0.61821
indian,0.0021978,0.46429
indian,0.035165,0.49618
indian,0.23736,0.56522
indian,0.12527,0.52969
indian,0.054945,0.50055
indian,0.12747,0.52969
indian,0.030769,0.48977
indian,0.55165,0.68731
indian,0.015385,0.48148
indian,0.12308,0.5254
indian,0.0043956,0.37854
indian,0.074725,0.51181
indian,0.032967,0.49349
indian,0.013187,0.46956
indian,0.0043956,0.37822
indian,0.0043956,0.47396
indian,0.068132,0.50668
indian,0.01978,0.48611
indian,0.0021978,0.46429
indian,0.021978,0.48507
indian,0.046154,0.45637
indian,0.021978,0.48715
indian,0.015385,0.48404
indian,0.0065934,0.46859
indian,0.010989,0.47347
indian,0.059341,0.50388
indian,0.037363,0.5
indian,0.30549,0.5871
indian,0.0087912,0.47844
indian,0.030769,0.49189
indian,0.015385,0.47945
indian,0.23077,0.56242
indian,0.010989,0.48046
indian,0.0065934,0.47495
indian,0.013187,0.47445
indian,0.074725,0.51181
indian,0.037363,0.47101
