Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chilli,0,384,9811,48
coriander_seed,1,372,9791,48
ginger,2,350,19538,48
cumin_seed,3,320,19387,48
turmeric,4,277,18751,48
red_pepper,5,266,19033,48
tomato,6,259,18791,48
onion,7,251,18435,48
cardamon,8,242,18887,48
garlic,9,233,17983,48
yogurt,10,227,18695,48
cinnamon,11,223,18591,48
peppercorn,12,223,18569,48
mustard_seed,13,219,17920,48
lime,14,214,18145,48
potato,15,204,17303,48
flour,16,199,14336,48
paprika,17,197,16348,48
curry,18,188,14392,48
bay_leaf,19,187,17015,48
mint,20,183,17205,48
ghee,21,177,12391,48
red_onion,22,176,15843,48
coconut,23,175,15548,48
fennel_seed,24,174,16258,48
rice,25,174,16876,48
carrot,26,170,15636,48
lemon,27,166,15939,48
milk,28,162,5963,48
fenugreek_seed,29,162,12273,48
tamarind,30,159,11198,48
almond,31,148,6588,47
coconut_water,32,146,11099,48
mango,33,145,7946,48
chicken,34,144,15830,48
nutmeg,35,144,12945,48
spring_onion,36,142,9760,48
saffron,37,142,7956,48
pea,38,139,12774,48
garbanzo,39,139,8565,48
mustard_greens,40,138,8074,48
raisin,41,136,5614,48
cashew_nut,42,135,10062,48
shallot,43,128,6282,48
spinach,44,125,10092,48
orange,45,124,2351,42
sugar,46,123,2788,48
shrimp,47,115,2958,48
lamb,48,115,3682,48
mace,49,110,5418,48
castor_sugar,50,109,3089,48
vegetable_oil,51,108,6808,48
pistachio_nut,52,108,2731,48
white,53,107,7116,48
peanut,54,106,3310,48
cauliflower,55,106,5218,48
leafy_vegetable,56,105,5572,48
peanut_oil,57,104,3261,48
sesame_oil,58,103,2348,48
parsley,59,103,2744,44
vinegar,60,102,3782,48
eggplant,61,101,3360,48
mustard oil,62,99,2748,47
egg,63,99,3178,48
heavy_cream,64,95,1218,48
celery,65,92,2058,42
sesame_seed,66,90,2892,48
cucumber,67,90,1302,46
black_mustard,68,90,1655,47
tomato_paste,69,89,1642,45
mushroom,70,89,1480,48
butter,71,88,986,44
chicken_stock,72,88,2892,47
star_anise,73,87,1226,46
fish,74,87,1260,48
green_bean,75,86,1213,47
grain,76,84,2080,47
poppy_seed,77,81,1178,45
soy_sauce,78,79,456,39
honey,79,78,821,40
split,80,77,1010,48
basil,81,77,1082,41
banana,82,77,907,44
beef,83,77,242,47
curry_powder,84,76,758,43
lentil,85,74,660,47
pomegranate,86,73,653,43
cream,87,73,508,45
apple,88,73,883,37
fennel,89,71,836,45
bean,90,71,346,45
green_pepper,91,68,542,47
corn_oil,92,68,414,40
thyme,93,67,721,38
vegetable,94,67,278,45
walnut,95,66,428,38
corn,96,65,171,44
leg,97,63,198,44
rosemary,98,63,583,36
cabbage,99,62,206,44
noodle,100,62,166,42
pumpkin,101,61,96,45
pork,102,60,93,38
pineapple,103,60,385,33
chive,104,59,379,38
pawpaw,105,59,126,39
shoulder,106,58,164,40
semolina,107,57,176,40
fillet,108,56,108,42
caraway_seed,109,56,202,42
okra,110,56,112,45
white_wine,111,56,416,40
coconut_oil,112,56,88,43
aniseed,113,55,156,40
mung_bean,114,55,90,44
juice,115,54,97,35
buttermilk,116,53,119,38
radish,117,53,76,40
tomato_sauce,118,52,56,40
single_cream,119,52,98,41
cheese,120,52,92,40
double_cream,121,52,90,39
maple_syrup,122,51,187,29
water,123,51,147,31
cider_vinegar,124,50,116,32
wheat_berry,125,50,45,39
dill_weed,126,50,94,37
plain_flour,127,50,174,36
lemongrass,128,49,78,36
salt,129,49,127,38
pastry,130,49,58,35
bean_sprout,131,48,166,31
sweet potato,132,48,26,41
whole_wheat_flour,133,48,140,37
date,134,48,112,35
soured_cream,135,46,44,38
squash,136,44,20,37
orange_juice,137,44,117,26
herb,138,43,52,27
white_turnip,139,43,72,34
white_bean,140,43,36,33
dried_apricot,141,43,72,32
broccoli,142,42,34,36
sultana,143,42,40,33
food_colouring,144,42,118,30
white_bread,145,41,21,34
dry_mustard,146,40,38,33
grape,147,40,90,25
crabmeat,148,39,36,31
malt,149,39,18,32
leg_of_lamb,150,39,10,35
whipping_cream,151,38,12,34
