Cuisine, Degree, Avg Neig Degree
indian,0.33729,0.00025685
indian,0.57595,0.083108
indian,0.55018,0.068882
indian,0.52601,0.051908
indian,0.61653,0.10785
indian,0.52969,0.055535
indian,0.51181,0.033538
indian,0.60586,0.10377
indian,0.5391,0.060522
indian,0.49945,0.021933
indian,0.49083,0.011533
indian,0.51763,0.0432
indian,0.50055,0.023353
indian,0.51066,0.029431
indian,0.47895,0.0047124
indian,0.47694,0.0039474
indian,0.51354,0.037377
indian,0.59245,0.097776
indian,0.50612,0.023392
indian,0.48715,0.012273
indian,0.47445,0.002727
indian,0.48404,0.0076039
indian,0.47644,0.0074086
indian,0.50499,0.028471
indian,0.46006,0.0025366
indian,0.54819,0.07075
indian,0.46429,0.0013297
indian,0.38723,0.0031555
indian,0.66423,0.12101
indian,0.47844,0.0060248
indian,0.50276,0.025837
indian,0.41102,0.0028773
indian,0.48872,0.010042
indian,0.56242,0.082283
indian,0.4882,0.0075489
indian,0.49242,0.015491
indian,0.40265,0.0020966
indian,0.49781,0.019099
indian,0.54231,0.062947
indian,0.47996,0.004518
indian,0.46956,0.0023944
indian,0.62672,0.11182
indian,0.39157,0.0028807
indian,0.48456,0.0081782
indian,0.54819,0.070748
indian,0.50388,0.030343
indian,0.55897,0.078269
indian,0.49727,0.01548
indian,0.46006,0.0025366
indian,0.4825,0.0069108
indian,0.51239,0.036381
indian,0.47844,0.0055643
indian,0.4989,0.027293
indian,0.50952,0.030878
indian,0.49296,0.017977
indian,0.5254,0.047935
indian,0.51124,0.02872
indian,0.47996,0.0051143
indian,0.47495,0.0044149
indian,0.51239,0.03362
indian,0.54038,0.06053
indian,0.56034,0.074379
indian,0.49836,0.02295
indian,0.50838,0.0322
indian,0.52784,0.048917
indian,0.48097,0.0052065
indian,0.48715,0.0088416
indian,0.48301,0.0075707
indian,0.58862,0.09461
indian,0.54688,0.070459
indian,0.50221,0.025412
indian,0.51822,0.042383
indian,0.47101,0.0034164
indian,0.49564,0.016052
indian,0.49618,0.018969
indian,0.50443,0.029763
indian,0.50499,0.027765
indian,0.48301,0.0064976
indian,0.48456,0.007404
indian,0.40373,0.0022966
indian,0.4951,0.013425
indian,0.50781,0.033138
indian,0.49672,0.019696
indian,0.4715,0.0078754
indian,0.46381,0.0038277
indian,0.46099,0.0029298
