Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
soy_sauce,0,107,145,20
ginger,1,102,140,20
spring_onion,2,93,258,20
sesame_oil,3,83,240,20
rice,4,64,202,20
peanut_oil,5,63,194,20
chilli,6,55,176,20
chicken,7,54,158,20
vinegar,8,51,140,20
pork,9,50,145,20
coriander_seed,10,45,121,20
chicken_stock,11,43,126,20
shrimp,12,42,114,20
carrot,13,41,88,20
mushroom,14,40,112,20
garlic,15,36,92,20
oyster,16,35,76,20
red_pepper,17,34,64,18
sherry,18,34,70,18
wine,19,31,50,20
bean,20,30,30,20
white_pepper,21,29,46,20
sesame,22,27,24,20
vegetable_oil,23,27,32,20
white,24,26,30,19
tofu,25,26,30,20
bamboo_shoot,26,25,28,17
noodle,27,24,12,20
peppercorn,28,24,16,18
flour,29,24,17,17
celery,30,23,16,17
beef,31,22,18,15
star_anise,32,22,15,15
water,33,21,16,18
hoisin_sauce,34,21,14,16
onion,35,20,10,17
bean_sprout,36,18,2,18
black_bean,37,18,8,15
fish,38,17,4,16
cabbage,39,17,8,14
shallot,40,17,4,16
corn_oil,41,17,8,14
tomato,42,14,4,13
lemongrass,43,14,2,14
honey,44,14,4,13
egg,45,13,4,12
orange,46,13,5,11
ham,47,12,2,12
sesame_seed,48,12,4,11
tomato_ketchup,49,11,4,10
cucumber,50,11,2,11
spinach,51,11,2,11
duck,52,10,4,9
sugar,53,10,4,9
snow_pea,54,10,2,10
bamboo,55,10,2,10
pea,56,10,2,10
cinnamon,57,9,2,9
green_pepper,58,9,2,9
peanut,59,9,2,9
stock,60,8,2,8
lard,61,8,4,7
pimiento,62,7,2,7
pork_loin,63,6,2,6
wonton,64,6,2,6
lime,65,6,2,6
flank_steak,66,6,2,6
mustard_greens,67,5,2,5
cider_vinegar,68,5,2,5
radish,69,5,2,5
red_onion,70,5,2,5
yellow_bean,71,5,2,5
sweet,72,5,2,5
napa,73,5,2,5
grain,74,5,2,5
malt,75,5,2,5
scallop,76,5,2,5
corn,77,4,2,4
lettuce,78,4,2,4
asparagus,79,4,2,4
crabmeat,80,4,2,4
juice,81,4,2,4
vegetable,82,4,2,4
shoulder,83,4,2,4
lamb,84,4,2,4
iceberg_lettuce,85,4,2,4
chive,86,4,2,4
fillet,87,4,2,4
broccoli,88,3,2,3
salt,89,3,2,3
lemon,90,3,2,3
potato,91,3,2,3
pork_belly,92,3,2,3
cumin_seed,93,3,1,4
sparerib,94,3,2,3
rib,95,3,1,4
pak_choi,96,3,2,3
eggplant,97,3,2,3
tangerine,98,3,2,3
fennel_seed,99,2,1,3
sea_bass,100,2,1,3
squid,101,2,2,2
pineapple,102,2,2,2
coconut_milk,103,1,1,2
soybean,104,1,1,2
orange_juice,105,1,1,2
turmeric,106,1,1,2
ground_beef,107,1,1,2
mint,108,1,1,2
spring_roll,109,1,1,2
bacon,110,1,1,2
sweet_basil,111,1,1,2
caster_sugar,112,1,1,2
chestnut,113,1,1,2
egg_noodle,114,1,1,2
butter,115,1,1,2
roll,116,1,1,2
peanut_butter,117,1,1,2
curry_powder,118,1,1,2
