Cuisine, Rank, Value
indian,319,0.027717
indian,320,0.027595
indian,321,0.027473
indian,322,0.027473
indian,323,0.027473
indian,324,0.027106
indian,325,0.027106
indian,326,0.026984
indian,327,0.026862
indian,328,0.02674
indian,329,0.02674
indian,330,0.026618
indian,331,0.026618
indian,332,0.026374
indian,333,0.026129
indian,334,0.026129
indian,335,0.026007
indian,336,0.026007
indian,337,0.025885
indian,338,0.025885
indian,339,0.025885
indian,340,0.025885
indian,341,0.025763
indian,342,0.025763
indian,343,0.025641
indian,344,0.025519
indian,345,0.025519
indian,346,0.025519
indian,347,0.025397
indian,348,0.025397
indian,349,0.025397
indian,350,0.025275
indian,351,0.025153
indian,352,0.025031
indian,353,0.025031
indian,354,0.025031
indian,355,0.024908
indian,356,0.024908
indian,357,0.024908
indian,358,0.024908
indian,359,0.024786
indian,360,0.024786
indian,361,0.024664
indian,362,0.024664
indian,363,0.024664
indian,364,0.024542
indian,365,0.02442
indian,366,0.024298
indian,367,0.024298
indian,368,0.024298
indian,369,0.024176
indian,370,0.024054
indian,371,0.024054
indian,372,0.024054
indian,373,0.023932
indian,374,0.023932
indian,375,0.02381
indian,376,0.023687
indian,377,0.023565
indian,378,0.023443
indian,379,0.023443
indian,380,0.023443
indian,381,0.023321
indian,382,0.023199
indian,383,0.023077
indian,384,0.023077
indian,385,0.022955
indian,386,0.022955
indian,387,0.022955
indian,388,0.022711
indian,389,0.022711
indian,390,0.022589
indian,391,0.022344
indian,392,0.022344
indian,393,0.022344
indian,394,0.022222
indian,395,0.022222
indian,396,0.022222
indian,397,0.022222
indian,398,0.022222
indian,399,0.0221
indian,400,0.0221
indian,401,0.0221
indian,402,0.021978
indian,403,0.021856
indian,404,0.021856
indian,405,0.021856
indian,406,0.021856
indian,407,0.021856
indian,408,0.021856
indian,409,0.021612
indian,410,0.021612
indian,411,0.021612
indian,412,0.021612
indian,413,0.02149
indian,414,0.02149
indian,415,0.02149
indian,416,0.02149
indian,417,0.021368
indian,418,0.021368
indian,419,0.021368
indian,420,0.021245
indian,421,0.021245
indian,422,0.021245
indian,423,0.021123
indian,424,0.021001
indian,425,0.021001
indian,426,0.020879
indian,427,0.020757
indian,428,0.020757
indian,429,0.020635
indian,430,0.020635
indian,431,0.020635
indian,432,0.020513
indian,433,0.020391
indian,434,0.020391
indian,435,0.020269
indian,436,0.020147
indian,437,0.020147
indian,438,0.020147
indian,439,0.020147
indian,440,0.020147
indian,441,0.020024
indian,442,0.020024
indian,443,0.020024
indian,444,0.019902
indian,445,0.019902
indian,446,0.019658
indian,447,0.019658
indian,448,0.019658
indian,449,0.019658
indian,450,0.019658
indian,451,0.019536
indian,452,0.019536
indian,453,0.019536
indian,454,0.019536
indian,455,0.019536
indian,456,0.019536
indian,457,0.019414
indian,458,0.019414
indian,459,0.019414
indian,460,0.019292
indian,461,0.019292
indian,462,0.019292
indian,463,0.01917
indian,464,0.01917
indian,465,0.01917
indian,466,0.01917
indian,467,0.019048
indian,468,0.019048
indian,469,0.018926
indian,470,0.018926
indian,471,0.018803
indian,472,0.018681
indian,473,0.018681
indian,474,0.018681
indian,475,0.018559
indian,476,0.018559
indian,477,0.018559
indian,478,0.018437
indian,479,0.018437
indian,480,0.018437
indian,481,0.018437
indian,482,0.018437
indian,483,0.018315
indian,484,0.018315
indian,485,0.018315
indian,486,0.018193
indian,487,0.018193
indian,488,0.018193
indian,489,0.018193
indian,490,0.018071
indian,491,0.018071
indian,492,0.018071
indian,493,0.018071
indian,494,0.017949
indian,495,0.017949
indian,496,0.017949
indian,497,0.017949
indian,498,0.017949
indian,499,0.017827
indian,500,0.017827
indian,501,0.017705
indian,502,0.017705
indian,503,0.017705
indian,504,0.017705
indian,505,0.017705
indian,506,0.017582
indian,507,0.017582
indian,508,0.017582
indian,509,0.017582
indian,510,0.017582
indian,511,0.017582
indian,512,0.017582
indian,513,0.01746
indian,514,0.01746
indian,515,0.01746
indian,516,0.017338
indian,517,0.017338
indian,518,0.017216
indian,519,0.017216
indian,520,0.017216
indian,521,0.017216
indian,522,0.017216
