1,u'roast turkey', u'roast', u'turkey'
1,u'seltzer water', u'seltzer'
1,u'manicotti pasta', u'manicotti', u'pasta'
1,u'green mole', u'mole'
1,u'green cilantro', u'cilantro'
1,u'green lentil', u'lentil'
1,u'pear nectar', u'pear', u'nectar'
1,u'madeira wine', u'madeira', u'wine'
1,u'sweet chocolate', u'sweet', u'chocolate'
1,u'turkey broth', u'turkey', u'broth'
1,u'velveeta cheese', u'velveeta', u'cheese'
1,u'rice wafer', u'rice', u'wafer'
1,u'bread flour', u'bread', u'flour'
1,u'tabasco chipotle', u'tabasco', u'chipotle'
1,u'broccoli sprout', u'broccoli', u'sprout'
1,u'semolina flour', u'semolina', u'flour'
1,u'cocktail onion', u'cocktail', u'onion'
1,u'swordfish steak', u'swordfish', u'steak'
1,u'chardonnay wine', u'chardonnay', u'wine'
1,u'amontillado sherry', u'amontillado', u'sherry'
1,u'green mussel', u'mussel'
1,u'currant tomato', u'currant', u'tomato'
1,u'chipotle chilli', u'chipotle', u'chilli'
1,u'seafood broth', u'seafood', u'broth'
1,u'rye flour', u'rye', u'flour'
1,u'medium apple', u'apple'
1,u'corn flour', u'corn', u'flour'
1,u'punch drink', u'punch'
1,u'apple brandy', u'apple', u'brandy'
1,u'orzo pasta', u'orzo', u'pasta'
1,u'pepper soda', u'pepper', u'soda'
1,u'duck stock', u'duck'
1,u'pita chip', u'pita'
1,u'vermicelli noodle', u'vermicelli', u'noodle'
1,u'green curry', u'curry'
1,u'tomatillo salsa', u'tomatillo', u'salsa'
1,u'chipotle barbecue', u'chipotle', u'barbecue'
1,u'chipotle corn', u'chipotle', u'corn'
1,u'roast coffee', u'roast', u'coffee'
1,u'garlic sausage', u'garlic', u'sausage'
1,u'chocolate chip', u'chocolate'
1,u'puff pastry', u'pastry'
1,u'beef sparerib', u'beef', u'sparerib'
1,u'flour tortilla', u'flour', u'tortilla'
1,u'pumpkin puree', u'pumpkin', u'puree'
1,u'sandwich roll', u'sandwich'
1,u'fish broth', u'fish', u'broth'
1,u'clam broth', u'clam', u'broth'
1,u'green cardamom', u'cardamom'
1,u'radish green', u'radish'
1,u'guava nectar', u'guava', u'nectar'
1,u'almond paste', u'almond', u'paste'
1,u'caper berry', u'caper', u'berry'
1,u'green peppercorn', u'peppercorn'
1,u'beef brisket', u'beef', u'brisket'
1,u'corn tortilla', u'corn', u'tortilla'
1,u'pork chop', u'pork'
1,u'dip mix', u'mix'
1,u'radish sprout', u'radish', u'sprout'
1,u'turkey liver', u'turkey', u'liver'
1,u'shrimp stock', u'shrimp'
1,u'pastry flour', u'pastry', u'flour'
1,u'pepper jack', 'cheese'
1,u'vermicelli pasta', u'vermicelli', u'pasta'
1,u'lamb leg', u'lamb', u'leg'
1,u'edam cheese', u'edam', u'cheese'
1,u'cake flour', u'cake', u'flour'
1,u'cinnamon graham', u'cinnamon', u'graham'
1,u'lemon vodka', u'lemon', u'vodka'
1,u'sushi rice', u'sushi', u'rice'
1,u'sweet soy', u'sweet', u'soy'
1,u'wheat pastry', u'wheat', u'pastry'
1,u'beef porterhouse', u'beef', u'porterhouse'
1,u'pastry pie', u'pastry', u'pie'
1,u'chicken heart', u'chicken'
1,u'rabbit loin', u'rabbit', u'loin'
1,u'gorgonzola cheese', u'gorgonzola', u'cheese'
1,u'ziti pasta', u'ziti', u'pasta'
1,u'juice concentrate', u'juice'
1,u'quail egg', u'quail', u'egg'
1,u'poultry stock', u'poultry'
1,u'pork stock', u'pork'
1,u'grenadine syrup', u'grenadine', u'syrup'
1,u'bean paste', u'bean', u'paste'
1,u'salt brisket', u'salt', u'brisket'
1,u'turkey heart', u'turkey'
1,u'lobster stock', u'lobster'
1,u'chile beef', u'chile', u'beef'
1,u'butter lettuce', u'butter', u'lettuce'
1,u'almond butter', u'almond', u'butter'
1,u'oyster sauce', u'oyster', u'sauce'
1,u'meat broth', u'meat', u'broth'
1,u'green cabbage', u'cabbage'
1,u'rice vinegar', u'rice', u'vinegar'
1,u'maize flour', u'maize', u'flour'
1,u'macaroni pasta', u'macaroni', u'pasta'
1,u'tart apple', u'tart', u'apple'
1,u'chocolate mix', u'chocolate', u'mix'
1,u'beef shoulder', u'beef', u'shoulder'
1,u'cream sherry', u'cream', u'sherry'
1,u'napa cabbage', u'napa', u'cabbage'
1,u'amaranth green', u'amaranth'
1,u'chile jam', u'chile'
1,u'beef sirloin', u'beef', u'sirloin'
1,u'chickpea flour', u'chickpea', u'flour'
1,u'pumpkin squash', u'pumpkin', u'squash'
1,u'lemon jell-o', u'lemon', u'jell-o'
1,u'enchilada sauce', u'enchilada', u'sauce'
1,u'butter chip', u'butter'
1,u'kaffir lime', u'kaffir', u'lime'
1,u'biscuit mix', u'biscuit', u'mix'
1,u'chile sauce', u'chile', u'sauce'
1,u'mole sauce', u'mole', u'sauce'
1,u'seafood stock', u'seafood'
1,u'apricot butter', u'apricot', u'butter'
1,u'chocolate ice', u'chocolate'
1,u'rice wine', u'rice', u'wine'
1,u'venison loin', u'venison', u'loin'
1,u'saltine cracker', u'saltine', u'cracker'
1,u'rice milk', u'rice', u'milk'
1,u'onion chutney', u'onion', u'chutney'
1,u'avocado dip', u'avocado'
1,u'sweet gherkin', u'sweet', u'gherkin'
1,u'brioche roll', u'brioche'
1,u'teriyaki sauce', u'teriyaki', u'sauce'
1,u'rock shrimp', u'shrimp'
1,u'carp roe', u'carp', u'roe'
1,u'paprika oil', u'paprika', u'oil'
1,u'green tomato', u'tomato'
1,u'beef gravy', u'beef', u'gravy'
1,u'sour pickle', u'pickle'
1,u'vanilla rice', u'vanilla', u'rice'
1,u'pork crackling', u'pork'
1,u'rice noodle', u'rice', u'noodle'
1,u'chile salsa', u'chile', u'salsa'
1,u'pork hock', u'pork', u'hock'
