1,u'mushroom soy', u'mushroom', u'soy'
1,u'orzo pasta', u'orzo', u'pasta'
1,u'coffee ice', u'coffee'
1,u'pomegranate vodka', u'pomegranate', u'vodka'
1,u'merlot wine', u'merlot', u'wine'
1,u'rock sugar', u'sugar'
1,u'jack cheese', 'cheese'
1,u'ziti pasta', u'ziti', u'pasta'
1,u'beet juice', u'beet', u'juice'
1,u'kaffir lime', u'kaffir', u'lime'
1,u'pickle paste', u'pickle', u'paste'
1,u'pickle oil', u'pickle', u'oil'
1,u'chile sauce', u'chile', u'sauce'
1,u'radish green', u'radish'
1,u'duck stock', u'duck'
1,u'lamb brain', u'lamb', u'brain'
1,u'duck leg', u'duck', u'leg'
1,u'raspberry jam', u'raspberry'
1,u'vermicelli noodle', u'vermicelli', u'noodle'
1,u'spice mix', u'spice', u'mix'
1,u'sesame paste', u'sesame', u'paste'
1,u'pork shoulder', u'pork', u'shoulder'
1,u'wasabi paste', u'wasabi', u'paste'
1,u'ginger paste', u'ginger', u'paste'
1,u'champagne wine', u'champagne', u'wine'
1,u'ginger chili', u'ginger', u'chili'
1,u'dinner roll', u'dinner'
1,u'green ginger', u'ginger'
1,u'peach juice', u'peach', u'juice'
1,u'fish tamarind', u'fish', u'tamarind'
1,u'veal liver', u'veal', u'liver'
1,u'brioche roll', u'brioche'
1,u'lime vodka', u'lime', u'vodka'
1,u'water spinach', u'spinach'
1,u'spaghetti pasta', u'spaghetti', u'pasta'
1,u'green plantain', u'plantain'
1,u'fig jam', u'fig'
1,u'saltine cracker', u'saltine', u'cracker'
1,u'sweet flour', u'sweet', u'flour'
1,u'rabbit liver', u'rabbit', u'liver'
1,u'wheat chapati', u'wheat', u'chapati'
1,u'garlic paste', u'garlic', u'paste'
1,u'onion chutney', u'onion', u'chutney'
1,u'wheat meal', u'wheat', u'meal'
1,u'celery cress', u'celery', u'cress'
1,u'semolina flour', u'semolina', u'flour'
1,u'marinara sauce', u'marinara', u'sauce'
1,u'grain pasta', u'grain', u'pasta'
1,u'beaujolais wine', u'beaujolais', u'wine'
1,u'chocolate chip', u'chocolate'
1,u'puff pastry', u'pastry'
1,u'split pea', u'pea'
1,u'pecan rice', u'pecan', u'rice'
1,u'curry paste', u'curry', u'paste'
1,u'chorizo sausage', u'chorizo', u'sausage'
1,u'flour tortilla', u'flour', u'tortilla'
1,u'tangerine juice', u'tangerine', u'juice'
1,u'chilli salsa', u'chilli', u'salsa'
1,u'buffalo mozzarella', u'buffalo', u'mozzarella'
1,u'flour noodle', u'flour', u'noodle'
1,u'lamb liver', u'lamb', u'liver'
1,u'duck egg', u'duck', u'egg'
1,u'corn cereal', u'corn', u'cereal'
1,u'chile oil', u'chile', u'oil'
1,u'sweet sherry', u'sweet', u'sherry'
1,u'chilli oil', u'chilli', u'oil'
1,u'beef tomato', u'beef', u'tomato'
1,u'apricot jam', u'apricot'
1,u'lamb tenderloin', u'lamb', u'tenderloin'
1,u'bosc pear', u'bosc', u'pear'
1,u'apricot juice', u'apricot', u'juice'
1,u'onion juice', u'onion', u'juice'
1,u'stick noodle', u'noodle'
1,u'ginger syrup', u'ginger', u'syrup'
1,u'fennel salami', u'fennel', u'salami'
1,u'green grape', u'grape'
1,u'green cardamom', u'cardamom'
1,u'apple cider', u'apple', u'cider'
1,u'lamb loin', u'lamb', u'loin'
1,u'wasabi pea', u'wasabi', u'pea'
